N	3gram	Losev_Prob_3	TeoriaLi
1	в отличие от	2	7
2	в том что	9	6
3	в то же	4	6
4	в данном случае	7	5
5	того или иного	3	5
6	более или менее	1	4
7	с другой стороны	5	3
8	тем не менее	10	3
9	можно сказать что	2	3
10	той или иной	8	3
11	и того же	1	2
12	с точки зрения	2	2
13	но он не	1	2
14	значении этого слова	1	2
15	войне и мире	1	2
16	с одной стороны	1	2
17	не в самом	1	2
18	и то же	4	2
19	так или иначе	1	2
20	одно и то	3	2
21	в войне и	1	2
22	и его внешней	1	2
23	и тем самым	2	2
24	не только не	1	2
25	одного и того	1	2
26	тех или иных	4	2
27	сама по себе	8	2
28	не может быть	5	2
29	как и в	1	2
30	таким образом что	1	1
31	который может быть	1	1
32	чего бы то	2	1
33	это уже не	2	1
34	в чистом виде	2	1
35	в той или	2	1
36	и потому что	1	1
37	в виду не	1	1
38	этой точки зрения	2	1
39	дело в том	3	1
40	чего нет в	1	1
41	этого слова как	1	1
42	это было бы	1	1
43	в настоящее время	2	1
44	никак не может	2	1
45	является особого рода	1	1
46	в этом случае	5	1
47	или иной мере	2	1
48	в таком случае	4	1
49	в таких случаях	2	1
50	что он не	1	1
51	бы то ни	4	1
52	только то что	2	1
53	и многих других	2	1
54	из того что	1	1
55	также еще и	1	1
56	с самим собою	1	1
57	перед нами не	1	1
58	точно так же	3	1
59	во всей его	1	1
60	по крайней мере	5	1
61	то или иное	2	1
62	может быть и	3	1
63	еще не есть	2	1
64	случае совершенно не	1	1
65	содержит в себе	3	1
66	в первом случае	1	1
67	в художественном произведении	1	1
68	то ни было	3	1
69	таким образом и	1	1
70	к вопросу о	1	1
71	между собой в	1	1
72	в евгении онегине	1	1
73	и в этой	1	1
74	и как бы	2	1
75	в связи с	7	1
76	в первой главе	1	1
77	еще и потому	1	1
78	и от себя	1	1
79	в первую очередь	3	1
80	так же как	1	1
81	не сама по	2	1
82	себе а в	1	1
83	только о том	2	1
84	ни к каким	1	1
85	в то время	4	1
86	только при условии	1	1
87	в одном случае	1	1
88	с этой точки	1	1
89	это и есть	1	1
90	о том что	3	1
91	именно потому что	3	1
92	ту или иную	1	1
93	по сути дела	1	1
94	в этих случаях	1	1
95	та или иная	3	1
96	данном случае совершенно	1	1
97	в том и	1	1
98	в другом но	1	1
99	в сравнении с	2	1
100	дело не в	2	1
101	для того чтобы	1	1
102	том что он	1	1
103	к тому же	1	1
104	по себе а	3	1
105	он не только	1	1
