N	3gram	Propp_Morf_1	KulturaY
1	и т д	39	14
2	в том что	3	10
3	с точки зрения	2	8
4	для того чтобы	2	8
5	с другой стороны	4	7
6	во всяком случае	2	5
7	тем не менее	4	5
8	и тем не	1	4
9	не может быть	9	4
10	уже не может	1	3
11	в этом отношении	1	3
12	точно так же	1	3
13	в связи с	8	3
14	поставить вопрос о	1	2
15	на самом деле	4	2
16	в этом случае	8	2
17	том случае если	1	2
18	в том случае	1	2
19	дело не в	2	2
20	в таких случаях	2	2
21	но все же	3	2
22	можно сказать что	1	2
23	на то что	2	2
24	к этому же	1	1
25	тех пор как	1	1
26	хотя и не	1	1
27	же представляет собою	1	1
28	не более как	1	1
29	состоит в том	2	1
30	иметь в виду	1	1
31	очень большую роль	1	1
32	которые хотя и	1	1
33	было бы считать	1	1
34	в настоящее время	3	1
35	т е не	1	1
36	и там где	1	1
37	бы считать вообще	1	1
38	это дает нам	1	1
39	до сих пор	1	1
40	тем что она	1	1
41	в иных случаях	2	1
42	для этой цели	1	1
43	бы то ни	3	1
44	совершенно ясно что	1	1
45	случаях перед нами	1	1
46	но это не	1	1
47	между тем не	1	1
48	на первом месте	1	1
49	с тех пор	1	1
50	мы приходим к	2	1
51	в наши дни	1	1
52	должны привести к	1	1
53	и в других	1	1
54	может быть и	2	1
55	как таковая не	1	1
56	то время как	3	1
57	в том или	1	1
58	так как во	1	1
59	в данном случае	1	1
60	не потому что	1	1
61	теперь может быть	1	1
62	то ни было	2	1
63	и пр таким	1	1
64	с одной стороны	1	1
65	ясно что и	1	1
66	не значит что	2	1
67	нужно иметь в	1	1
68	а также и	3	1
69	не могут быть	2	1
70	пр таким образом	1	1
71	и в этой	1	1
72	и пр с	1	1
73	приводит к тому	1	1
74	в противном случае	1	1
75	речи т е	1	1
76	все более и	1	1
77	мы имеем здесь	1	1
78	за это время	1	1
79	вместо того чтобы	1	1
80	и пр и	2	1
81	т д это	1	1
82	то во всяком	1	1
83	вопрос о характере	1	1
84	в то время	3	1
85	как и в	2	1
86	на ряду с	1	1
87	связи с этим	4	1
88	о том что	1	1
89	с самого начала	1	1
90	более и более	1	1
91	этом случае он	1	1
92	могут рассматриваться как	1	1
93	сюда же относится	1	1
94	они ни были	1	1
95	в другом случае	1	1
96	в большинстве случаев	3	1
97	после того как	1	1
98	к тому что	3	1
99	тех или иных	1	1
100	эти могут быть	1	1
101	с помощью этого	1	1
102	одна за другой	1	1
103	т д в	2	1
104	в сущности к	1	1
