N	3gram	Trubetskoy_1	Tvorches
1	в то же	2	13
2	то же время	2	12
3	в том что	3	6
4	о том что	4	5
5	но в то	1	4
6	и все же	1	3
7	в соответствии с	1	3
8	с самого начала	2	3
9	это не означает	1	2
10	точно так же	3	2
11	по крайней мере	5	2
12	в данном случае	1	2
13	добра и зла	1	2
14	же время он	1	2
15	можно сказать что	2	2
16	и в то	1	2
17	тем не менее	3	2
18	не может не	1	1
19	таким образом уже	1	1
20	в прямом смысле	1	1
21	и того же	1	1
22	чуть ли не	1	1
23	имеем в виду	1	1
24	в настоящее время	1	1
25	то же самое	2	1
26	те и другие	2	1
27	по отношению к	1	1
28	до сих пор	5	1
29	волю к жизни	2	1
30	сами по себе	1	1
31	в отличие от	1	1
32	друг на друга	2	1
33	в первую очередь	1	1
34	но все это	2	1
35	только то что	1	1
36	а вместе с	1	1
37	бы то ни	2	1
38	заключает в себе	2	1
39	к мысли о	1	1
40	вместе с тем	8	1
41	некоторые из них	2	1
42	все более и	1	1
43	в этой области	1	1
44	говорили о том	2	1
45	то ни было	2	1
46	и мир его	1	1
47	с одной стороны	7	1
48	в конце концов	3	1
49	но при этом	1	1
50	не только для	2	1
51	между человеком и	1	1
52	в связи с	3	1
53	мы уже говорили	1	1
54	в разные стороны	1	1
55	так и от	2	1
56	у него в	1	1
57	можно только в	1	1
58	в свою очередь	1	1
59	и превращается в	1	1
60	более и более	1	1
61	мы имеем в	1	1
62	с другой стороны	1	1
63	одного и того	1	1
64	то есть о	1	1
65	и те и	2	1
66	к тому же	4	1
