N	3gram	Vygotskiy__4	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	9	7
3	с точки зрения	11	6
4	во всяком случае	3	6
5	в том числе	2	5
6	до сих пор	1	5
7	друг с другом	7	5
8	а с другой	2	5
9	для того чтобы	5	5
10	о том что	3	4
11	том числе и	2	4
12	но все же	1	4
13	к тому же	1	4
14	точно так же	3	3
15	в конце концов	1	3
16	так же как	5	3
17	в связи с	3	3
18	и таким образом	1	3
19	тем не менее	1	3
20	в том что	31	3
21	в том виде	2	2
22	то же самое	7	2
23	те и другие	9	2
24	друг на друга	5	2
25	потому что и	1	2
26	в этом отношении	7	2
27	заключает в себе	1	2
28	может быть даже	1	2
29	что и те	1	2
30	с этой точки	4	2
31	то ни было	1	2
32	по сравнению с	3	2
33	бы то ни	1	2
34	но вместе с	2	2
35	между этими двумя	2	2
36	том виде в	1	2
37	ничего общего с	1	2
38	этой точки зрения	4	2
39	с самого начала	1	2
40	можно сказать что	1	2
41	на то что	4	2
42	и те и	1	2
43	и того же	5	1
44	не может не	2	1
45	что в этом	1	1
46	состоит в том	3	1
47	одном и том	1	1
48	с первого взгляда	3	1
49	чуть ли не	1	1
50	по отношению к	1	1
51	с другом не	1	1
52	в самом деле	6	1
53	в настоящее время	2	1
54	одного и того	5	1
55	не совсем так	1	1
56	о том как	1	1
57	по своему значению	3	1
58	то что эти	1	1
59	что все эти	1	1
60	в первую очередь	4	1
61	казалось бы должно	1	1
62	в так называемом	1	1
63	с тем что	3	1
64	при этом не	1	1
65	совершенно ясно что	1	1
66	на каждом шагу	6	1
67	этими двумя моментами	1	1
68	виде в каком	1	1
69	что в области	1	1
70	во всей своей	1	1
71	с внешней стороны	1	1
72	того момента когда	1	1
73	в этой области	2	1
74	в данном случае	2	1
75	на этот раз	1	1
76	тот факт что	1	1
77	на задний план	1	1
78	смысле этого слова	7	1
79	и том же	1	1
80	в отличие от	2	1
81	мы видели выше	1	1
82	по тому же	1	1
83	потому что в	1	1
84	указывает на то	1	1
85	с нашей точки	2	1
86	все более и	2	1
87	мы уже говорили	2	1
88	друг к другу	1	1
89	не имеет никакого	1	1
90	том что они	2	1
91	явления и предметы	1	1
92	с другой стороны	8	1
93	как бы в	1	1
94	речь идет о	3	1
95	мы видели что	2	1
96	один и тот	7	1
97	только то что	1	1
98	не может быть	1	1
99	в то время	1	1
100	в свою очередь	2	1
101	в их чистом	1	1
102	тем и другим	1	1
103	не только не	5	1
104	в чем именно	1	1
105	более и более	2	1
106	нашей точки зрения	2	1
107	и в результате	2	1
108	же что и	1	1
109	после того как	1	1
110	мы видим что	2	1
111	самом деле если	1	1
112	и что он	1	1
113	под этим именем	1	1
114	тем что в	1	1
115	может быть в	1	1
116	что и в	1	1
117	только тогда когда	1	1
118	и только в	2	1
119	и тот же	7	1
