N	2gram	Tiupa_Anal_1	FransuaR
1	и в	18	49
2	то есть	11	32
3	прежде всего	6	19
4	в его	13	18
5	и на	5	17
6	не только	15	17
7	и его	5	17
8	в этом	13	15
9	и не	21	15
10	в году	1	13
11	в них	1	13
12	только в	6	13
13	но и	17	13
14	во время	1	12
15	как и	13	11
16	и т.п	5	11
17	как бы	5	11
18	в этой	5	10
19	вовсе не	2	10
20	в нем	3	9
21	для него	2	9
22	и др	1	9
23	в романе	1	9
24	в сущности	6	8
25	отношение к	2	8
26	то же	9	7
27	все же	4	7
28	все эти	2	7
29	таким образом	3	7
30	как мы	2	7
31	один из	2	7
32	не может	22	7
33	о мире	1	7
34	жизни и	1	7
35	мы уже	1	6
36	именно в	4	6
37	во всех	1	6
38	так и	4	6
39	и с	2	6
40	времени и	6	6
41	точки зрения	6	6
42	но он	1	6
43	в то	9	6
44	же время	6	6
45	в себя	6	6
46	в литературе	4	6
47	то что	6	6
48	здесь в	1	6
49	так как	2	6
50	с точки	4	5
51	с его	3	5
52	из этих	2	5
53	но не	10	5
54	при этом	12	5
55	в своей	6	5
56	никогда не	2	5
57	роль в	2	5
58	тот же	1	5
59	в начале	2	5
60	может быть	29	5
61	в особенности	1	5
62	и потому	2	5
63	отношения к	2	4
64	и до	2	4
65	и к	3	4
66	но в	8	4
67	в себе	11	4
68	этот процесс	1	4
69	но все	1	4
70	лишь в	5	4
71	в этих	1	4
72	и более	4	4
73	с ним	4	4
74	одна из	1	4
75	в области	4	4
76	с другой	4	4
77	и во	1	4
78	мы находим	1	4
79	а в	9	4
80	смерти и	1	4
81	до сих	1	4
82	не было	1	4
83	и о	2	4
84	сих пор	1	4
85	том что	12	4
86	нового времени	1	4
87	в свое	2	4
88	в своих	1	4
89	также и	2	3
90	человека и	1	3
91	в самом	6	3
92	место в	3	3
93	меньшей степени	1	3
94	да и	1	3
95	всех этих	1	3
96	но прежде	1	3
97	свое время	2	3
98	а затем	1	3
99	на все	2	3
100	было бы	2	3
101	из них	2	3
102	ни в	4	3
103	далеко не	6	3
104	несмотря на	2	3
105	во всем	1	3
106	в одном	1	3
107	их в	1	3
108	даже в	3	3
109	к этим	1	3
110	только с	1	3
111	в ее	1	3
112	в собственном	3	3
113	культуры и	1	3
114	в последующих	1	3
115	в виду	1	3
116	о том	5	3
117	к нему	3	3
118	утрачивает свою	2	3
119	наконец в	1	3
120	же в	1	3
121	большей или	4	3
122	что он	3	3
123	мире и	2	3
124	с одной	3	3
125	этом отношении	2	3
126	и особенно	1	3
127	или меньшей	4	3
128	что для	1	3
129	превращается в	1	3
130	связь с	1	3
131	о чем	1	3
132	одной стороны	3	3
133	в течение	1	3
134	и все	3	3
135	в большей	1	3
136	в том	27	3
137	жизни в	1	3
138	другой стороны	2	3
139	как известно	3	2
140	одним из	3	2
141	на самом	2	2
142	тех же	1	2
143	перед лицом	6	2
144	по преимуществу	1	2
145	в какой-то	1	2
146	собственном смысле	1	2
147	видеть в	1	2
148	и значение	1	2
149	со смертью	1	2
150	он как	1	2
151	в ней	1	2
152	литературы и	1	2
153	еще не	3	2
154	он был	1	2
155	что люди	1	2
156	за пределы	2	2
157	как к	2	2
158	к числу	1	2
159	та же	1	2
160	в нашем	3	2
161	учение о	1	2
162	думать что	2	2
163	имеем в	1	2
164	вследствие этого	3	2
165	мы наблюдаем	1	2
166	на его	2	2
167	подобно тому	3	2
168	в мире	8	2
169	в художественном	3	2
170	автора и	3	2
171	смысл и	3	2
172	по поводу	1	2
173	в отношении	1	2
174	что касается	1	2
175	в их	5	2
176	на фоне	2	2
177	точку зрения	1	2
178	и эти	1	2
179	мы должны	1	2
180	что в	5	2
181	вплоть до	1	2
182	того чтобы	3	2
183	ничего не	1	2
184	в самой	1	2
185	эпизода с	1	2
186	связи с	1	2
187	художественной литературы	1	2
188	могут быть	4	2
189	здесь не	2	2
190	миром и	1	2
191	на основе	2	2
192	в пределах	2	2
193	особенно в	2	2
194	еще в	2	2
195	в произведении	5	2
196	и т.д	1	2
197	в другом	4	2
198	одного из	2	2
199	можно сказать	2	2
200	они являются	1	2
201	нуждается в	8	2
202	в ту	1	2
203	и интерпретации	1	2
204	в формах	1	2
205	проникнуть в	1	2
206	всяком случае	1	2
207	в качестве	31	2
208	есть в	1	2
209	существования и	1	2
210	себе в	2	2
211	никто не	3	2
212	к первой	1	2
213	у него	1	2
214	и даже	1	2
215	смысла и	3	2
216	человек в	3	2
217	одну из	1	2
218	становится на	1	2
219	в связи	1	2
220	для них	1	2
221	вместе с	4	2
222	в него	1	2
223	это произведение	1	2
224	такого рода	5	2
225	тому как	3	2
226	эти два	1	2
227	но это	1	2
228	перед смертью	1	2
229	и становится	1	2
230	не подлежит	1	2
231	сознания и	1	2
232	еще раз	1	2
233	хотя и	1	2
234	в целях	1	2
235	совершенно не	1	2
236	включает в	1	2
237	ее в	1	2
238	и эта	1	2
239	в противоположность	2	2
240	во всяком	1	2
241	все что	1	2
242	литературы а	1	1
243	то на	1	1
244	внутреннее единство	1	1
245	например в	1	1
246	художественном произведении	1	1
247	с кем	1	1
248	и то	2	1
249	самом деле	2	1
