N	3gram	Kanaev_Sov_1	Problemy
1	с точки зрения	5	13
2	в этом смысле	1	10
3	то же время	1	9
4	в то же	1	9
5	по отношению к	1	8
6	в том что	1	6
7	и в этом	1	5
8	в зависимости от	4	5
9	на самом деле	1	4
10	не может быть	4	4
11	сами по себе	1	3
12	дело идет о	1	3
13	во всяком случае	2	3
14	но все же	1	2
15	оно может быть	1	2
16	в самом деле	1	2
17	он может быть	1	2
18	до сих пор	1	2
19	и не может	1	2
20	и в то	1	2
21	бы то ни	1	2
22	таким образом все	1	2
23	в данном случае	1	2
24	лишь там где	1	2
25	можно было бы	1	2
26	несмотря на кажущуюся	1	1
27	мы видим не	1	1
28	теперь мы должны	1	1
29	и есть то	1	1
30	его и не	1	1
31	же это за	2	1
32	зависимости от различных	1	1
33	ни в один	1	1
34	дело в том	1	1
35	в свою очередь	2	1
36	то же самое	2	1
37	в этом случае	1	1
38	они не могут	1	1
39	данном случае и	1	1
40	не было бы	1	1
41	прежде всего необходимо	1	1
42	может находиться в	1	1
43	на этот вопрос	1	1
44	в каждом отдельном	5	1
45	что дело идет	1	1
46	может быть только	1	1
47	по крайней мере	1	1
48	всяком случае не	1	1
49	раз и навсегда	1	1
50	может быть и	2	1
51	и могут быть	1	1
52	какой бы то	1	1
53	так же как	1	1
54	а не только	1	1
55	то ни было	1	1
56	только и могут	1	1
57	если бы эти	1	1
58	собственную точку зрения	1	1
59	в известном смысле	1	1
60	не могут быть	1	1
61	не в том	1	1
62	могут быть поняты	1	1
63	и именно в	1	1
64	именно в том	1	1
65	что же это	3	1
66	образом все элементы	1	1
67	она не может	1	1
68	своими собственными законами	1	1
69	она и не	1	1
70	с самого начала	3	1
71	но все эти	1	1
72	в настоящее время	2	1
73	друг с другом	2	1
74	в себе в	1	1
