1	и т	14	27
2	и в	38	26
3	т д	5	24
4	так же	1	18
5	т е	26	18
6	то что	6	16
7	не только	9	15
8	может быть	23	14
9	что в	7	14
10	же как	3	13
11	между двумя	2	12
12	но и	13	12
13	связь с	1	12
14	и пр	21	11
15	и его	21	10
16	при помощи	2	10
17	что он	5	10
18	таким образом	20	10
19	так и	8	10
20	этот случай	1	9
21	его в	3	9
22	что и	8	9
23	и не	20	9
24	все же	8	9
25	так как	4	9
26	то же	6	8
27	а в	6	8
28	мы знаем	3	8
29	в этом	27	7
30	их в	2	7
31	героя в	1	7
32	в качестве	2	7
33	превращается в	2	7
34	мы имеем	1	7
35	он не	6	7
36	знаем что	1	7
37	как и	9	7
38	как в	4	7
39	в этих	2	7
40	потому что	2	6
41	могут быть	6	6
42	а не	6	6
43	к нему	3	6
44	вместе с	6	6
45	в дальнейшем	4	6
46	и то	2	6
47	не может	14	6
48	что они	4	6
49	мы видели	4	6
50	как он	1	6
51	с собой	1	5
52	то это	3	5
53	и здесь	3	5
54	уже не	7	5
55	к этому	4	5
56	и по	2	5
57	но в	4	5
58	мы должны	1	5
59	и др	3	5
60	с ними	2	5
61	и как	3	5
62	на нем	2	5
63	как мы	7	5
64	тем что	8	5
65	в некоторых	4	5
66	но не	2	5
67	до сих	1	5
68	но все	3	5
69	в его	10	5
70	не в	15	5
71	ничего не	4	5
72	сих пор	1	5
73	в другом	1	5
74	и с	9	5
75	это и	5	5
76	и только	5	5
77	это не	2	5
78	в тех	2	4
79	но он	1	4
80	так в	3	4
81	и даже	4	4
82	здесь не	4	4
83	вопрос о	1	4
84	с другой	3	4
85	вовсе не	11	4
86	даже в	2	4
87	он в	2	4
88	дает нам	1	4
89	в своей	7	4
90	в этот	1	4
91	а на	1	4
92	о том	1	4
93	другой стороны	4	4
94	не просто	2	4
95	связанные с	1	3
96	только тогда	1	3
97	связи с	13	3
98	в одной	2	3
99	к своему	1	3
100	например в	3	3
101	же в	1	3
102	и действительно	1	3
103	не что	1	3
104	все эти	6	3
105	на котором	2	3
106	при этом	9	3
107	для нас	1	3
108	перед нами	2	3
109	как это	2	3
110	что иное	1	3
111	том что	2	3
112	как бы	4	3
113	есть только	2	3
114	должен был	2	3
115	во всем	1	3
116	этом случае	1	3
117	и другие	2	3
118	не имеет	2	3
119	мы увидим	1	3
120	является и	1	3
121	те же	1	3
122	между ними	2	3
123	по существу	7	3
124	данном случае	1	3
125	или же	2	3
126	на то	1	3
127	что эта	2	3
128	это приводит	3	3
129	в том	11	3
130	только в	6	3
131	в данном	1	3
132	а именно	2	3
133	иное как	1	3
134	она не	2	3
135	там где	4	3
136	не на	1	3
137	на него	1	3
138	к своей	1	3
139	он должен	1	3
140	но это	2	3
141	и более	2	3
142	его к	1	3
143	из этих	3	3
144	е в	1	3
145	и других	2	3
146	о чем	1	3
147	и при	1	3
148	или в	3	3
149	вот этот	1	2
150	связанных с	1	2
151	в языке	6	2
152	от него	2	2
153	не могут	7	2
154	его от	4	2
155	только теперь	1	2
156	не есть	3	2
157	если бы	5	2
158	и их	3	2
159	он уже	1	2
160	было бы	6	2
161	предположение что	1	2
162	в виде	1	2
163	с этими	1	2
164	иногда и	1	2
165	эти новые	1	2
166	а как	3	2
167	он становится	3	2
168	к этим	1	2
169	что это	3	2
170	а сам	1	2
171	происходит в	1	2
172	все это	3	2
173	он стал	1	2
174	и там	1	2
175	и есть	1	2
176	в истории	6	2
177	лошади и	1	2
178	сказать что	2	2
179	эти случаи	1	2
180	связана с	1	2
181	его с	3	2
182	в нем	13	2
183	уже в	2	2
184	и все	3	2
185	они имеют	1	2
186	вступают в	1	2
187	и во	1	2
188	в этой	6	2
189	формы и	2	2
190	случае мы	1	2
191	говорит о	1	2
192	конечно не	1	2
193	никогда не	2	2
194	что на	2	2
195	только одна	1	2
196	в форме	1	2
197	не могло	1	2
198	по себе	7	2
199	не по	2	2
200	в других	7	2
201	общих чертах	1	2
202	хотя и	3	2
203	или просто	1	2
204	с этим	5	2
205	только с	1	2
206	так что	1	2
207	должна быть	5	2
208	такого рода	1	2
209	не дает	1	2
210	поставить вопрос	2	2
211	вот как	4	2
212	в связи	10	2
213	и тем	2	2
214	увидим что	1	2
215	в области	3	2
216	же это	2	2
217	смысле этого	1	2
218	их не	1	2
219	даже и	4	2
220	ему как	1	2
221	не к	2	2
222	на этом	2	2
223	пока только	1	2
224	помощи которой	1	2
225	иногда в	1	2
226	тем не	1	2
227	от них	1	2
228	к ним	1	2
229	в особенности	4	2
230	на этот	1	2
231	его как	2	2
232	в своем	1	2
233	не менее	1	2
234	и на	3	2
235	главным образом	3	2
236	ни одной	1	2
237	лишь в	7	2
238	начинается с	1	2
239	как эта	1	2
240	в целом	3	2
241	задний план	1	2
242	в современной	1	2
243	на задний	1	2
244	того что	3	2
245	и тот	1	2
246	но для	1	2
247	с помощью	10	2
248	и этим	2	2
249	из них	4	2
250	имеем в	1	2
251	этого слова	1	2
252	у нас	1	2
253	во все	1	2
254	отношение к	2	2
255	при изучении	1	2
256	том как	1	2
257	с тем	11	2
258	в себе	1	2
259	хотя бы	6	2
260	ни в	2	2
261	в самую	1	2
262	этот вопрос	2	2
263	нет есть	1	1
264	идет не	1	1
265	в различных	1	1
266	момент в	1	1
267	как не	1	1
268	не следует	4	1
269	под влиянием	1	1
270	помощью своего	1	1
271	различных народов	2	1
272	превращаться в	1	1
273	они его	1	1
274	связью с	1	1
275	и стало	1	1
276	ничем не	2	1
277	вопрос так	1	1
278	этом явлении	1	1
279	сам он	2	1
280	со стороны	2	1
281	является в	2	1
282	на каком	1	1
283	в своих	1	1
284	как будто	1	1
285	это за	1	1
286	он и	3	1
287	нельзя дать	1	1
288	их и	1	1
289	но эти	1	1
290	как же	1	1
291	то он	1	1
292	ничего этого	1	1
293	целый ряд	1	1
294	на свой	1	1
295	очень характерно	2	1
296	могла быть	1	1
297	а только	2	1
298	других случаях	1	1
299	это все	1	1
300	узком смысле	1	1
301	а от	1	1
302	одного из	3	1
303	есть не	1	1
304	том чтобы	1	1
305	приводит к	2	1
306	на эту	1	1
307	точки зрения	8	1
308	не от	1	1
309	был получиться	1	1
310	то и	3	1
311	они представляют	1	1
312	как таковой	3	1
313	к чему-то	1	1
314	и так	1	1
315	новые формы	1	1
316	его же	1	1
317	полагает что	1	1
318	в развитии	2	1
319	и функции	2	1
320	с ним	2	1
321	вывод о	2	1
322	не вполне	1	1
323	не видели	3	1
324	для которых	1	1
325	во главе	1	1
326	средство а	1	1
327	они не	4	1
328	собой но	1	1
329	и связанные	1	1
330	и наконец	4	1
331	своей основной	1	1
332	вообще на	1	1
333	эти функции	2	1
334	один из	2	1
335	их от	1	1
336	думать что	1	1
337	силы и	1	1
338	только как	1	1
339	и другой	1	1
340	еще более	5	1
341	отчасти и	1	1
342	мы устанавливаем	1	1
343	мы будем	1	1
344	а какие	1	1
345	от его	2	1
346	некоторые другие	1	1
347	и хотя	1	1
348	что если	1	1
349	всей этой	1	1
350	друг другу	1	1
351	содержания в	1	1
352	только еще	1	1
353	не могла	1	1
354	именно в	5	1
355	жизни и	3	1
356	должны быть	1	1
357	и другое	2	1
358	мы ни	2	1
359	что именно	2	1
360	не из	1	1
361	и имеет	1	1
362	социальной жизни	1	1
363	к ней	1	1
364	и тут	1	1
365	к тому	4	1
366	однако не	3	1
367	как к	3	1
368	и материальной	1	1
369	совпадает с	2	1
370	в сказках	1	1
371	на что	1	1
372	в эти	1	1
373	поэтому мы	1	1
374	особое место	1	1
375	но нельзя	1	1
376	к его	2	1
377	звери в	1	1
378	но если	1	1
379	и несколько	1	1
380	для этого	2	1
381	почему нельзя	1	1
382	та же	2	1
383	он весь	1	1
384	дальше и	1	1
385	а к	2	1
386	к пониманию	1	1
387	близки к	1	1
388	бы в	5	1
389	говорит он	5	1
390	без этой	1	1
391	к которому	1	1
392	без всякой	3	1
393	о значении	1	1
394	и первоначальный	1	1
395	не должно	1	1
396	несколько ближе	1	1
397	вот почему	1	1
398	тем самым	2	1
399	были не	1	1
400	к какому	1	1
401	других элементов	1	1
402	его нельзя	3	1
403	в русском	1	1
404	чтобы овладеть	1	1
405	общего с	1	1
406	вера в	1	1
407	такой же	3	1
408	в зависимости	3	1
409	показать как	1	1
410	отличать от	1	1
