N	4gram	Tiupa_Teor_1	Hudozhes
1	в то же время	5	4
2	состоит в том что	4	2
3	в том что она	1	2
4	и в то же	1	2
5	мы имеем дело с	1	1
6	том что в прозе	1	1
7	с кротким мягким взглядом	1	1
8	таков что душевная характеристика	1	1
9	мягким взглядом очень здоровая	1	1
10	тихая добродушная жалостливая барышня	1	1
11	полные розовые щеки на	1	1
12	на мягкую белую шею	1	1
13	ее полные розовые щеки	1	1
14	была тихая добродушная жалостливая	1	1
15	это была тихая добродушная	1	1
16	в том случае если	1	1
17	роли в миропорядке то	1	1
18	на ее полные розовые	1	1
19	щеки на мягкую белую	1	1
20	глядя на ее полные	1	1
21	в том что в	1	1
22	определений таков что душевная	1	1
23	дело в том что	1	1
24	добродушная жалостливая барышня с	1	1
25	белую шею с темной	1	1
26	жалостливая барышня с кротким	1	1
27	с самим собою в	1	1
28	в том числе и	1	1
29	кротким мягким взглядом очень	1	1
30	мягкую белую шею с	1	1
31	барышня с кротким мягким	1	1
32	так и не наступает	1	1
33	не несет в себе	1	1
34	розовые щеки на мягкую	1	1
35	точно так же как	1	1
36	заключается в том что	1	1
37	приводит к тому что	2	1
