N	2gram	Medvedev_S_1	Poddanst
1	не только	3	17
2	и в	3	14
3	и не	1	12
4	в области	1	11
5	в этом	5	10
6	то же	2	9
7	в том	5	9
8	хотя бы	1	8
9	только в	2	7
10	в то	1	7
11	же время	1	7
12	было бы	2	6
13	но и	2	6
14	в смысле	2	6
15	с другой	1	5
16	может быть	2	5
17	не в	3	5
18	и о	1	5
19	тех кто	1	4
20	как бы	2	4
21	том что	2	4
22	не может	1	4
23	и потому	1	4
24	в котором	1	4
25	по себе	1	4
26	что в	2	4
27	мы должны	1	4
28	а в	1	4
29	то что	2	4
30	мы не	1	3
31	столь же	1	3
32	между тем	1	3
33	это не	1	3
34	и как	1	3
35	с одной	1	3
36	прежде всего	1	3
37	одной стороны	1	3
38	но не	1	3
39	я и	1	3
40	и есть	1	2
41	в мире	1	2
42	никак не	1	2
43	время в	1	2
44	отнюдь не	1	2
45	главным образом	2	2
46	в его	3	2
47	в виде	1	2
48	в силу	1	2
49	именно в	1	2
50	и мы	2	2
51	в них	1	2
52	не было	1	2
53	нужно было	2	2
54	более чем	3	2
55	все это	7	2
56	слова но	1	2
57	тем более	2	2
58	для нас	3	2
59	в частности	2	2
60	тем же	1	1
61	должна быть	2	1
62	те же	1	1
63	по природе	2	1
64	для этого	1	1
65	может не	1	1
66	настоящее время	1	1
67	и что	2	1
68	литературы и	2	1
69	еще не	2	1
70	связь между	1	1
71	невозможно ни	1	1
72	все же	1	1
73	вопросом о	1	1
74	опирающаяся на	1	1
75	понимать что	1	1
76	только то	1	1
77	но как	1	1
78	что это	1	1
79	чуть ли	1	1
80	именно на	1	1
81	и только	3	1
82	и по	1	1
83	в каждом	1	1
84	его в	1	1
85	широте своего	1	1
86	выйдет из	1	1
87	а с	1	1
88	кто не	1	1
89	и связывается	1	1
90	далеко не	2	1
91	в этой	1	1
92	на основании	1	1
93	как и	1	1
94	работы в	1	1
95	представить себе	1	1
96	всяком случае	1	1
97	место в	1	1
98	по широте	1	1
99	в данном	1	1
100	и более	1	1
101	ни были	1	1
102	этой области	1	1
103	должен понимать	1	1
104	она должна	1	1
105	она может	2	1
106	никогда не	1	1
107	в результате	2	1
108	в настоящее	1	1
109	из понимания	1	1
110	в этих	1	1
111	из тех	1	1
112	только как	2	1
113	что все	1	1
114	этом не	1	1
115	ли не	1	1
116	ни на	1	1
117	темы и	1	1
118	во всяком	1	1
119	они не	1	1
