N	2gram	Medvedev_U_1	Vladivir
1	и в	14	31
2	не только	10	24
3	но и	4	19
4	то что	7	18
5	и не	8	17
6	и даже	1	15
7	у него	1	15
8	в этом	7	14
9	том что	2	14
10	и с	2	14
11	он был	1	14
12	что в	1	14
13	но в	3	12
14	в его	2	12
15	что он	2	12
16	с его	2	11
17	о том	1	11
18	в том	2	11
19	и то	3	10
20	он не	1	10
21	никогда не	1	9
22	в конце	2	9
23	только в	2	9
24	даже и	2	9
25	в течение	1	9
26	в то	3	8
27	для него	3	7
28	об этом	1	7
29	о нем	1	7
30	как раз	2	7
31	сказать что	1	7
32	то же	5	6
33	не без	1	6
34	это было	2	6
35	он и	1	6
36	в котором	1	6
37	у нас	3	6
38	так и	1	6
39	и что	1	6
40	можно сказать	1	6
41	в качестве	1	6
42	может быть	6	6
43	и потому	1	6
44	не может	7	6
45	к этому	1	6
46	на то	1	5
47	не в	2	5
48	что и	2	5
49	но он	1	5
50	не было	1	5
51	что же	1	5
52	все это	5	5
53	в период	1	5
54	в свое	1	5
55	он уже	1	4
56	мы и	2	4
57	в этой	4	4
58	в своем	1	4
59	в этот	1	4
60	в которой	1	4
61	в себе	2	4
62	в нем	1	4
63	в россии	4	4
64	этом смысле	2	4
65	как и	3	4
66	в своей	3	4
67	же время	3	4
68	и у	2	4
69	что для	1	4
70	и все	1	4
71	и через	2	3
72	нам представляется	2	3
73	но не	2	3
74	за пределы	1	3
75	отнюдь не	1	3
76	все же	3	3
77	более или	1	3
78	он в	1	3
79	о которой	1	3
80	на его	1	3
81	то есть	1	3
82	со своими	1	3
83	или менее	1	3
84	но это	2	3
85	что этот	1	3
86	ничего не	2	3
87	таким образом	2	3
88	конце концов	2	3
89	тот же	1	3
90	и действительно	1	3
91	и так	1	3
92	уже не	1	3
93	в виде	1	3
94	но что	1	3
95	с другой	4	3
96	только к	3	3
97	него не	1	3
98	если не	2	3
99	другой стороны	3	3
100	одним из	2	2
101	по его	1	2
102	той же	1	2
103	хотя бы	5	2
104	но даже	2	2
105	первый план	1	2
106	нет и	1	2
107	его на	1	2
108	конечно не	4	2
109	что она	2	2
110	что все	2	2
111	было бы	3	2
112	с тем	1	2
113	была уже	1	2
114	на первый	2	2
115	что такое	4	2
116	почти не	1	2
117	этой области	3	2
118	что с	1	2
119	к изучению	1	2
120	больше чем	1	2
121	и свое	1	2
122	для себя	1	2
123	во мне	1	2
124	не столько	2	2
125	о котором	1	2
126	того что	1	2
127	интереса к	2	2
128	то и	1	2
129	а это	1	2
130	тем что	2	2
131	даже не	1	2
132	что мы	2	2
133	где же	1	2
134	он будет	1	2
135	по существу	2	2
136	для тех	1	2
137	впрочем не	1	2
138	и для	2	2
139	тем более	1	2
140	в самом	2	2
141	и это	1	2
142	в частности	3	2
143	как на	1	2
144	все что	1	2
145	мировоззрения и	1	1
146	выдвигает на	2	1
147	ему вообще	1	1
148	в их	4	1
149	часто бывает	1	1
150	формализма в	1	1
151	не вполне	1	1
152	поэта а	1	1
153	пишет в	1	1
154	изучение ее	1	1
155	в ней	1	1
156	значительной мере	1	1
157	литературы и	2	1
158	столько же	1	1
159	была у	1	1
160	бы то	3	1
161	в различных	1	1
162	относится к	1	1
163	что по	1	1
164	высокую оценку	1	1
165	не приходится	2	1
166	так или	1	1
167	творчество и	1	1
168	по мнению	1	1
169	не следует	3	1
170	поэзии и	1	1
171	их и	2	1
172	это не	3	1
173	в итоге	2	1
174	из первых	1	1
175	мы имеем	1	1
176	место и	1	1
177	мы не	2	1
178	остается в	1	1
179	в г	1	1
180	и требованиями	1	1
181	она в	1	1
182	их в	1	1
183	ни было	3	1
184	не для	1	1
185	и вся	1	1
186	она не	1	1
187	к лицу	1	1
188	что ему	1	1
189	для всех	2	1
190	не столь	1	1
191	этом отношении	2	1
192	в области	3	1
193	очень часто	1	1
194	если у	1	1
195	не могут	2	1
196	же самое	2	1
197	этого и	1	1
198	правда не	1	1
199	то ни	3	1
200	лет с	1	1
201	в произведении	1	1
202	с самим	1	1
203	строго говоря	1	1
204	если бы	2	1
205	сводится к	2	1
206	произведения как	1	1
207	в порядке	1	1
208	искусства и	1	1
209	вот почему	7	1
210	он успел	1	1
211	тех кто	1	1
212	в значительной	1	1
213	нас в	2	1
214	все в	1	1
215	для изучения	1	1
216	толстой в	1	1
217	которой все	1	1
218	самое ее	1	1
219	но тут	1	1
220	сам только	1	1
221	не как	3	1
222	с каждым	1	1
223	которое мы	1	1
224	это же	1	1
225	возвращается в	1	1
226	с одной	1	1
227	к которой	1	1
228	самом деле	2	1
229	в сторону	2	1
230	же в	1	1
231	угла он	1	1
232	одно из	1	1
233	вообще в	1	1
234	последние годы	1	1
235	и искусства	1	1
236	мы можем	1	1
237	него уже	1	1
238	метод с	1	1
239	и только	5	1
240	в последние	1	1
241	или иначе	1	1
242	далеко не	1	1
243	прежде всего	8	1
244	одной стороны	1	1
245	до конца	1	1
246	у других	1	1
247	а не	10	1
248	о чем	2	1
249	на эту	2	1
250	об ее	1	1
251	знает только	1	1
252	на слово	1	1
253	его как	1	1
254	конечно как	1	1
255	этой же	1	1
256	из которых	1	1
257	без труда	1	1
258	в данном	1	1
259	смысле этого	2	1
260	ней не	1	1
261	быть не	1	1
262	много но	1	1
263	не существует	1	1
264	представляется что	1	1
265	в рецензии	1	1
266	это уже	2	1
267	то о	1	1
268	бы в	1	1
269	на одно	1	1
270	ее в	1	1
271	не есть	2	1
272	гораздо больше	1	1
273	но если	1	1
274	время не	1	1
275	существу то	1	1
276	и эта	1	1
277	в таком	1	1
