N	3gram	Medvedev_F_3	DiskursI
1	в том что	3	13
2	по отношению к	3	9
3	с одной стороны	1	9
4	о том что	1	5
5	в отличие от	2	4
6	то же время	7	4
7	но при этом	1	3
8	не в том	1	3
9	той или иной	1	3
10	не может быть	14	3
11	с другой стороны	5	3
12	в то же	7	3
13	что же касается	1	2
14	и того же	1	2
15	а не в	3	2
16	подобно тому как	4	2
17	в том числе	1	2
18	то же самое	3	2
19	в одной из	1	2
20	тот или иной	1	2
21	сами по себе	2	2
22	том числе и	1	2
23	в значительной степени	1	2
24	первого и второго	1	2
25	а не только	1	2
26	в данном случае	4	2
27	не только в	1	2
28	не сводится к	1	2
29	событие самого рассказывания	1	2
30	в частности в	1	2
31	но отнюдь не	1	2
32	можно сказать что	1	2
33	одного и того	1	2
34	в этом случае	1	1
35	нет и не	2	1
36	в чистом виде	1	1
37	точки зрения на	1	1
38	дело в том	2	1
39	одним и тем	2	1
40	на самом деле	12	1
41	но не самой	1	1
42	в этом смысле	2	1
43	о том как	2	1
44	с точки зрения	14	1
45	до сих пор	1	1
46	и не может	4	1
47	как и все	2	1
48	говорит о том	1	1
49	и в то	2	1
50	хотя бы и	1	1
51	сам по себе	1	1
52	только то что	2	1
53	из того что	1	1
54	в таком случае	1	1
55	том или ином	1	1
56	в своих пределах	1	1
57	а иногда и	1	1
58	в противном случае	1	1
59	вместе с тем	3	1
60	всяком случае ясно	1	1
61	во всех областях	2	1
62	ту или иную	1	1
63	есть типическая форма	1	1
64	как мы видели	2	1
65	но в таком	1	1
66	и тем же	2	1
67	и в том	1	1
68	из виду что	1	1
69	высказывания может быть	1	1
70	здесь имеет место	1	1
71	отца к сыну	1	1
72	не утрачивает своей	1	1
73	одни и те	3	1
74	в связи с	4	1
75	а не как	1	1
76	трехмерного конструктивного целого	1	1
77	так и от	2	1
78	в следующей главе	2	1
79	во всяком случае	6	1
80	того или иного	1	1
81	в этом отношении	3	1
82	с той или	1	1
83	от отца к	1	1
84	не от отца	1	1
85	не в качестве	1	1
86	в нем нет	1	1
87	в этом же	1	1
88	до известной степени	2	1
89	всякое конкретное высказывание	2	1
90	так и в	2	1
91	лишь в эпоху	1	1
92	в истории литературы	3	1
93	до настоящего времени	1	1
94	с самого начала	1	1
95	и те же	3	1
96	не может стать	2	1
97	в этом рассуждении	1	1
98	и чем она	1	1
99	на то что	1	1
100	может и не	1	1
101	неотделимо от его	1	1
102	действительности в процессе	1	1
103	тех или иных	1	1
104	тем не менее	2	1
105	но все же	1	1
106	дело не в	2	1
107	в большинстве случаев	4	1
108	как и в	1	1
109	места и времени	1	1
110	в том или	1	1
