N	3gram	Voloshinov_1	Poddanst
1	в то же	1	7
2	то же время	1	7
3	в отношении к	2	5
4	в том что	4	4
5	с точки зрения	2	3
6	сами по себе	1	3
7	с одной стороны	2	3
8	одной стороны и	2	2
9	но и в	1	2
10	в своем значении	1	2
11	том что в	1	1
12	нельзя отождествлять с	1	1
13	более или менее	1	1
14	в настоящее время	2	1
15	в этом смысле	1	1
16	или хотя бы	1	1
17	и в этом	1	1
18	и не может	3	1
19	поскольку они являются	1	1
20	совершенно ясно что	1	1
21	в этих двух	2	1
22	и в частности	1	1
23	так же как	1	1
24	бы оно ни	1	1
25	во всяком случае	1	1
26	в творчестве достоевского	1	1
27	с другой стороны	2	1
28	не может быть	7	1
29	и в формах	1	1
30	но в то	1	1
31	в частности в	1	1
32	литературы и не	1	1
