N	2gram	Bakhtin_Pr_1	SlovoVZh
1	к его	2	2
2	а не	5	2
3	только на	1	1
4	у нас	2	1
5	уже и	1	1
6	оно не	3	1
7	не лингвистическая	1	1
8	высказывания все	1	1
9	его и	1	1
10	умирает в	1	1
11	и психологическая	1	1
12	его форма	1	1
13	мы это	1	1
14	в процессе	1	1
15	в своей	7	1
16	о чем	1	1
17	не довлеет	2	1
18	все стороны	2	1
19	может быть	26	1
20	отношению к	19	1
21	на самом	4	1
22	форма в	1	1
23	есть выражение	2	1
24	в том	8	1
25	довлеет себе	2	1
26	точек зрения	1	1
27	по себе	1	1
28	значение и	1	1
29	и художественно	2	1
30	и его	16	1
31	не может	27	1
32	и умирает	1	1
33	живет и	1	1
34	конкретное высказывание	1	1
35	это уже	1	1
36	и более	2	1
37	его значение	1	1
38	к предмету	1	1
39	как к	2	1
40	таким образом	10	1
41	или о	1	1
42	но это	3	1
43	быть и	1	1
44	слова это	1	1
45	том же	2	1
46	даже совершенно	1	1
47	совершенно необходимо	1	1
48	все они	5	1
49	так и	5	1
50	и для	11	1
51	сами по	1	1
52	и психологически	1	1
53	по отношению	21	1
54	и к	3	1
55	точки зрения	8	1
