N	3gram	Bakhtin_fo_2	KulturaY
1	и т п	11	18
2	для того чтобы	7	15
3	в том что	3	15
4	и т д	3	14
5	с точки зрения	8	9
6	с другой стороны	1	6
7	о том что	1	5
8	в этом отношении	2	5
9	до сих пор	2	4
10	том что он	1	4
11	о том как	3	3
12	только в том	1	3
13	вместе с тем	1	3
14	в связи с	7	3
15	в свою очередь	1	3
16	не может быть	1	3
17	и того же	1	2
18	сводится к тому	1	2
19	на самом деле	1	2
20	в этом случае	2	2
21	рано или поздно	1	2
22	именно в том	1	2
23	то же время	4	2
24	этой точки зрения	1	2
25	но все же	1	2
26	одного и того	1	2
27	в данном отношении	1	2
28	в то же	4	2
29	к тому что	1	2
30	что в этом	2	1
31	это и было	1	1
32	и в особенности	3	1
33	значение все это	1	1
34	т п наконец	1	1
35	с одной стороны	1	1
36	и в то	3	1
37	сами по себе	2	1
38	в действии и	1	1
39	только для того	1	1
40	можно говорить о	1	1
41	в отличие от	1	1
42	особенно важное значение	1	1
43	по своему содержанию	1	1
44	из них возможны	1	1
45	а вместе с	1	1
46	в погоне за	1	1
47	по существу не	1	1
48	большую роль в	1	1
49	с этой точки	1	1
50	совершенно не понятое	1	1
51	так что в	1	1
52	одно и то	1	1
53	необходимо указать на	1	1
54	в особенности в	1	1
55	роль в истории	1	1
56	не только в	5	1
57	к вопросу о	3	1
58	и то же	1	1
59	всех этих случаях	1	1
60	и вместе с	1	1
61	во всех этих	3	1
62	до того что	1	1
63	имеем в виду	3	1
64	себе в этих	1	1
65	это не значит	1	1
66	а вовсе не	1	1
67	не для того	2	1
68	вместо того чтобы	1	1
69	потому что они	2	1
70	в совершенно ином	1	1
71	деле может быть	1	1
72	и пр и	1	1
73	рядом с этим	1	1
74	здесь как бы	1	1
75	самом деле может	1	1
76	между тем как	1	1
77	по аналогии с	1	1
78	мы наблюдаем в	1	1
79	в соображение что	1	1
80	и назвать его	1	1
81	с тем что	1	1
82	той или иной	1	1
83	мы имеем в	2	1
84	друг от друга	2	1
85	тем более что	2	1
86	в литературе и	1	1
87	в большинстве случаев	3	1
88	состояло в том	1	1
89	пр и пр	1	1
90	что и в	1	1
91	тот или иной	1	1
