N	3gram	Tiupa_Anal_1	Poddanst
1	в то же	8	7
2	то же время	6	7
3	не только в	1	4
4	в том что	9	4
5	с точки зрения	4	3
6	сами по себе	2	3
7	с одной стороны	3	3
8	в настоящий момент	1	3
9	в том числе	3	2
10	но и в	2	2
11	в полной мере	3	2
12	в том виде	1	1
13	есть не более	1	1
14	не может помешать	1	1
15	далеко не все	1	1
16	более или менее	1	1
17	в этом смысле	1	1
18	или хотя бы	1	1
19	и в качестве	1	1
20	сколько бы ни	1	1
21	и не может	4	1
22	в отличие от	6	1
23	и быть может	1	1
24	в собственном смысле	1	1
25	тех пор пока	1	1
26	а в качестве	1	1
27	вместе с тем	1	1
28	и в частности	1	1
29	между тем в	1	1
30	не в том	3	1
31	бы оно ни	1	1
32	во всяком случае	1	1
33	с другой стороны	2	1
34	не может быть	16	1
35	быть может не	1	1
36	до тех пор	1	1
37	точки зрения исторической	1	1
38	тогда когда ее	1	1
39	и тем самым	1	1
40	но в то	2	1
41	друг с другом	1	1
42	в известном смысле	1	1
43	для того чтобы	3	1
44	в отрыве от	2	1
45	на наш взгляд	6	1
46	том числе и	1	1
47	не только мы	1	1
