N	2gram	Medvedev_U_1	Otkroven
1	у него	1	22
2	и в	14	19
3	но и	4	13
4	и не	8	13
5	в этом	7	12
6	не в	2	11
7	не только	10	11
8	может быть	6	11
9	а не	10	11
10	человека и	1	10
11	в нем	1	10
12	и все	1	10
13	прежде всего	8	9
14	не было	1	9
15	никогда не	1	9
16	он был	1	8
17	в его	2	7
18	он не	1	7
19	до конца	1	7
20	но он	1	7
21	как и	3	6
22	все это	5	6
23	в том	2	5
24	в самом	2	5
25	в этой	4	5
26	для него	3	5
27	в россии	4	5
28	достоевского и	1	5
29	то что	7	5
30	с его	2	4
31	все в	1	4
32	не может	7	4
33	что в	1	4
34	о том	1	3
35	было бы	3	3
36	того что	1	3
37	что он	2	3
38	в себе	2	3
39	не могут	2	3
40	это было	2	3
41	это не	3	3
42	могут быть	2	3
43	хотя бы	5	3
44	все что	1	3
45	он прежде	1	2
46	и с	2	2
47	и то	3	2
48	так и	1	2
49	по себе	2	2
50	никогда и	1	2
51	художественном творчестве	2	2
52	не все	2	2
53	что и	2	2
54	в своем	1	2
55	все же	3	2
56	в этот	1	2
57	и потому	1	2
58	в которой	1	2
59	он в	1	2
60	о которой	1	2
61	что для	1	2
62	одно из	1	2
63	тем что	2	2
64	даже и	2	2
65	сказать что	1	2
66	с тем	1	2
67	должно быть	1	2
68	него не	1	2
69	том что	2	2
70	к этому	1	2
71	что же	1	2
72	у кого	1	2
73	и для	2	2
74	ничего не	2	2
75	не есть	2	2
76	в своей	3	2
77	что все	2	2
78	ее в	1	2
79	но в	3	2
80	и это	1	1
81	не делает	1	1
82	и действительно	1	1
83	и через	2	1
84	в виду	1	1
85	сам по	1	1
86	л толстого	1	1
87	было сделать	1	1
88	из самых	1	1
89	это для	1	1
90	должна быть	2	1
91	он знает	1	1
92	мы не	2	1
93	если бы	2	1
94	все и	1	1
95	связаны и	1	1
96	не вполне	1	1
97	о нем	1	1
98	в ней	1	1
99	и что	1	1
100	все его	1	1
101	самом деле	2	1
102	но не	2	1
103	говорит он	1	1
104	которой все	1	1
105	толстого и	1	1
106	у толстого	1	1
107	в частности	3	1
108	интереса к	2	1
109	что только	1	1
110	бы и	2	1
111	к которой	1	1
112	уже не	1	1
113	ее как	1	1
114	на то	1	1
115	бы ни	1	1
116	что она	2	1
117	его и	2	1
118	они в	1	1
119	само по	1	1
120	этом отношении	2	1
121	существование в	1	1
122	же не	2	1
123	и даже	1	1
124	и прежде	1	1
125	а это	1	1
126	было и	1	1
127	свое оправдание	1	1
128	о чем	2	1
129	он и	1	1
130	художественного творчества	5	1
131	его как	1	1
132	в котором	1	1
133	и требованиями	1	1
134	всего только	1	1
135	смысле этого	2	1
136	что было	1	1
137	он ставит	1	1
138	в конце	2	1
139	друг с	1	1
140	ней не	1	1
141	не внешне	1	1
142	быть не	1	1
143	и формы	3	1
144	для тех	1	1
145	но это	2	1
146	на своем	1	1
147	она не	1	1
148	того как	1	1
149	она должна	1	1
150	в процессе	1	1
151	не случайно	2	1
152	было у	1	1
153	не существует	1	1
154	может служить	1	1
155	бы в	1	1
156	еще ничего	2	1
157	с другом	1	1
158	у нас	3	1
159	и эта	1	1
160	состоит из	1	1
161	природе и	1	1
162	в свое	1	1
163	всего что	1	1
164	от которой	1	1
