N	4gram	Savitsky_E_1	VeschiIm
1	бы то ни было	4	9
2	не значит ли это	1	4
3	в то же время	14	4
4	и в то же	8	3
5	дело в том что	1	2
6	с этой точки зрения	5	2
7	заключается в том что	2	2
8	с одной стороны и	6	1
9	одного и того же	1	1
10	т е прежде всего	1	1
11	в качестве одного из	1	1
12	что как бы ни	1	1
13	и та и другая	1	1
14	не может быть речи	1	1
15	в то время как	1	1
16	может быть речи о	1	1
17	это значит что на	1	1
18	то ни было только	1	1
19	но в то же	2	1
20	из того что в	1	1
21	каких бы то ни	2	1
22	в том смысле что	1	1
23	но само по себе	1	1
