N	3gram	Trubetskoy_1	VLabPisa
1	с другой стороны	4	8
2	не может быть	3	8
3	по отношению к	9	7
4	по этому поводу	1	7
5	более или менее	7	6
6	в зависимости от	1	5
7	то же время	2	5
8	в то же	2	5
9	в связи с	3	4
10	в том что	15	4
11	вместе с тем	2	3
12	в этой области	4	3
13	из приведенных выше	1	3
14	мы видели что	1	3
15	о том что	4	3
16	хотя бы в	1	3
17	к тому что	1	3
18	не может не	3	2
19	таким образом даже	1	2
20	в том числе	1	2
21	до сих пор	8	2
22	что все эти	1	2
23	только то что	2	2
24	таким образом в	3	2
25	можно было бы	1	2
26	и не может	1	2
27	по крайней мере	1	2
28	так и от	1	2
29	значит и в	1	2
30	с одной стороны	2	2
31	в конце концов	4	2
32	они должны быть	2	2
33	во всех этих	2	2
34	во всяком случае	2	2
35	в этом и	1	2
36	этой точки зрения	1	2
37	не только не	1	2
38	том числе и	1	2
39	мы знаем что	7	2
40	таким образом по	1	2
41	для того чтобы	7	2
42	образом по отношению	1	2
43	и в другом	1	2
44	и может быть	2	1
45	нет и не	1	1
46	хотя и не	1	1
47	если все эти	1	1
48	точки зрения на	1	1
49	в начале этой	2	1
50	иметь в виду	1	1
51	то время как	1	1
52	в самом деле	5	1
53	в том же	3	1
54	с этой точки	1	1
55	как и все	2	1
56	тот или иной	1	1
57	говоря уже о	1	1
58	те черты которые	1	1
59	между собою в	1	1
60	и так или	1	1
61	только в том	1	1
62	большею частью в	1	1
63	не отличается от	1	1
64	том или ином	1	1
65	и в ту	1	1
66	может быть и	4	1
67	эти примеры показывают	1	1
68	не подлежит сомнению	3	1
69	одно и то	1	1
70	их отношение к	1	1
71	она к тому	1	1
72	так или иначе	5	1
73	что во всех	1	1
74	на основании этих	1	1
75	в том или	1	1
76	уже о том	1	1
77	приводит к тому	1	1
78	в ту же	1	1
79	в данном случае	3	1
80	по этому вопросу	1	1
81	таким образом и	1	1
82	чтобы ответить на	1	1
83	том же духе	1	1
84	то же самое	1	1
85	и то же	1	1
86	так же как	3	1
87	таким образом для	1	1
88	по сравнению с	5	1
89	то непосредственное впечатление	1	1
90	мы видим что	1	1
91	каждый из них	1	1
92	что ни одна	1	1
93	хотя бы с	1	1
94	не в том	1	1
95	все же не	3	1
96	но вместе с	1	1
97	а между тем	8	1
98	все то что	1	1
99	именно в том	1	1
100	что они не	1	1
101	а в том	1	1
102	сих пор не	2	1
103	между этими двумя	2	1
104	у него в	1	1
105	данного произведения в	1	1
106	но по существу	1	1
107	но с другой	1	1
108	в то время	2	1
109	не говоря уже	1	1
110	том же направлении	1	1
111	в свою очередь	2	1
112	та или иная	1	1
113	ничего общего с	2	1
114	и художественное произведение	1	1
115	и без того	4	1
116	может быть признана	1	1
117	между ними нет	1	1
118	по его мнению	1	1
119	из этих элементов	1	1
120	ни одна из	1	1
121	этой области не	1	1
122	подлежит сомнению что	3	1
123	а как бы	1	1
124	что все они	1	1
125	начале этой главы	1	1
126	между всеми этими	1	1
127	мы только что	1	1
128	к тому же	5	1
129	только тогда когда	1	1
130	как мы знаем	1	1
131	заключает в себе	2	1
132	всех других видов	1	1
