N	3gram	Vinokur_St_1	SlovoVZh
1	по отношению к	3	11
2	не может быть	5	7
3	дело в том	4	4
4	в том что	17	4
5	и не может	1	3
6	и по отношению	1	3
7	тем не менее	2	3
8	бы то ни	1	3
9	может быть и	2	3
10	до сих пор	7	3
11	и не в	1	3
12	в какой степени	1	2
13	на самом деле	6	2
14	с другой стороны	6	2
15	что не может	2	2
16	с точки зрения	8	2
17	в зависимости от	1	2
18	с этой стороны	1	2
19	в данном случае	6	2
20	в настоящее время	1	2
21	с одной стороны	2	2
22	в так называемой	1	1
23	том что в	3	1
24	но все же	3	1
25	для него не	1	1
26	а между тем	1	1
27	и в этом	3	1
28	есть в ней	1	1
29	имеем дело с	2	1
30	о том кто	1	1
31	точки зрения как	1	1
32	мы имеем дело	1	1
33	не может особенно	1	1
34	то время как	1	1
35	одним и тем	2	1
36	бы они ни	1	1
37	во всяком случае	6	1
38	так как в	2	1
39	уже и сейчас	1	1
40	в самом деле	5	1
41	то что оно	1	1
42	в этом смысле	1	1
43	как это делает	1	1
44	же как и	1	1
45	одной точки зрения	1	1
46	то что для	1	1
47	и таким образом	1	1
48	в то время	2	1
49	сих пор не	1	1
50	убедиться в этом	1	1
51	ни в чем	1	1
52	является то что	1	1
53	сами по себе	1	1
54	но и в	2	1
55	же время не	1	1
56	о том что	11	1
57	только то что	1	1
58	ничего общего с	3	1
59	в этом отношении	7	1
60	ее отношении к	1	1
61	такой же степени	1	1
62	можно было бы	8	1
63	то же время	4	1
64	на протяжении всей	1	1
65	в лучшем случае	1	1
66	они ни были	1	1
67	по крайней мере	2	1
68	в то же	4	1
69	говорит о том	2	1
70	в том и	1	1
71	того чтобы не	1	1
72	если бы оно	1	1
73	является для нас	1	1
74	чтобы убедиться в	1	1
75	так же как	3	1
76	того что именно	1	1
77	как и в	2	1
78	и тем же	2	1
79	но в то	2	1
80	это прежде всего	2	1
81	в ее отношении	1	1
82	может быть ни	1	1
83	в том же	1	1
