N	3gram	Losev_Vlad_2	VLabPisa
1	и т д	1	15
2	в этом отношении	1	13
3	в письме к	4	9
4	не может быть	1	8
5	по этому поводу	1	7
6	более или менее	3	6
7	то же время	3	5
8	в то же	3	5
9	не было бы	1	4
10	в связи с	8	4
11	можно сказать что	1	4
12	равно как и	1	4
13	в том что	9	4
14	можно утверждать что	1	3
15	как это делает	1	3
16	и в то	1	3
17	а значит и	1	3
18	вместе с тем	1	3
19	о том что	3	3
20	не может не	1	2
21	чуть ли не	1	2
22	также и в	1	2
23	в том числе	1	2
24	до сих пор	1	2
25	только то что	1	2
26	можно было бы	2	2
27	в частности к	1	2
28	по крайней мере	4	2
29	вот что пишет	2	2
30	в том чтобы	2	2
31	в конце концов	3	2
32	из них не	1	2
33	нет никаких оснований	1	2
34	во всяком случае	6	2
35	от июля года	2	2
36	для того чтобы	1	2
37	во сне и	1	1
38	на этот вопрос	1	1
39	хотя и не	2	1
40	в которой он	1	1
41	в какой мере	1	1
42	по существу своему	1	1
43	то время как	1	1
44	н н страхову	1	1
45	в конце года	1	1
46	как это мы	4	1
47	у вл соловьева	11	1
48	в самом деле	1	1
49	но даже и	1	1
50	в этом смысле	1	1
51	видел во сне	1	1
52	в том же	2	1
53	в ноябре года	1	1
54	до последних дней	1	1
55	говоря уже о	2	1
56	от декабря года	3	1
57	года по поводу	1	1
58	то что в	1	1
59	кроме того что	1	1
60	от октября года	1	1
61	может быть и	1	1
62	по себе в	1	1
63	что даже и	1	1
64	к н н	1	1
65	в этом же	1	1
66	в ней не	1	1
67	так или иначе	3	1
68	говорит в письме	1	1
69	что во всех	1	1
70	от августа года	1	1
71	или как говорит	1	1
72	в данном случае	2	1
73	но в то	1	1
74	не только в	2	1
75	всех этих фактов	1	1
76	и невозможно и	1	1
77	не в том	3	1
78	по существу же	1	1
79	оно может быть	1	1
80	но вместе с	1	1
81	года в году	1	1
82	что пишет о	1	1
83	уже есть и	1	1
84	в целом но	1	1
85	а в том	2	1
86	от июня года	1	1
87	сих пор не	1	1
88	у него в	3	1
89	три года в	1	1
90	в то время	6	1
91	не говоря уже	2	1
92	об этом у	1	1
93	в свою очередь	2	1
94	еще в году	1	1
95	ничего общего с	1	1
96	уже в самых	1	1
97	можно говорить только	1	1
98	из этих элементов	1	1
99	и есть для	1	1
100	после того как	2	1
101	не механически и	1	1
102	может быть в	1	1
103	к тому же	1	1
104	только тогда когда	1	1
105	как мы знаем	4	1
106	и следовало ожидать	1	1
