N	3gram	Voloshinov_2	Tragedij
1	то же время	8	5
2	в то же	8	5
3	так и в	1	3
4	в отличие от	3	2
5	но в то	5	2
6	о том что	3	2
7	но все же	1	2
8	в том что	6	2
9	в этом случае	1	1
10	не только по	1	1
11	и добро и	1	1
12	вообще не имеет	1	1
13	том что он	2	1
14	у него нет	1	1
15	и не может	3	1
16	сам по себе	1	1
17	в той же	1	1
18	ничего не значит	1	1
19	во всяком случае	2	1
20	в высшей степени	3	1
21	смысле этого слова	4	1
22	если б это	1	1
23	обстоит дело с	1	1
24	по сравнению с	1	1
25	тем не менее	1	1
26	не могут быть	1	1
27	в связи с	7	1
28	не может быть	10	1
29	отнюдь не является	2	1
30	с самого начала	5	1
31	в самом деле	5	1
32	так обстоит дело	1	1
33	к тому что	3	1
34	добро и зло	1	1
35	как и в	1	1
