N	2gram	Tiupa_Hudo_2	Morfolog
1	может быть	8	52
2	и т	4	49
3	т д	2	47
4	представляет собой	1	17
5	не может	4	17
6	в этих	3	16
7	т е	2	16
8	и в	28	13
9	действующих лиц	1	13
10	в этом	13	13
11	так как	1	12
12	перед нами	11	11
13	то же	6	9
14	мы имеем	1	9
15	так и	8	9
16	этом случае	1	9
17	не всегда	1	9
18	прежде всего	3	9
19	а не	14	9
20	и не	18	9
21	а затем	1	8
22	что и	4	8
23	с другой	3	8
24	по существу	1	8
25	в качестве	4	7
26	все же	2	7
27	но не	4	6
28	это не	6	6
29	во время	1	6
30	подобно тому	4	6
31	и здесь	1	6
32	а также	2	6
33	в том	15	6
34	а в	6	6
35	мы не	1	5
36	во всех	1	5
37	не все	3	5
38	тому как	4	5
39	то что	6	5
40	в ходе	1	5
41	не менее	5	5
42	потому что	2	5
43	в поле	1	5
44	или в	3	5
45	иногда в	1	5
46	этот момент	1	5
47	вслед за	4	5
48	один из	2	5
49	наряду с	5	5
50	как бы	5	5
51	и другие	5	5
52	также и	1	4
53	тех же	1	4
54	показать что	1	4
55	если в	2	4
56	как в	5	4
57	хотя и	1	4
58	ни одна	1	4
59	не только	11	4
60	на этом	2	4
61	следующим образом	3	4
62	об этом	7	4
63	его в	2	4
64	было бы	3	4
65	вовсе не	2	4
66	как и	11	4
67	несмотря на	3	4
68	точки зрения	2	4
69	с точки	2	4
70	тем не	4	4
71	ничего не	5	4
72	тем что	6	4
73	героя а	1	4
74	в других	4	4
75	как мы	2	4
76	могла бы	2	4
77	видно что	1	4
78	по отношению	7	4
79	другой стороны	1	4
80	там где	1	4
81	так же	3	4
82	а если	1	4
83	в точности	1	4
84	отношению к	7	4
85	героя в	1	4
86	что в	5	4
87	самом деле	3	3
88	в первом	2	3
89	момент когда	1	3
90	и для	2	3
91	между собой	1	3
92	независимо от	1	3
93	предметы и	1	3
94	но в	2	3
95	в нашем	2	3
96	в пределах	1	3
97	прежде чем	2	3
98	но все	1	3
99	а по	2	3
100	из них	2	3
101	сам он	2	3
102	в один	1	3
103	том что	19	3
104	о герое	1	3
105	в то	6	3
106	в сущности	1	3
107	на него	3	3
108	того чтобы	4	3
109	от того	1	3
110	для героя	1	3
111	с собой	2	3
112	если бы	6	3
113	с того	2	3
114	но и	9	3
115	он не	4	3
116	во втором	2	3
117	к нему	3	3
118	и ее	3	3
119	не происходит	1	3
120	в начале	1	3
121	не является	2	3
122	что они	4	3
123	этого момента	1	3
124	но это	1	3
125	это уже	2	3
126	же в	1	3
127	героя и	3	3
128	первом случае	1	3
129	ее по	2	3
130	можно назвать	1	3
131	как это	7	2
132	со смертью	1	2
133	время как	1	2
134	а с	3	2
135	хоть бы	1	2
136	и таким	1	2
137	как уже	2	2
138	и к	2	2
139	то в	4	2
140	та же	2	2
141	состоит в	7	2
142	в сад	1	2
143	можно было	3	2
144	в другом	2	2
145	мы уже	3	2
146	это было	2	2
147	по ночам	1	2
148	и иных	1	2
149	за ней	1	2
150	то как	1	2
151	этого не	1	2
152	и тогда	2	2
153	для него	5	2
154	и при	1	2
155	нельзя было	2	2
156	настоящее время	1	2
157	и более	1	2
158	однако в	2	2
159	все эти	1	2
160	одна из	2	2
161	и его	5	2
162	к себе	3	2
163	они и	2	2
164	для того	4	2
165	оно не	2	2
166	здесь не	2	2
167	можно показать	1	2
168	то время	1	2
169	и что	1	2
170	не с	2	2
171	является в	1	2
172	с этого	1	2
173	о том	12	2
174	с одной	3	2
175	можно сказать	6	2
176	в различных	1	2
177	путь к	1	2
178	не означает	1	2
179	и только	2	2
180	д он	1	2
181	того что	1	2
182	как например	1	2
183	быть и	1	2
184	хотя бы	2	2
185	идет по	2	2
186	на другие	1	2
187	что он	8	2
188	только в	4	2
189	себя в	8	2
190	уже не	10	2
191	в виде	2	2
192	его и	2	2
193	у нее	10	2
194	живой и	1	2
195	когда герой	1	2
196	себя и	2	2
197	а на	1	2
198	не знает	1	2
199	сказать что	2	2
200	вторая половина	1	2
201	в частности	7	2
202	в лесу	1	2
203	одной стороны	3	2
204	есть и	3	2
205	но для	1	2
206	не существует	1	2
207	сразу же	1	2
208	в настоящее	1	2
209	одной из	3	2
210	а во	1	2
211	к этому	1	2
212	во сне	3	2
213	точно так	1	2
214	к людям	2	1
215	например в	1	1
216	таком случае	1	1
217	функции в	1	1
218	и то	2	1
219	еще мал	1	1
220	свою жену	1	1
221	приходит к	2	1
222	то для	1	1
223	чего в	1	1
224	г в	1	1
225	она в	2	1
226	отвечать только	1	1
227	ответить на	1	1
228	ли ее	1	1
229	что это	5	1
230	ему в	2	1
231	не совсем	1	1
232	кто же	1	1
233	героев в	1	1
234	может дать	1	1
235	он был	1	1
236	прячется в	1	1
237	тем как	2	1
238	одна за	1	1
239	но как	1	1
240	не то	1	1
241	а он	1	1
242	ответ на	2	1
243	тогда как	7	1
244	отношение к	2	1
245	или иное	1	1
246	во что	1	1
247	герой при	1	1
248	более чем	2	1
249	не ощущается	1	1
250	для всех	1	1
251	так скоро	1	1
252	мы имели	1	1
253	более и	1	1
254	в полном	1	1
255	мысль о	2	1
256	к иному	1	1
257	дает себя	1	1
258	его к	1	1
259	имеет в	1	1
260	со своей	2	1
