N	3gram	Medvedev_V_1	Problema
1	и т д	14	13
2	в том что	5	9
3	сама по себе	1	8
4	той или иной	1	8
5	то же самое	1	7
6	в связи с	3	7
7	в данном случае	1	7
8	сами по себе	1	6
9	во всяком случае	1	6
10	по крайней мере	2	5
11	с другой стороны	8	5
12	не может быть	8	5
13	но даже и	1	4
14	в таком случае	1	4
15	в то же	5	4
16	это вовсе не	1	4
17	даже и не	1	4
18	то время как	1	4
19	и то же	1	4
20	в то время	1	4
21	того или другого	1	3
22	того или иного	1	3
23	не было бы	4	3
24	можно было бы	2	3
25	может быть даже	1	3
26	может быть и	1	3
27	одно и то	1	3
28	в конце концов	2	3
29	имеет ничего общего	1	3
30	как будто бы	1	3
31	не имеет ничего	1	3
32	том смысле что	1	3
33	та или иная	1	3
34	о том что	3	3
35	в том смысле	1	3
36	чем же в	1	2
37	хотя и не	1	2
38	в той или	1	2
39	о том как	3	2
40	же как и	1	2
41	до сих пор	1	2
42	но и в	1	2
43	мы говорим о	1	2
44	том или ином	1	2
45	то или иное	1	2
46	в том или	1	2
47	не только в	2	2
48	ни к какому	1	2
49	по сравнению с	1	2
50	этой точки зрения	2	2
51	только то что	2	2
52	ничего общего с	1	2
53	но с другой	1	2
54	прав в том	1	2
55	даже и в	1	2
56	можно сказать что	4	2
57	для самого себя	1	2
58	или иной мере	1	2
59	с теми или	1	2
60	не значит что	1	2
61	дело не в	1	2
62	могло бы быть	1	2
63	если бы он	1	1
64	по существу же	1	1
65	и может быть	1	1
66	то это вовсе	1	1
67	точки зрения на	1	1
68	по одному тому	2	1
69	в виду не	1	1
70	в прямом смысле	1	1
71	по существу своему	1	1
72	произведения и его	1	1
73	в чем же	2	1
74	иметь в виду	2	1
75	теми или иными	1	1
76	более или менее	6	1
77	у тургенева и	1	1
78	что для него	1	1
79	имеются в виду	1	1
80	и значит что	1	1
81	таким образом сама	1	1
82	и есть то	1	1
83	художественного произведения и	1	1
84	одним из главнейших	1	1
85	что он не	1	1
86	вовсе не значит	1	1
87	из них и	1	1
88	не отличается от	1	1
89	одному тому что	2	1
90	на этот вопрос	1	1
91	прямо и непосредственно	1	1
92	хотя может быть	1	1
93	это и значит	1	1
94	с этой точки	1	1
95	является не чем	1	1
96	есть то что	1	1
97	же в таком	1	1
98	в целом и	1	1
99	и в обыденной	1	1
100	или ином отношении	1	1
101	в том чтобы	2	1
102	в художественном произведении	4	1
103	с одной стороны	2	1
104	у л толстого	2	1
105	это понятие или	1	1
106	не могут не	2	1
107	быть и речи	1	1
108	того что не	1	1
109	во всех этих	1	1
110	самые разнообразные формы	1	1
111	не имели бы	1	1
112	так или иначе	1	1
113	необходимо подчеркнуть что	1	1
114	все же не	1	1
115	уже по одному	2	1
116	ответ на этот	1	1
117	не обходится без	1	1
118	таким образом и	1	1
119	так же как	1	1
120	в художественном образе	1	1
121	по себе в	1	1
122	бросается в глаза	1	1
123	может быть никакого	1	1
124	художественными образами и	1	1
125	что они не	1	1
126	в целом но	1	1
127	хотя в порядке	1	1
128	чем иным как	1	1
129	от того что	2	1
130	это и есть	3	1
131	отнюдь не являются	1	1
132	равно как и	4	1
133	не чем иным	1	1
134	и никогда не	1	1
135	не только не	2	1
136	чем же выражается	1	1
137	на то или	1	1
138	нет например в	1	1
139	в самом деле	1	1
140	ту или иную	1	1
141	только в том	2	1
142	мы в данном	1	1
143	уже сама по	1	1
144	мы только что	1	1
145	к тому что	3	1
146	в результате этого	1	1
147	таким образом в	2	1
148	характером и не	1	1
149	идеи и образа	1	1
150	для того чтобы	3	1
151	может быть в	1	1
152	к тому же	1	1
153	только тогда когда	1	1
154	том что и	1	1
