N	3gram	Bakhtin_KF_1	SlovoVZh
1	по отношению к	22	11
2	не может быть	11	7
3	дело в том	1	4
4	как если бы	1	4
5	в том что	2	4
6	и по отношению	1	3
7	тем не менее	2	3
8	бы то ни	2	3
9	может быть и	1	3
10	и не в	1	3
11	то ни было	2	3
12	отношение к предмету	1	2
13	контекста в котором	1	2
14	зависит от того	1	2
15	мы никогда не	1	2
16	имеем в виду	2	2
17	на самом деле	3	2
18	то же самое	1	2
19	с точки зрения	9	2
20	в зависимости от	1	2
21	конечно не может	1	2
22	но отнюдь не	1	2
23	в настоящее время	1	2
24	ни на один	1	2
25	но для теоретической	1	1
26	но прежде всего	1	1
27	в виду и	1	1
28	один и тот	1	1
29	и в этом	3	1
30	каково бы оно	1	1
31	в чем не	4	1
32	и менее всего	1	1
33	кто-нибудь стал бы	1	1
34	о том кто	1	1
35	только в нем	1	1
36	к содержанию как	1	1
37	ровно ничего не	1	1
38	бы оно ни	1	1
39	все эти моменты	1	1
40	уже не может	2	1
41	во всяком случае	1	1
42	не должно быть	1	1
43	одна и та	1	1
44	мы не найдем	1	1
45	ли кто-нибудь стал	1	1
46	как одно из	1	1
47	в этом смысле	3	1
48	бы не было	1	1
49	с ним в	1	1
50	между тем как	3	1
51	и для него	2	1
52	в нем и	3	1
53	хотя бы только	1	1
54	а не к	1	1
55	оно ни было	1	1
56	ни в чем	4	1
57	равно как и	1	1
58	и должна быть	1	1
59	а эта последняя	1	1
60	в свою очередь	1	1
61	и та же	1	1
62	но все это	1	1
63	на один миг	1	1
64	тогда когда он	1	1
65	к ним извне	1	1
66	то что я	2	1
67	в конечном счете	1	1
68	если бы не	1	1
69	то же время	2	1
70	не может стать	1	1
71	включает в себя	2	1
72	в процессе ее	1	1
73	в основе своей	1	1
74	в противном случае	1	1
75	в лучшем случае	1	1
76	со всех сторон	1	1
77	может быть только	7	1
78	здесь вовсе не	1	1
79	в то же	2	1
80	случае мы имеем	1	1
81	его в отношении	1	1
82	слова и его	1	1
83	может быть понято	1	1
84	нужно думать что	1	1
85	в значительной степени	1	1
86	если бы оно	1	1
87	один миг не	1	1
88	к нему в	4	1
89	включая сюда и	2	1
90	не совпадает с	1	1
91	и в своем	1	1
92	позицию по отношению	1	1
93	но в то	1	1
94	едва ли кто-нибудь	1	1
95	в том же	1	1
96	если бы эта	1	1
97	не нужно думать	1	1
98	и тот же	1	1
