N	3gram	Savitsky_E_1	Formalny
1	с точки зрения	16	14
2	не может быть	2	14
3	в то же	15	7
4	то же время	14	7
5	во всяком случае	3	6
6	и т д	1	6
7	с другой стороны	2	5
8	в данном случае	2	4
9	в связи с	1	4
10	бы то ни	4	4
11	то ни было	4	4
12	в большинстве случаев	2	4
13	для того чтобы	5	4
14	иначе обстоит дело	2	3
15	в этом отношении	3	3
16	в том что	6	3
17	в этом смысле	3	2
18	нам кажется что	2	2
19	в нем и	1	2
20	мы увидим что	1	2
21	то или иное	1	2
22	и в то	8	2
23	и со стороны	2	2
24	в отличие от	1	2
25	дело в том	1	2
26	мы видели что	1	2
27	так и со	1	2
28	мы не можем	1	2
29	так и в	2	2
30	как бы ни	3	2
31	именно потому что	1	2
32	вовсе не в	1	2
33	между ними и	2	2
34	к тому что	1	2
35	смысле этого слова	1	2
36	как мы видели	2	2
37	в пределах одного	1	2
38	и того же	1	1
39	хотя и не	1	1
40	что в этом	1	1
41	другой стороны в	1	1
42	же обстоит дело	1	1
43	между собой это	1	1
44	т е не	1	1
45	в том же	1	1
46	один и тот	1	1
47	пределах одного и	1	1
48	что же касается	1	1
49	можно утверждать что	1	1
50	в одной из	1	1
51	мы говорили в	1	1
52	бы ни была	1	1
53	в лучшем случае	1	1
54	хотя бы и	3	1
55	же время не	1	1
56	котором мы говорили	1	1
57	из того что	2	1
58	с тем что	1	1
59	к тому чтобы	2	1
60	в противном случае	1	1
61	с этой точки	5	1
62	ту или иную	3	1
63	в значительной степени	1	1
64	так же как	5	1
65	и для всех	1	1
66	не только в	4	1
67	в самом процессе	1	1
68	с одной стороны	8	1
69	и тот же	1	1
70	она никогда не	1	1
71	каких бы то	2	1
72	и не было	1	1
73	там где в	1	1
74	так и по	1	1
75	так и с	1	1
76	оно не может	1	1
77	в последнее время	1	1
78	до настоящего времени	1	1
79	о котором мы	1	1
80	но так как	1	1
81	этой точки зрения	5	1
82	того или иного	4	1
83	и все другие	2	1
84	в частности в	2	1
85	мы можем сказать	2	1
86	и притом в	2	1
87	можно было бы	3	1
88	выходит за пределы	1	1
89	той или иной	4	1
90	можно сказать что	3	1
91	при условии если	1	1
92	на то что	2	1
93	одного и того	1	1
94	совершенно очевидно что	1	1
95	не сводится к	1	1
96	в том числе	1	1
97	как не может	1	1
98	тех или иных	1	1
99	в отношении к	12	1
100	друг с другом	3	1
101	в ту или	1	1
102	находятся в отношении	1	1
103	можем сказать что	1	1
104	как его понимает	1	1
105	том числе и	1	1
106	и только в	2	1
