N	3gram	Tiupa_Teor_1	DiskursI
1	в отличие от	6	12
2	в данном случае	5	6
3	в том что	8	6
4	то же время	5	5
5	как и в	2	5
6	по отношению к	4	4
7	в то же	5	4
8	с одной стороны	2	4
9	не может быть	4	3
10	при всей своей	1	3
11	о том что	1	3
12	той или иной	1	3
13	и того же	3	2
14	в этом мире	2	2
15	присутствия в мире	5	2
16	состоит в том	5	2
17	подобно тому как	1	2
18	в соответствии с	2	2
19	с точки зрения	3	2
20	заключает в себе	1	2
21	в основе своей	1	2
22	одно и то	1	2
23	содержит в себе	1	2
24	в сочетании с	2	2
25	не сводится к	4	2
26	и то же	1	2
27	не более чем	1	2
28	однако при этом	2	2
29	несет в себе	2	2
30	дело в том	1	2
31	на первый взгляд	1	2
32	я в мире	7	2
33	одного и того	3	2
34	по большей части	1	2
35	при этом в	1	2
36	в русской литературе	2	2
37	но прежде всего	1	1
38	по своей природе	2	1
39	том что в	1	1
40	присутствия я в	6	1
41	в той или	1	1
42	себя в другом	1	1
43	не является ни	1	1
44	бог сойти с	1	1
45	мы имеем дело	2	1
46	пребывания в мире	1	1
47	то в качестве	1	1
48	интересно всем потому	1	1
49	в мире на	1	1
50	чего бы то	1	1
51	или иного рода	1	1
52	эпических жанрах а	1	1
53	того или иного	3	1
54	так и его	2	1
55	выготским и н.и	1	1
56	друг от друга	1	1
57	с другой стороны	5	1
58	и в то	1	1
59	до известной степени	2	1
60	можно говорить о	1	1
61	бы то ни	1	1
62	имеем дело не	1	1
63	только то что	1	1
64	грани между индивидуальными	1	1
65	при этом не	1	1
66	случае мы имеем	1	1
67	в той мере	1	1
68	а с другой	2	1
69	состоит в придании	1	1
70	самих состоят все	1	1
71	потому что из	1	1
72	вовлечение адресата в	1	1
73	одном и том	1	1
74	именно в этом	1	1
75	здесь отнюдь не	1	1
76	в значительной степени	1	1
77	их в качестве	1	1
78	между ним и	1	1
79	то что может	1	1
80	в рамках которого	2	1
81	не совпадает с	1	1
82	функционирование в культуре	1	1
83	что входит в	1	1
84	л.с выготским и	1	1
85	в своего рода	1	1
86	то ни было	1	1
87	к своему собственному	1	1
88	из нас самих	1	1
89	и том же	1	1
90	это ведет к	1	1
91	и н.и жинкиным	1	1
92	в области художественного	1	1
93	и в пределах	1	1
94	в равной степени	3	1
95	упустить из виду	1	1
96	нас самих состоят	1	1
97	по сути дела	1	1
98	не могут быть	2	1
99	несут в себе	1	1
100	по слову бахтина	1	1
101	между индивидуальными жизнями	1	1
102	мере в какой	1	1
103	не дай мне	1	1
104	принципиальное различие между	1	1
105	об этом так	1	1
106	что из нас	1	1
107	во второй строфе	4	1
108	чувство себя самого	1	1
109	в стихотворении пушкина	1	1
110	та или иная	1	1
111	во внешнем мире	1	1
112	в иных случаях	1	1
113	в эпических жанрах	1	1
114	может быть названо	2	1
115	точки зрения автора	1	1
116	в конечном счете	6	1
117	можно сказать что	2	1
118	дай мне бог	1	1
119	это бывает в	1	1
120	что в имени	2	1
121	или иной мере	1	1
122	в полной мере	1	1
123	в большинстве случаев	1	1
124	в мире это	1	1
125	художественного целого это	1	1
126	в имени тебе	2	1
127	в том числе	2	1
128	далее речь пойдет	1	1
129	в силу своей	1	1
130	той мере в	1	1
131	сверхличной заданности и	1	1
132	тем не менее	3	1
133	всем потому что	1	1
134	в себе самом	1	1
135	в лирических текстах	1	1
136	как и ее	1	1
137	все то что	1	1
138	имени тебе моем	1	1
139	не принадлежит к	1	1
140	по крайней мере	1	1
141	сойти с ума	1	1
142	ослабляет и смягчает	1	1
143	мне бог сойти	1	1
144	значении этого термина	1	1
145	том числе и	1	1
146	состоит в совмещении	1	1
