N	2gram	Medvedev_S_1	FransuaR
1	и в	3	41
2	таким образом	2	17
3	и его	1	13
4	но и	2	13
5	в этом	5	12
6	все эти	1	11
7	все это	7	11
8	не только	3	10
9	прежде всего	1	10
10	то что	2	10
11	о том	1	9
12	в сущности	1	8
13	в этой	1	8
14	никогда не	1	8
15	в них	1	7
16	как и	1	7
17	том что	2	7
18	в его	3	7
19	вовсе не	1	7
20	у него	1	7
21	как бы	2	7
22	что в	2	7
23	в то	1	6
24	один из	1	6
25	с помощью	1	6
26	что он	1	6
27	что это	1	5
28	то же	2	5
29	тем что	1	5
30	все то	1	5
31	так и	1	5
32	и что	2	5
33	же время	1	5
34	между собою	1	5
35	и как	1	4
36	и наконец	1	4
37	не в	3	4
38	даже в	1	4
39	все же	1	4
40	с ним	1	4
41	с одной	1	4
42	именно на	1	4
43	в результате	2	4
44	в котором	1	4
45	с другой	1	4
46	именно в	1	4
47	одной стороны	1	4
48	а в	1	4
49	не может	1	4
50	первый план	1	3
51	в чем	1	3
52	перед нами	1	3
53	на все	1	3
54	было бы	2	3
55	на первый	1	3
56	те же	1	3
57	никак не	1	3
58	в него	1	3
59	только в	2	3
60	литературе и	1	3
61	конечно не	1	3
62	выходит за	1	3
63	в данном	1	3
64	и не	1	3
65	между ними	1	3
66	они не	1	3
67	это и	2	2
68	должна быть	2	2
69	мы не	1	2
70	но не	1	2
71	за пределы	2	2
72	дает нам	1	2
73	что все	1	2
74	в своей	1	2
75	для этого	1	2
76	в таких	1	2
77	связи с	1	2
78	в области	1	2
79	литературы и	2	2
80	образом в	1	2
81	между тем	1	2
82	тем более	2	2
83	ведь это	2	2
84	в конце	2	2
85	может быть	2	2
86	мы еще	1	2
87	в частности	2	2
88	и потому	1	2
89	для нас	3	2
90	бы в	1	2
91	в этих	1	2
92	в том	5	2
93	тем же	1	1
94	полагает что	1	1
95	еще не	2	1
96	между собой	1	1
97	время в	1	1
98	по отношению	2	1
99	и никак	1	1
100	нам право	1	1
101	настаивает на	1	1
102	в целом	1	1
103	и стало	1	1
104	по самому	1	1
105	новое и	1	1
106	и по	1	1
107	в каждом	1	1
108	его в	1	1
109	далеко не	2	1
110	на основании	1	1
111	со своими	1	1
112	реализма и	1	1
113	место в	1	1
114	по себе	1	1
115	этой области	1	1
116	в смысле	2	1
117	но только	1	1
118	ничего не	1	1
119	ровно ничего	1	1
120	какой же	1	1
121	же этот	1	1
122	как будто	2	1
123	факта что	1	1
124	которые предлагает	1	1
125	представляется нам	1	1
126	опираясь на	1	1
127	и о	1	1
128	более не	1	1
129	же не	1	1
130	только то	1	1
131	у которых	1	1
132	тех кто	1	1
133	настоящее время	1	1
134	на что	1	1
135	поставить и	1	1
136	это не	1	1
137	сказать и	1	1
138	в лучшем	1	1
139	том как	1	1
140	не дает	1	1
141	или даже	2	1
142	границы и	1	1
143	больше того	1	1
144	к которому	2	1
145	еще и	1	1
146	а с	1	1
147	на ней	1	1
148	не было	1	1
149	на этот	1	1
150	в связи	1	1
151	исторического развития	2	1
152	в строгом	1	1
153	не из	1	1
154	он говорит	1	1
155	и границы	1	1
156	по существу	2	1
157	благодаря этому	1	1
158	выдвигает на	1	1
159	и разрешить	1	1
160	только для	1	1
161	лучшем случае	1	1
162	даже больше	1	1
163	он по	1	1
164	это как	1	1
165	в настоящее	1	1
166	из себя	1	1
167	конце концов	2	1
168	него и	1	1
169	им не	2	1
170	отношению к	2	1
171	являются те	1	1
