N	3gram	Trubetskoy_1	Poddanst
1	в то же	10	7
2	то же время	10	7
3	в том что	7	4
4	с точки зрения	9	3
5	европейской культуры в	1	2
6	в том числе	1	2
7	и не только	1	2
8	заключает в себе	1	2
9	в значительной мере	2	2
10	в полной мере	1	2
11	заключается в том	1	2
12	в том виде	1	1
13	сводится к стремлению	1	1
14	более или менее	4	1
15	в настоящее время	2	1
16	или хотя бы	1	1
17	и в этом	1	1
18	что с точки	1	1
19	и не может	3	1
20	тот или иной	1	1
21	же время в	1	1
22	с тем чтобы	3	1
23	совершенно ясно что	1	1
24	за то что	1	1
25	вместе с тем	3	1
26	и то что	3	1
27	и в частности	1	1
28	в применении к	1	1
29	к соединению церквей	4	1
30	так же как	1	1
31	человека с богом	1	1
32	только в виде	1	1
33	интеллигенции и в	1	1
34	о соединении церквей	11	1
35	во всяком случае	6	1
36	не может быть	4	1
37	в борьбе с	1	1
38	ни к чему	2	1
39	и тем самым	2	1
40	но в то	1	1
41	тем более что	1	1
42	в большинстве случаев	2	1
43	между тем при	1	1
44	друг с другом	14	1
45	во многих случаях	1	1
46	для того чтобы	6	1
47	том числе и	1	1
