N	3gram	Bakhtin_Fr_4	Komedia
1	к тому же	1	10
2	в том что	1	5
3	за то что	1	4
4	на этот раз	1	4
5	о том что	2	4
6	для того чтобы	3	4
7	в том числе	3	3
8	в связи с	1	3
9	то же время	8	3
10	в то время	2	3
11	в то же	8	3
12	в одной из	1	2
13	до сих пор	1	2
14	в той же	1	2
15	в отличие от	1	2
16	в это время	1	2
17	то время как	1	2
18	и его современников	1	2
19	с одной стороны	2	2
20	у того же	1	2
21	в самом начале	1	2
22	в этом же	1	2
23	к этому времени	1	2
24	что и в	1	2
25	видели как бы	1	1
26	к участию в	1	1
27	имеется в виду	2	1
28	само собой разумеется	1	1
29	и к тому	1	1
30	что у нее	1	1
31	в соответствии с	1	1
32	в том же	1	1
33	свою роль в	2	1
34	с точки зрения	2	1
35	на первый план	1	1
36	это время и	1	1
37	из них в	1	1
38	том случае если	1	1
39	и в то	4	1
40	с самого начала	3	1
41	но и в	3	1
42	том числе и	2	1
43	и в тех	1	1
44	как будто он	1	1
45	и вовсе не	1	1
46	в том случае	1	1
47	его современников и	1	1
48	ни в одном	1	1
49	победы над ним	1	1
50	сих пор в	1	1
51	в бытовом плане	1	1
52	с другой стороны	3	1
53	таким образом и	3	1
54	в полной мере	1	1
55	не может быть	1	1
56	более или менее	3	1
57	но в более	1	1
58	что из них	1	1
59	так и в	1	1
60	в свою очередь	1	1
61	женщин и детей	2	1
62	мы можем сказать	1	1
63	не только в	2	1
64	что это не	1	1
65	как мы знаем	1	1
66	и все прочее	1	1
67	в этой же	3	1
68	и в литературе	1	1
69	в большинстве случаев	5	1
70	и не столь	1	1
71	можем сказать что	1	1
72	как мы видели	2	1
