N	3gram	Tiupa_Narr_1	Problemy
1	то же время	3	12
2	в то же	3	12
3	на самом деле	1	10
4	не может быть	5	6
5	по отношению к	6	5
6	и в то	1	5
7	о себе самом	1	5
8	в этом смысле	1	4
9	с точки зрения	2	4
10	бы то ни	3	4
11	то ни было	3	4
12	и прежде всего	1	4
13	на протяжении всего	1	4
14	в самом деле	1	3
15	он не может	1	3
16	он ни был	1	3
17	по крайней мере	1	3
18	и не в	4	3
19	с другой стороны	4	3
20	бы он ни	1	3
21	в той или	2	2
22	подобно тому как	2	2
23	не входит в	1	2
24	в отличие от	5	2
25	к тому чтобы	1	2
26	все без исключения	1	2
27	а не в	2	2
28	о том что	6	2
29	так и в	1	2
30	никогда не бывает	1	2
31	той или иной	4	2
32	тем не менее	3	2
33	друг с другом	1	2
34	оно стремится к	1	2
35	к тому же	4	2
36	и не то	1	2
37	как мы видели	1	2
38	так и не	2	1
39	или хотя бы	1	1
40	и другого в	1	1
41	каков бы он	1	1
42	всех без исключения	1	1
43	он думает и	1	1
44	какой бы то	1	1
45	он не мог	1	1
46	прежде всего в	1	1
47	и в особенности	1	1
48	в том же	1	1
49	может и не	1	1
50	не было и	1	1
51	самом деле не	1	1
52	до сих пор	1	1
53	их друг с	1	1
54	к другому что	1	1
55	в этом отношении	3	1
56	в другом и	1	1
57	ни одного слова	1	1
58	как мы уже	1	1
59	и то что	1	1
60	человека с его	1	1
61	с таким же	1	1
62	к одному из	1	1
63	из уст в	1	1
64	в значительной степени	2	1
65	и столь же	1	1
66	немногочисленных случаях когда	1	1
67	в данном случае	4	1
68	героя в мире	1	1
69	не в чем	1	1
70	и не было	1	1
71	или иной форме	1	1
72	и как бы	1	1
73	то что они	1	1
74	может быть и	1	1
75	то что он	1	1
76	в нем не	1	1
77	так и для	1	1
78	и тот же	1	1
79	уст в уста	1	1
80	один и тот	1	1
81	как бы не	1	1
82	к своему герою	1	1
83	не кто иной	1	1
84	отношению к самому	1	1
85	похоже было как	1	1
86	как и в	1	1
87	в свою очередь	3	1
88	и того же	1	1
89	все равно что	1	1
90	героя в этом	1	1
91	но все же	4	1
92	можно сказать что	4	1
93	что каждый из	1	1
94	которая может быть	1	1
95	одного и того	1	1
96	на всем протяжении	1	1
97	мог бы быть	2	1
98	или иной степени	1	1
99	в том что	8	1
100	но не может	1	1
101	никогда и не	1	1
102	и как будто	1	1
103	с его собственным	1	1
104	обратим внимание на	1	1
105	кто иной как	1	1
