N	2gram	Medvedev_F_1	NovoeSre
1	а не	10	17
2	и в	24	16
3	не может	16	16
4	совсем не	1	12
5	и не	20	11
6	и есть	1	10
7	что в	4	9
8	в том	6	8
9	жизни и	7	8
10	он не	3	8
11	культуры и	3	7
12	в этом	15	7
13	к новому	2	7
14	может быть	14	7
15	как и	11	7
16	высшей степени	1	6
17	с его	4	6
18	не в	8	6
19	ни в	2	6
20	в высшей	1	6
21	никогда не	4	6
22	лишь в	8	6
23	но это	3	6
24	не знает	1	6
25	воля к	1	6
26	должен быть	5	5
27	с ее	7	5
28	в ней	10	5
29	культуры в	1	5
30	и к	4	5
31	не только	7	5
32	в жизни	3	5
33	xix века	1	5
34	все это	9	5
35	в нем	14	5
36	новое время	1	4
37	со всех	1	4
38	не во	1	4
39	всех сторон	1	4
40	эпохи и	2	4
41	перестает быть	3	4
42	в них	3	4
43	то что	8	4
44	это не	2	4
45	прежде всего	22	4
46	не было	3	4
47	должно быть	11	4
48	есть лишь	2	4
49	и потому	9	4
50	по своему	1	4
51	значит что	1	4
52	не менее	11	4
53	и для	1	4
54	не имеет	1	4
55	и все	6	4
56	потому что	1	4
57	с другой	5	3
58	смысле слова	1	3
59	начало нового	1	3
60	в ее	8	3
61	должна быть	7	3
62	вопрос о	2	3
63	еще не	6	3
64	во всех	5	3
65	за пределы	2	3
66	в истории	4	3
67	наряду с	1	3
68	как в	8	3
69	конечно не	4	3
70	не значит	1	3
71	перейти к	2	3
72	в мире	4	3
73	но и	7	3
74	не есть	2	3
75	и пр	17	3
76	с тем	2	3
77	в своей	11	3
78	в новое	2	3
79	в россии	3	3
80	к реальному	1	3
81	история в	1	3
82	она не	6	3
83	эти формы	1	3
84	что такое	2	3
85	жизни не	2	3
86	в основе	3	3
87	жизни в	2	3
88	в духе	1	3
89	к тому	3	3
90	сказать что	1	3
91	и это	2	2
92	же как	2	2
93	более не	1	2
94	и индивидуальности	1	2
95	это и	3	2
96	роль в	1	2
97	в нашу	1	2
98	так и	18	2
99	мы не	3	2
100	мира и	1	2
101	и с	8	2
102	для этого	4	2
103	жизни как	1	2
104	и должно	2	2
105	и что	2	2
106	и на	8	2
107	должно было	1	2
108	но не	3	2
109	все время	2	2
110	самый процесс	1	2
111	с этим	2	2
112	ни к	1	2
113	хотя и	1	2
114	но в	5	2
115	который в	1	2
116	все эти	6	2
117	с одной	4	2
118	себя в	1	2
119	думать что	3	2
120	с их	1	2
121	в себе	3	2
122	уже не	2	2
123	не могла	2	2
124	стремиться к	1	2
125	том чтобы	2	2
126	нашего времени	1	2
127	у него	1	2
128	и заключается	2	2
129	нет и	2	2
130	и даже	3	2
131	этом смысле	1	2
132	бытия в	3	2
133	зависит от	1	2
134	том что	1	2
135	вместе с	2	2
136	так же	4	2
137	место в	7	2
138	к содержанию	1	2
139	одной стороны	4	2
140	другой стороны	1	2
141	по существу	2	2
142	том и	1	2
143	как это	6	2
144	такой же	1	2
145	должна стать	1	2
146	но для	3	2
147	в смысле	1	2
148	в то	9	2
149	одна из	2	2
150	мысли в	2	2
151	того чтобы	1	2
152	формы и	5	2
153	и от	7	2
154	самой жизни	1	2
155	в русском	1	2
156	хотя бы	5	2
157	познания и	4	2
158	а в	6	2
159	заключается что	1	2
160	могут быть	1	2
161	и культуры	1	2
162	из ее	1	2
163	от этой	1	1
164	также что	1	1
165	соединение а	1	1
166	и через	1	1
167	в материальную	1	1
168	людей в	1	1
169	ни одно	1	1
170	он может	1	1
171	к таким	1	1
172	характер и	1	1
173	не через	1	1
174	эпоху и	1	1
175	по преимуществу	1	1
176	приводит к	2	1
177	и до	5	1
178	на западе	4	1
179	слова а	1	1
180	культуре и	1	1
181	и этот	1	1
182	в образе	1	1
183	на нее	2	1
184	мы уже	1	1
185	не с	2	1
186	и извне	3	1
187	по природе	1	1
188	во многом	1	1
189	господствующей в	2	1
190	еще в	2	1
191	к тем	1	1
192	мир не	1	1
193	философии жизни	1	1
194	это делали	1	1
195	приобщается к	1	1
196	с ним	2	1
197	должна обнаружиться	1	1
198	был понят	1	1
199	можно сказать	1	1
200	смысле и	1	1
201	говорить о	1	1
202	о самом	1	1
203	возможен лишь	1	1
204	на себя	1	1
205	мы всегда	1	1
206	движения и	1	1
207	под этим	1	1
208	не был	1	1
209	зависимости от	3	1
210	должны занять	1	1
211	это время	1	1
212	той роли	1	1
213	вопрос об	2	1
214	в недрах	1	1
215	на их	2	1
216	в какие	1	1
217	в чем	1	1
218	и во	1	1
219	и научной	1	1
220	нет у	1	1
221	на всех	1	1
222	все в	2	1
223	партии и	1	1
224	не могут	1	1
225	своего рода	1	1
226	к нему	1	1
227	что никаких	1	1
228	понять что	1	1
229	значение и	3	1
230	в его	23	1
231	менее всего	2	1
232	отличие от	1	1
233	значение для	2	1
234	движения в	1	1
235	с кризисом	1	1
236	к которому	2	1
237	и целостности	1	1
238	в своем	11	1
239	в формах	4	1
240	глубже чем	1	1
241	что он	3	1
242	особое место	1	1
243	только в	2	1
244	во всем	2	1
245	по своей	1	1
246	к отрицанию	2	1
247	от этого	2	1
248	в этот	1	1
249	так на	1	1
250	в самом	5	1
251	и изнутри	3	1
252	но под	1	1
253	он в	2	1
254	своей основе	1	1
255	из этих	1	1
256	метода и	1	1
257	техникой и	1	1
258	для всех	1	1
259	к идее	1	1
260	к единству	1	1
261	в большинстве	3	1
262	ко времени	2	1
263	человек не	3	1
264	вообще не	1	1
265	от других	1	1
266	идей и	1	1
267	в статье	1	1
268	большинстве случаев	2	1
269	и верованиями	1	1
270	из них	1	1
271	сами эти	1	1
272	бы к	1	1
273	мир в	1	1
274	и их	10	1
275	этого нельзя	1	1
276	всяком случае	4	1
277	и нового	1	1
278	к одному	1	1
279	слова в	1	1
280	сами по	2	1
281	не для	3	1
282	но ведь	2	1
283	они сами	1	1
284	друг друга	4	1
285	и исключительно	2	1
286	всех своих	1	1
287	людей и	1	1
288	в нее	1	1
289	от того	2	1
290	но все	2	1
291	это конечно	1	1
292	от нее	2	1
293	может остаться	1	1
294	лишь для	2	1
295	это значит	1	1
296	значение в	3	1
297	не должна	7	1
298	не были	1	1
299	социальная жизнь	2	1
300	ней и	1	1
301	выходит за	1	1
302	и русский	1	1
303	перестать быть	1	1
304	и из	1	1
305	на ее	1	1
306	с другими	4	1
307	искусство не	1	1
308	к природе	1	1
309	делается в	1	1
310	верховной цели	1	1
311	было бы	6	1
312	в социальной	3	1
313	а это	1	1
314	лишь на	1	1
315	в отличие	1	1
316	что не	1	1
317	мы скорее	1	1
318	социальной жизни	11	1
319	для них	1	1
320	связано с	1	1
321	этого она	1	1
322	нет в	1	1
323	а на	1	1
324	они не	3	1
325	в этой	6	1
326	ничем не	3	1
327	не на	2	1
328	этого не	1	1
329	о кризисе	1	1
330	и техники	2	1
331	двумя путями	1	1
332	новые формы	1	1
333	он и	1	1
334	которые будут	1	1
335	в эту	2	1
336	в этих	1	1
337	она сама	1	1
338	особого типа	1	1
339	знаний о	1	1
340	и особенно	2	1
341	в такой	1	1
342	в котором	1	1
343	предметного содержания	1	1
344	одну из	1	1
345	не столько	1	1
346	не должно	1	1
347	дальнейшее развитие	1	1
348	у нас	5	1
349	в зависимости	2	1
350	есть результат	1	1
351	в силу	1	1
352	оно должно	3	1
353	времени не	1	1
354	но он	1	1
355	творчества и	1	1
356	быть только	1	1
357	и более	2	1
358	есть еще	1	1
359	получает свое	1	1
360	по себе	5	1
361	сам этот	1	1
362	в это	1	1
363	в той	1	1
364	и вся	1	1
365	и очень	1	1
366	и истории	5	1
367	сих пор	6	1
368	так как	1	1
369	и развивается	1	1
370	мира не	1	1
371	находится во	1	1
372	должны быть	5	1
373	мире а	2	1
374	к вопросу	1	1
375	она должна	3	1
376	в более	1	1
377	не по	3	1
378	это уже	1	1
379	за его	1	1
380	и отдельных	1	1
381	до сих	6	1
382	совершается в	2	1
383	если взять	1	1
384	реакция в	1	1
385	и никакой	1	1
386	жизни этих	1	1
387	чтобы понять	1	1
388	это формы	1	1
389	особого рода	1	1
390	или иная	1	1
391	к этой	4	1
392	к ней	2	1
393	своей природе	1	1
394	не останется	1	1
395	что оставалось	1	1
396	изнутри и	1	1
397	и его	10	1
398	а также	1	1
399	все более	2	1
400	речи о	1	1
401	вступает в	2	1
402	гораздо больше	1	1
403	возможно лишь	1	1
404	или к	1	1
405	в области	3	1
