N	2gram	Potebnia_M_1	EvropaiE
1	и в	39	37
2	в отношении	1	32
3	точки зрения	8	23
4	что в	22	21
5	не только	21	18
6	с точки	3	17
7	в то	4	16
8	то же	6	15
9	хотя бы	2	15
10	в своем	3	14
11	но в	9	14
12	же время	4	14
13	но и	20	14
14	и не	18	14
15	в этом	15	12
16	в их	2	11
17	в области	1	11
18	в том	26	11
19	с и	3	10
20	так и	13	10
21	в себе	13	9
22	только в	25	9
23	земного шара	1	9
24	прежде всего	4	9
25	все более	3	9
26	не может	22	9
27	так же	5	9
28	в смысле	4	9
29	в ее	1	8
30	думать что	3	8
31	было бы	12	8
32	в своей	3	8
33	к тому	4	8
34	между тем	5	8
35	с одной	3	8
36	одной стороны	3	8
37	нам кажется	1	7
38	того что	8	7
39	так как	21	7
40	с другой	7	7
41	как и	9	7
42	между прочим	2	7
43	может быть	27	6
44	и на	1	6
45	во всех	5	6
46	стороны и	2	6
47	на то	2	6
48	то есть	42	6
49	том что	16	6
50	того чтобы	2	6
51	вслед за	1	6
52	вовсе не	5	6
53	для того	3	6
54	и даже	4	6
55	как бы	6	6
56	с этой	2	6
57	то что	10	6
58	же как	1	5
59	столь же	3	5
60	но не	8	5
61	не в	15	5
62	и по	6	5
63	но если	2	5
64	тем самым	4	5
65	как мы	2	5
66	в виде	1	5
67	со стороны	8	5
68	от этого	1	5
69	и потому	5	5
70	в течение	2	5
71	этой точки	1	5
72	то в	5	4
73	мы не	10	4
74	вопрос о	4	4
75	в полной	1	4
76	в некотором	2	4
77	в ней	7	4
78	независимо от	6	4
79	в самом	3	4
80	во многих	2	4
81	то ни	3	4
82	того или	1	4
83	несмотря на	5	4
84	чем в	2	4
85	даже в	1	4
86	не имеет	5	4
87	и притом	4	4
88	к ней	2	4
89	бы то	2	4
90	по себе	10	4
91	тем более	2	4
92	именно в	1	4
93	ни было	2	4
94	само по	4	4
95	не на	1	4
96	для нас	9	4
97	сказать что	3	4
98	в каком	6	4
99	в применении	2	3
100	на себя	1	3
101	и народов	2	3
102	того же	3	3
103	как в	10	3
104	когда он	1	3
105	себе не	1	3
106	в известном	1	3
107	но на	2	3
108	мы можем	2	3
109	по общему	2	3
110	не будет	2	3
111	и мы	1	3
112	этом смысле	4	3
113	и тем	3	3
114	в них	3	3
115	с тем	5	3
116	мы видели	4	3
117	можно считать	1	3
118	в которых	1	3
119	дело в	2	3
120	никогда не	4	3
121	потому что	52	3
122	заключает в	2	3
123	уже и	1	3
124	можно думать	2	3
125	бы ни	4	3
126	тем в	1	3
127	можно было	1	3
128	приближается к	1	3
129	о том	2	3
130	от них	1	3
131	что и	6	3
132	и только	2	3
133	в стороне	4	3
134	всяком случае	1	3
135	различия в	2	3
136	не из	3	3
137	из них	1	3
138	очевидно что	3	3
139	в прошлом	1	3
140	к ним	2	3
141	тем что	9	3
142	этом отношении	1	3
143	некотором смысле	2	3
144	в свою	4	3
145	там где	4	3
146	в данном	1	3
147	применении к	2	3
148	и для	5	3
149	новое слово	1	3
150	и от	3	3
151	в результате	1	3
152	не более	4	3
153	в психологии	1	3
154	и южной	1	3
155	это так	1	3
156	как на	3	3
157	в таком	5	3
158	во всяком	3	3
159	способны к	1	2
160	и то	3	2
161	что эти	1	2
162	должна быть	3	2
163	и этот	1	2
164	с в	5	2
165	есть не	2	2
166	что если	3	2
167	именно к	1	2
168	и другая	1	2
169	из того	2	2
170	которое в	1	2
171	не имеющим	1	2
172	на них	1	2
173	но как	3	2
174	друг от	2	2
175	же мало	1	2
176	в истории	7	2
177	более чем	1	2
178	его на	2	2
179	с этим	7	2
180	помнить что	3	2
181	хотя и	3	2
182	и как	6	2
183	что это	3	2
184	чем больше	1	2
185	в этой	3	2
186	что к	2	2
187	этот процесс	1	2
188	и если	2	2
189	с течением	1	2
190	как оно	1	2
191	он не	3	2
192	отношений между	3	2
193	народов которые	1	2
194	таким образом	13	2
195	это значит	1	2
196	в мире	3	2
197	и с	3	2
198	заключается в	3	2
199	с другими	1	2
200	окажется что	1	2
201	для них	2	2
202	далеко не	1	2
203	нас к	1	2
204	в своих	4	2
205	одна и	1	2
206	в развитии	1	2
207	духовной жизни	2	2
208	и того	2	2
209	в эту	1	2
210	в этих	7	2
211	в котором	1	2
212	или вернее	1	2
213	одном из	1	2
214	и более	2	2
215	всего человечества	1	2
216	она не	3	2
217	тогда когда	9	2
218	то окажется	1	2
