N	4gram	Losev_Vesc_1	Vvedenie
1	не что иное как	7	4
2	и тем не менее	1	3
3	с одной стороны и	1	3
4	и в самом деле	1	3
5	дело в том что	2	2
6	и т д все	1	2
7	есть не что иное	5	2
8	и т д а	1	2
9	заключается в том что	1	2
10	т д все это	1	1
11	одного и того же	1	1
12	еще и потому что	1	1
13	и т д и	5	1
14	одно и то же	4	1
15	так как она есть	1	1
16	это значит не только	1	1
17	бы то ни было	4	1
18	и как раз в	1	1
19	с этой точки зрения	1	1
20	было бы сказать что	2	1
21	и т д хотя	1	1
22	и т д словом	1	1
23	также и то что	1	1
24	и не потому что	1	1
25	с другой стороны как	1	1
26	другой стороны как это	1	1
