N	3gram	Vygotskiy__4	Psycholo
1	для того чтобы	5	19
2	на то что	4	16
3	в том что	31	14
4	с одной стороны	9	12
5	в сущности говоря	1	8
6	что в этом	1	6
7	в зависимости от	1	6
8	о том что	3	6
9	заключается в том	14	6
10	к тому что	1	6
11	мы увидим что	1	6
12	в самом деле	6	5
13	до сих пор	1	5
14	совершенно ясно что	1	5
15	с другой стороны	8	5
16	по сравнению с	3	4
17	именно то что	2	4
18	мы могли бы	9	4
19	заключает в себе	1	4
20	тот факт что	1	4
21	а с другой	2	4
22	и как бы	1	4
23	друг к другу	1	4
24	не только не	5	4
25	таким образом что	4	3
26	не в состоянии	1	3
27	одним и тем	3	3
28	то же самое	7	3
29	вместе с тем	3	3
30	с тем что	3	3
31	и то что	4	3
32	одно и то	6	3
33	и что в	2	3
34	так как это	1	3
35	и то же	6	3
36	о котором мы	1	3
37	и тем же	3	3
38	с самого начала	1	3
39	мы видим что	2	3
40	можно было бы	5	3
41	друг с другом	7	3
42	в этом отношении	7	3
43	и того же	5	2
44	что иное как	1	2
45	мы видим в	2	2
46	состоит в том	3	2
47	потому что в	1	2
48	мы никогда не	1	2
49	и той же	4	2
50	одного и того	5	2
51	самом деле если	1	2
52	в этом случае	3	2
53	с точки зрения	11	2
54	на первый план	4	2
55	принять во внимание	1	2
56	в отличие от	2	2
57	котором мы говорили	1	2
58	таким образом все	1	2
59	то что в	1	2
60	бы сказать что	3	2
61	совершенно прав когда	1	2
62	одной и той	4	2
63	том что мы	1	2
64	нечто такое что	1	2
65	так же как	5	2
66	в данном случае	2	2
67	в том чтобы	2	2
68	ничего не может	1	2
69	если бы мы	1	2
70	не только в	1	2
71	в конце концов	1	2
72	указывает на то	1	2
73	он говорит что	1	2
74	мы говорили выше	1	2
75	мы сейчас увидим	1	2
76	по себе не	1	2
77	с таким образом	3	2
78	само по себе	1	2
79	не может быть	1	2
80	ту же самую	1	2
81	вопрос о том	1	2
82	нам думается что	1	2
83	не что иное	1	2
84	мы знаем что	1	2
85	можно сказать что	1	2
86	и в результате	2	2
87	друг от друга	1	2
88	для этого необходимо	1	2
89	как бы в	1	2
90	в каком отношении	1	2
91	показывает что в	1	2
92	и таким образом	1	2
93	на самом деле	1	2
94	могли бы сказать	2	2
95	мы будем иметь	1	1
96	том что в	1	1
97	в том виде	2	1
98	в следующем виде	2	1
99	на том что	1	1
100	с объективной точки	1	1
101	это не может	1	1
102	одному тому что	1	1
103	том виде как	1	1
104	мы видим таким	4	1
105	о том насколько	1	1
106	на целый ряд	1	1
107	по одному тому	1	1
108	что в основе	6	1
109	по этому вопросу	1	1
110	оно может быть	2	1
111	мы приводили выше	1	1
112	чуть ли не	1	1
113	это означает что	1	1
114	по отношению к	1	1
115	равно как и	1	1
116	как это мы	2	1
117	было бы назвать	2	1
118	в этом смысле	8	1
119	действительно по своему	1	1
120	том что он	1	1
121	одной стороны и	2	1
122	же как и	4	1
123	между собой в	1	1
124	те и другие	9	1
125	сказать что на	1	1
126	и во многих	1	1
127	то что эти	1	1
128	она находится в	1	1
129	что с точки	1	1
130	того что мы	1	1
131	что он не	1	1
132	с другом мы	1	1
133	с двух сторон	2	1
134	сказать что и	1	1
135	мы имеем с	1	1
136	только то что	1	1
137	себе два противоположных	1	1
138	на деле и	1	1
139	в правильности этого	1	1
140	не заключается в	1	1
141	с этой точки	4	1
142	как если бы	1	1
143	в том случае	1	1
144	и в частности	1	1
145	что оно может	1	1
146	тем что мы	2	1
147	во внимание что	1	1
148	то время как	1	1
149	совершенно понятно что	1	1
150	так же невозможно	1	1
151	на этом вопросе	2	1
152	если мы возьмем	1	1
153	противоречие с собственной	1	1
154	в противоречие с	2	1
155	имело своей задачей	1	1
156	имеет еще и	1	1
157	лежит в основе	1	1
158	и что он	1	1
159	и тот же	7	1
160	же самую мысль	1	1
161	на задний план	1	1
162	смысле этого слова	7	1
163	увидим что они	1	1
164	так как они	1	1
165	как один из	1	1
166	и при этом	1	1
167	по тому же	1	1
168	не могут быть	2	1
169	целый ряд чрезвычайно	1	1
170	благодаря тому что	1	1
171	имеем дело с	1	1
172	объективной точки зрения	1	1
173	едва ли не	1	1
174	все же не	1	1
175	но вместе с	2	1
176	что именно они	1	1
177	мы уже приводили	1	1
178	но так как	2	1
179	один и тот	7	1
180	шаг за шагом	1	1
181	этой точки зрения	4	1
182	которое заключается в	1	1
183	в русском языке	1	1
184	на место прежнего	1	1
185	собственном смысле слова	1	1
186	когда мы говорим	1	1
187	то обстоятельство что	3	1
188	в то время	1	1
189	в свою очередь	2	1
190	уже в первой	1	1
191	означает что в	1	1
192	в собственном смысле	7	1
193	после того как	1	1
194	другой стороны мы	2	1
195	ничего общего с	1	1
196	видим таким образом	4	1
197	речь идет о	3	1
198	того существует ли	1	1
199	в целом ряде	2	1
200	он может быть	1	1
201	и что оно	1	1
202	и приводит к	1	1
203	указанием на то	1	1
204	мы видели что	2	1
205	на всем протяжении	2	1
206	согласно этой теории	2	1
207	если мы рассмотрим	1	1
208	но во всяком	1	1
209	в том смысле	2	1
210	что если мы	1	1
211	мы уже указывали	1	1
212	не только то	1	1
213	мы имеем дело	1	1
214	вместо того чтобы	1	1
215	но как только	1	1
216	если принять во	1	1
217	доказательство того что	1	1
218	остановиться на этом	1	1
219	что эта теория	1	1
220	что обе эти	1	1
221	в себе два	1	1
222	и только в	2	1
