N	2gram	Bakhtin_Pr_1	UchenyiS
1	и в	38	14
2	формальный метод	3	11
3	а не	5	10
4	не только	9	10
5	прежде всего	13	8
6	и не	42	8
7	не может	27	7
8	в этом	15	7
9	то что	8	7
10	эстетического объекта	37	6
11	может быть	26	6
12	в искусстве	12	6
13	то же	5	5
14	и только	4	5
15	художественное произведение	8	5
16	в художественном	20	5
17	все это	3	5
18	хотя бы	4	5
19	перестает быть	4	5
20	художественного творчества	12	5
21	с другой	7	4
22	но и	9	4
23	в их	10	4
24	в конечном	4	4
25	в россии	2	4
26	конечном счете	4	4
27	в этой	1	4
28	конечно не	5	4
29	то ни	3	3
30	это не	5	3
31	было бы	8	3
32	как и	7	3
33	в частности	2	3
34	в своей	7	3
35	или точнее	2	3
36	бы то	3	3
37	и формы	1	3
38	этой области	2	3
39	в то	4	3
40	все же	6	3
41	но в	4	3
42	формы в	1	3
43	не следует	2	3
44	же время	3	3
45	в области	11	3
46	у нас	2	3
47	другой стороны	4	3
48	для него	1	3
49	не как	1	3
50	ни было	3	3
51	не о	1	3
52	как такового	3	3
53	что все	2	2
54	а между	1	2
55	именно как	1	2
56	и с	17	2
57	художественного произведения	11	2
58	художественном произведении	5	2
59	материала и	2	2
60	до сих	1	2
61	а как	3	2
62	это было	1	2
63	самом деле	6	2
64	художественных произведений	2	2
65	форму и	2	2
66	противном случае	3	2
67	должна быть	4	2
68	в некоторых	2	2
69	быть обоснована	1	2
70	не приходится	1	2
71	о чем	1	2
72	на эту	1	2
73	если бы	3	2
74	что мы	1	2
75	ничего не	6	2
76	как таковой	2	2
77	том что	3	2
78	на первый	2	2
79	меньшей степени	1	2
80	словесного творчества	2	2
81	ни от	1	2
82	художественном творчестве	10	2
83	нас в	1	2
84	но конечно	4	2
85	с его	2	2
86	для поэзии	4	2
87	но не	12	2
88	дело конечно	1	2
89	в противовес	1	2
90	не все	2	2
91	в его	43	2
92	по существу	2	2
93	что и	2	2
94	художественной формы	9	2
95	по себе	1	2
96	материальной эстетики	11	2
97	сих пор	1	2
98	но это	3	2
99	этом смысле	3	2
100	в противном	3	2
101	могли бы	1	2
102	в том	8	2
103	это уже	1	2
104	работы по	1	2
105	и для	11	2
106	что он	2	2
107	поэтики на	1	2
108	в себе	4	2
109	искусства как	2	2
110	формы и	5	2
111	в самом	7	2
112	между тем	7	2
113	и у	2	2
114	только в	13	2
115	материал как	2	2
116	не в	7	2
117	для всех	1	2
118	и является	1	2
119	вопроса о	3	2
120	все они	5	2
121	не есть	6	2
122	этом отношении	2	2
123	его и	1	2
124	бы и	1	2
