N	3gram	Propp_Isto_3	FransuaR
1	до сих пор	5	8
2	мы уже говорили	1	7
3	в большинстве случаев	1	6
4	в том что	5	6
5	как и в	2	4
6	в том числе	1	3
7	таким образом и	2	3
8	в связи с	3	3
9	мы видели что	3	3
10	с точки зрения	1	2
11	как мы видели	5	2
12	с одним из	2	2
13	в данном случае	3	2
14	с одной стороны	2	2
15	в то время	2	2
16	о том что	2	2
17	не только не	2	2
18	можно сказать что	1	2
19	с другой стороны	7	2
20	мы видим что	4	2
21	не может быть	1	2
22	и хранится в	1	1
23	что и здесь	2	1
24	мы видим в	1	1
25	в чем же	1	1
26	по отношению к	2	1
27	на самом деле	1	1
28	в таких например	1	1
29	подобно тому как	1	1
30	но в его	1	1
31	в некоторых случаях	3	1
32	о себе и	1	1
33	вместе с тем	1	1
34	дело еще не	1	1
35	но и в	1	1
36	на самом же	1	1
37	можно привести множество	1	1
38	может быть и	1	1
39	в частности из	1	1
40	и то что	2	1
41	и в других	2	1
42	мы находим и	1	1
43	состоит в том	2	1
44	обстоит дело с	1	1
45	и вместе с	1	1
46	все же не	1	1
47	один из моментов	1	1
48	черты характерные для	1	1
49	самом же деле	1	1
50	только то что	1	1
51	они еще не	1	1
52	они и не	1	1
53	дело конечно не	1	1
54	примеров можно привести	1	1
55	мы не будем	1	1
56	с самого начала	1	1
57	и прежде всего	1	1
58	заключается в том	1	1
59	тесно связан с	1	1
60	после того как	1	1
61	они не только	1	1
62	можно было бы	1	1
63	друг с другом	1	1
64	но если бы	1	1
65	к тому же	2	1
