N	3gram	Nazirov_Tv_2	EvropaiC
1	в том что	2	16
2	до сих пор	3	12
3	по отношению к	3	10
4	мы знаем что	1	7
5	в самом деле	2	5
6	к тому же	1	4
7	с другой стороны	2	4
8	не может быть	3	4
9	о том что	2	4
10	в том же	2	3
11	так же как	2	3
12	все же не	2	3
13	в связи с	1	3
14	в целом ряде	1	3
15	о том чтобы	1	2
16	при этом что	1	2
17	только то что	1	2
18	то же время	7	2
19	именно потому что	1	2
20	а с другой	1	2
21	во всяком случае	2	2
22	как и в	1	2
23	в свою очередь	1	2
24	не может служить	1	2
25	ничего общего с	1	2
26	в то же	7	2
27	и в том	1	2
28	бы не в	1	1
29	нет и не	1	1
30	хотя и не	1	1
31	смысл этого слова	1	1
32	мы уже говорили	1	1
33	никогда не было	2	1
34	в психологическом отношении	1	1
35	дело в том	1	1
36	не только с	1	1
37	но при этом	1	1
38	сих пор еще	1	1
39	а с в	1	1
40	и не может	2	1
41	является одним из	1	1
42	и в дальнейшем	1	1
43	а может быть	1	1
44	и если бы	1	1
45	том числе и	1	1
46	точно так же	1	1
47	по крайней мере	2	1
48	аргумент в пользу	1	1
49	выше мы уже	1	1
50	в высшей степени	1	1
51	заключалось в том	1	1
52	что он сам	1	1
53	что у него	1	1
54	почти ничего общего	1	1
55	целом ряде случаев	1	1
56	в себе всегда	1	1
57	себя на место	1	1
58	на наших глазах	1	1
59	в то время	1	1
60	приходит к сознанию	1	1
61	на точку зрения	1	1
62	с самого начала	1	1
63	можно встретить и	1	1
64	лицо к которому	1	1
65	в том числе	1	1
66	даже если он	1	1
67	все это делает	1	1
68	и это не	1	1
69	и в другом	1	1
