N	3gram	Tiupa_Narr_1	slovoVRo
1	то же время	4	12
2	в то же	4	12
3	в той или	1	9
4	той или иной	4	9
5	или иной степени	1	9
6	с точки зрения	1	8
7	во всех его	1	7
8	они могут быть	1	6
9	и в то	1	5
10	во всяком случае	2	5
11	и т д	1	5
12	с одной стороны	1	4
13	с другой стороны	1	4
14	большей или меньшей	1	4
15	в зависимости от	2	3
16	но и здесь	1	3
17	в данном случае	8	3
18	в большей или	1	3
19	более или менее	1	3
20	до сих пор	2	2
21	и не может	1	2
22	своего и чужого	2	2
23	до известной степени	1	2
24	смысловых и ценностных	1	2
25	одно и то	2	2
26	имеет дело не	1	2
27	в первом случае	3	2
28	дело не с	1	2
29	не только в	6	2
30	и то же	2	2
31	в известном смысле	2	2
32	же национального языка	1	2
33	то же слово	1	2
34	того же национального	1	2
35	в свою очередь	2	2
36	не только на	2	2
37	к тому что	1	2
38	друг с другом	1	2
39	в стороне от	1	1
40	как и у	1	1
41	и столь же	1	1
42	дело в том	2	1
43	далеко не исчерпывается	1	1
44	с установкой на	2	1
45	смешаны два высказывания	1	1
46	два смысловых и	1	1
47	не входит в	1	1
48	в отличие от	2	1
49	бы то ни	1	1
50	но и в	2	1
51	в этом отношении	3	1
52	по крайней мере	1	1
53	у него нет	1	1
54	и его голос	1	1
55	может быть и	1	1
56	не могло быть	1	1
57	в значительной степени	1	1
58	даже в лирике	1	1
59	может быть не	2	1
60	в первый раз	1	1
61	то ни было	1	1
62	мы не знаем	1	1
63	в меньшей степени	1	1
64	но и на	2	1
65	жизни но и	1	1
66	его жизни и	1	1
67	которая не может	1	1
68	к одному из	1	1
69	отношении к автору	1	1
70	в особенности в	1	1
71	такая композиционная форма	1	1
72	один из этих	1	1
73	не может быть	4	1
74	чем он был	1	1
75	тем не менее	3	1
76	между тем это	1	1
77	о том что	2	1
78	на протяжении всего	1	1
79	но в этом	1	1
80	можно сказать что	2	1
81	и ценностных кругозора	1	1
82	существенную роль в	1	1
83	уже не только	1	1
84	одного из персонажей	1	1
85	там где язык	1	1
86	для того чтобы	3	1
87	в том что	5	1
88	как и в	1	1
89	не с языком	1	1
90	как мы видели	1	1
