N	2gram	Medvedev_U_1	Istorich
1	и в	14	25
2	что он	2	22
3	может быть	6	17
4	мы имеем	1	14
5	не только	10	13
6	но и	4	13
7	в его	2	12
8	уже не	1	11
9	и не	8	11
10	в этом	7	10
11	тем что	2	10
12	все же	3	10
13	в виде	1	9
14	с другой	4	9
15	таким образом	2	9
16	что в	1	8
17	и что	1	8
18	с тем	1	8
19	другой стороны	3	8
20	том что	2	8
21	в нем	1	7
22	как и	3	7
23	о том	1	7
24	то что	7	7
25	только в	2	7
26	с одной	1	7
27	в качестве	1	7
28	превращается в	2	7
29	одной стороны	1	7
30	этом случае	1	7
31	но это	2	7
32	в частности	3	7
33	это не	3	6
34	не может	7	6
35	не в	2	6
36	что и	2	6
37	прежде всего	8	6
38	могут быть	2	6
39	в том	2	6
40	и действительно	1	5
41	мы не	2	5
42	в ней	1	5
43	но не	2	5
44	входит в	1	5
45	же как	1	4
46	и это	1	4
47	то же	5	4
48	его на	1	4
49	в которой	1	4
50	он не	1	4
51	не как	3	4
52	что все	2	4
53	того как	1	4
54	в некоторых	2	4
55	в пределах	1	4
56	если не	2	4
57	все это	5	4
58	в которых	1	3
59	это же	1	3
60	в этой	4	3
61	их в	1	3
62	в то	3	3
63	что при	1	3
64	никогда не	1	3
65	и с	2	3
66	о нем	1	3
67	и др	1	3
68	сюда же	1	3
69	и все	1	3
70	в данном	1	3
71	состоит из	1	3
72	самом деле	2	2
73	он может	1	2
74	одним из	2	2
75	а как	2	2
76	человека и	1	2
77	мы и	2	2
78	в различных	1	2
79	очевидно что	3	2
80	как таковое	1	2
81	еще один	1	2
82	на то	1	2
83	связанные с	1	2
84	друг с	1	2
85	о чем	2	2
86	это было	2	2
87	в своей	3	2
88	ее в	1	2
89	но он	1	2
90	что этот	1	2
91	по себе	2	2
92	она не	1	2
93	тогда когда	1	2
94	с другом	1	2
95	данном случае	1	2
96	об этом	1	2
97	если бы	2	2
98	ничего не	2	2
99	можно сказать	1	2
100	все его	1	2
101	же в	1	2
102	того что	1	2
103	его и	2	2
104	мы можем	1	2
105	у него	1	2
106	до сих	2	2
107	и быть	1	2
108	а не	10	2
109	со своими	1	2
110	что мы	2	2
111	и потому	1	2
112	из которых	1	2
113	в течение	1	2
114	по существу	2	2
115	это значит	1	2
116	сих пор	2	2
117	но для	1	2
118	и для	2	2
119	формы и	2	2
120	это уже	2	2
121	сказать что	1	2
122	находящихся в	1	2
123	в свое	1	2
124	к этому	1	2
125	вряд ли	3	1
126	сам по	1	1
127	она все	1	1
128	должна быть	2	1
129	не ограничиваются	1	1
130	той же	1	1
131	он знает	1	1
132	именно к	1	1
133	не вполне	1	1
134	но даже	2	1
135	свое первоначальное	1	1
136	затем он	1	1
137	и этого	1	1
138	быть в	1	1
139	не без	1	1
140	своей работе	1	1
141	не то	1	1
142	и приемы	1	1
143	к сожалению	3	1
144	отнюдь не	1	1
145	вверх ногами	1	1
146	но в	3	1
147	есть ли	1	1
148	мы получаем	2	1
149	он в	1	1
150	частности с	1	1
151	в себе	2	1
152	как принцип	2	1
153	что она	2	1
154	наконец он	2	1
155	они в	1	1
156	всех этих	2	1
157	работ в	1	1
158	изобразительном искусстве	1	1
159	было бы	3	1
160	как живой	1	1
161	и вы	1	1
162	этого не	1	1
163	предметы по	1	1
164	художественного творчества	5	1
165	в их	4	1
166	она в	1	1
167	в своем	1	1
168	и некоторыми	1	1
169	представляется не	1	1
170	доказывает что	1	1
171	в конце	2	1
172	формы как	1	1
173	что с	1	1
174	к изучению	1	1
175	момент является	1	1
176	так много	1	1
177	он пытается	1	1
178	находятся в	1	1
179	же время	3	1
180	с новой	1	1
181	в процессе	1	1
182	очень часто	1	1
183	с проблемой	2	1
184	в виду	1	1
185	происходит уже	1	1
186	приводит к	1	1
187	связанных с	1	1
188	что под	1	1
189	для этого	3	1
190	даже не	1	1
191	сводится к	2	1
192	является с	1	1
193	и только	5	1
194	ночью в	1	1
195	хотя бы	5	1
196	тот же	1	1
197	верно но	1	1
198	пишет он	2	1
199	и так	1	1
200	в изобразительном	1	1
201	он уже	1	1
202	по мнению	1	1
203	имеются не	1	1
204	и у	2	1
205	вопроса о	2	1
206	еще одно	1	1
207	а это	1	1
208	или даже	1	1
209	или просто	1	1
210	они до	1	1
211	одно из	1	1
212	для него	3	1
213	именно такую	1	1
214	в котором	1	1
215	в современном	1	1
216	это верно	1	1
217	само по	1	1
218	говорит он	1	1
219	еще ничего	2	1
220	и даже	1	1
221	возвращается в	1	1
222	что для	1	1
223	то и	1	1
224	не было	1	1
225	относится к	1	1
226	сдвиг в	1	1
227	при более	1	1
228	стороны в	1	1
229	равно как	1	1
230	единства и	1	1
231	относятся к	1	1
232	ни от	2	1
233	конечно не	4	1
234	где же	1	1
235	только как	1	1
236	он ставит	1	1
237	ней не	1	1
238	к следующему	1	1
239	случилось с	1	1
240	быть не	1	1
241	только для	1	1
242	как таковой	2	1
243	обе эти	1	1
244	камня и	1	1
245	бы в	1	1
246	все они	2	1
247	гораздо больше	1	1
248	но если	1	1
249	материал и	1	1
250	слагается из	1	1
251	в самом	2	1
252	что такое	4	1
253	в искусстве	6	1
254	как на	1	1
255	в таком	1	1
256	все что	1	1
