N	2gram	Berdyaev_N_1	IolandNe
1	и с	2	3
2	и не	11	2
3	должен быть	5	2
4	в этом	7	2
5	он не	8	2
6	оба они	1	2
7	что в	9	2
8	все эти	2	1
9	с другой	3	1
10	человеке и	1	1
11	того чтобы	2	1
12	говорить о	1	1
13	от нее	1	1
14	это было	3	1
15	во многом	1	1
16	так и	2	1
17	в основе	3	1
18	них не	1	1
19	жизни и	8	1
20	себя в	2	1
21	и очень	1	1
22	того же	1	1
23	от этого	1	1
24	и еще	1	1
25	и творчества	2	1
26	в значительной	1	1
27	только для	1	1
28	а также	1	1
29	для того	1	1
30	есть только	1	1
31	а в	2	1
32	по существу	2	1
33	и в	16	1
34	не случайно	1	1
35	в эту	1	1
36	все это	5	1
37	тем что	1	1
38	а по	1	1
39	я не	2	1
40	другой стороны	2	1
41	никогда не	6	1
42	в них	4	1
