N	3gram	Tiupa_Teor_1	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	1	3
4	в русской литературе	2	3
5	с точки зрения	3	2
6	как раз в	1	2
7	но в то	1	2
8	не может быть	4	2
9	в том что	8	2
10	а между тем	1	1
11	в этом смысле	2	1
12	в соответствии с	2	1
13	уже говорилось выше	1	1
14	а тем более	1	1
15	в романе достоевского	1	1
16	а также в	1	1
17	точно так же	1	1
18	по крайней мере	1	1
19	может быть и	2	1
20	и в то	1	1
21	одно и то	1	1
22	войне и мире	2	1
23	так же как	1	1
24	на первый взгляд	1	1
25	и то же	1	1
26	в известном смысле	1	1
27	а с другой	2	1
28	на свое место	1	1
29	с другой стороны	5	1
30	как бы в	1	1
31	тем не менее	3	1
32	писал об этом	1	1
33	в войне и	2	1
34	заключается в том	1	1
35	в то время	1	1
36	в свою очередь	2	1
37	о том что	1	1
38	не только не	2	1
39	между тем это	1	1
40	то что они	1	1
