1	по отношению к	5	9
2	в отличие от	2	7
3	в том что	1	7
4	в то же	12	5
5	то же время	12	5
6	с другой стороны	3	5
7	так и не	1	4
8	той или иной	2	4
9	всех без исключения	1	3
10	в этом смысле	4	3
11	с точки зрения	4	3
12	одно и то	1	3
13	тем не менее	2	3
14	не может быть	6	3
15	можно сказать что	1	3
16	и то же	1	3
17	в той или	2	2
18	и того же	1	2
19	одного и того	1	2
20	отношению к герою	1	2
21	не в самом	1	2
22	сама по себе	2	2
23	к тому что	1	2
24	для того чтобы	1	2
25	в том и	1	2
26	в свою очередь	1	2
27	может быть и	1	2
28	в слове о	2	2
29	по своему смыслу	2	1
30	во всей своей	1	1
31	о мире и	2	1
32	с самим собой	6	1
33	этом смысле можно	1	1
34	кто бы они	1	1
35	самим собою в	1	1
36	отношении к нему	1	1
37	жизнь в которой	1	1
38	как впрочем и	1	1
39	для себя и	1	1
40	обратим внимание на	1	1
41	то ни было	4	1
42	и в то	5	1
43	и по отношению	1	1
44	прежде всего в	1	1
45	но вы как	1	1
46	в отношении к	7	1
47	перед тем как	1	1
48	ибо и в	1	1
49	входит в его	1	1
50	с которыми он	1	1
51	или иной форме	1	1
52	внутренней речи как	1	1
53	не входит в	2	1
54	и в слове	2	1
55	с самим собою	7	1
56	как бы не	1	1
57	то что они	1	1
58	по крайней мере	3	1
59	в этом случае	2	1
60	говорит что он	1	1
61	бы они ни	1	1
62	человека с его	1	1
63	все без исключения	2	1
64	заключает в себе	1	1
65	и пусть пусть	1	1
66	всей своей полноте	1	1
67	к тому же	2	1
68	он мог бы	1	1
69	чего бы то	2	1
70	и для других	1	1
71	они ни были	1	1
72	в значительной степени	1	1
73	что он должен	1	1
74	бы ни был	1	1
75	с ними и	1	1
76	как бы в	1	1
77	по ту сторону	2	1
78	именно потому что	2	1
79	речи может быть	1	1
80	себе в этом	1	1
81	он ни был	3	1
82	а в то	1	1
83	не было и	1	1
84	и прежде всего	4	1
85	и в самом	3	1
86	бы то ни	4	1
87	подобно тому как	2	1
88	никогда не бывает	2	1
89	о том что	2	1
90	и в том	1	1
91	однако в отличие	1	1
92	человека с человеком	2	1
93	но и внутренне	1	1
94	как и в	1	1
95	что он не	1	1
96	и со всеми	1	1
97	помимо его воли	1	1
