N	3gram	Propp_Isto_5	FransuaR
1	мы уже говорили	1	11
2	о том что	4	5
3	то же время	1	5
4	в то же	1	5
5	в самом деле	1	4
6	с одной стороны	7	4
7	до сих пор	2	3
8	никак не может	1	2
9	одной стороны и	1	2
10	с точки зрения	1	2
11	как мы увидим	3	2
12	но уже в	1	2
13	в данном случае	2	2
14	во всех этих	1	2
15	но и в	2	2
16	с другой стороны	8	2
17	таким образом в	1	2
18	прежде всего мы	1	2
19	в том что	2	2
20	по отношению к	2	1
21	другой стороны в	1	1
22	не дает нам	1	1
23	есть как бы	1	1
24	и др все	1	1
25	данном случае они	1	1
26	свидетельствует о том	1	1
27	о том как	2	1
28	в нем и	3	1
29	и не только	1	1
30	в преисподнюю в	1	1
31	всем тем что	1	1
32	связывает его с	1	1
33	и заставляет ее	1	1
34	в себе и	1	1
35	переходят друг в	1	1
36	из того что	1	1
37	к себе в	1	1
38	мы не будем	2	1
39	вместе с тем	6	1
40	только для того	1	1
41	из них является	1	1
42	что он проглотил	1	1
43	сам по себе	1	1
44	в ту же	1	1
45	знать что в	1	1
46	то это было	1	1
47	на которой он	1	1
48	до него и	1	1
49	дает нам никакого	1	1
50	мы видим что	4	1
51	в некоторых местах	1	1
52	как и вообще	1	1
53	в преисподнюю и	1	1
54	и потому не	1	1
55	в связи с	4	1
56	то что он	1	1
57	на ней мы	1	1
58	другой стороны с	1	1
59	образом прежде всего	1	1
60	для того чтобы	3	1
61	не может быть	3	1
62	мы видели что	2	1
63	в зависимости от	1	1
64	в то время	1	1
65	мы видим здесь	3	1
66	части его тела	1	1
67	был тот кто	2	1
68	после того как	3	1
69	но и для	1	1
70	не только в	2	1
71	она основана на	1	1
72	но все же	4	1
73	можно сказать что	1	1
74	и из него	1	1
75	и что он	1	1
76	следующим образом прежде	1	1
77	друг в друга	1	1
78	что и в	2	1
79	такие выражения как	2	1
