N	2gram	Voloshinov_1	Problemy
1	и в	38	35
2	как бы	28	31
3	и не	14	27
4	что он	2	24
5	в его	6	21
6	но в	5	19
7	как и	10	18
8	не может	12	18
9	в нем	4	16
10	то есть	4	16
11	и все	4	15
12	с самим	2	15
13	то же	14	15
14	и его	7	14
15	в этом	10	14
16	для него	3	14
17	в сущности	1	14
18	но и	13	14
19	все это	4	14
20	может быть	13	14
21	к нему	2	13
22	что я	1	13
23	он не	2	13
24	и с	5	12
25	в другом	1	12
26	прежде всего	21	12
27	и к	4	12
28	у достоевского	1	12
29	слова и	5	11
30	в то	9	11
31	же время	7	10
32	не в	6	10
33	то что	8	10
34	самом деле	4	10
35	не только	27	10
36	второй голос	1	9
37	в отношении	2	9
38	на самом	3	9
39	все же	7	8
40	так и	6	8
41	мы уже	10	8
42	потому что	5	8
43	и слово	3	8
44	и для	3	8
45	я не	1	8
46	самого начала	4	8
47	с самого	4	8
48	как мы	9	8
49	еще не	3	7
50	и наконец	5	7
51	в виде	1	7
52	вовсе не	2	7
53	таким образом	7	7
54	точки зрения	10	7
55	там где	1	7
56	с ним	2	7
57	что же	8	7
58	и сам	2	7
59	лишь в	4	7
60	так же	4	7
61	а в	5	7
62	с его	7	7
63	себе и	2	7
64	не знает	3	6
65	слова в	5	6
66	что в	1	6
67	отношение к	2	6
68	слово с	1	6
69	в одном	3	6
70	и т.п	21	6
71	но не	2	6
72	в самом	4	6
73	к тому	4	6
74	что у	3	6
75	в слове	3	6
76	и на	6	6
77	и что	1	6
78	только в	6	6
79	чужое слово	1	6
80	но это	2	6
81	как к	1	5
82	в себе	9	5
83	его с	1	5
84	и то	3	5
85	в конце	6	5
86	в том	2	5
87	на него	4	5
88	да и	4	5
89	так что	1	5
90	как в	2	5
91	к своему	4	5
92	и даже	3	5
93	уже говорили	1	5
94	с ними	1	5
95	этого слова	3	5
96	внутренней речи	18	5
97	обращаться к	1	5
98	на протяжении	1	5
99	и это	7	5
100	в глаза	1	5
101	на его	5	4
102	и вот	3	4
103	тон и	1	4
104	это слово	2	4
105	так чтобы	1	4
106	что это	4	4
107	как раз	1	4
108	и так	6	4
109	сознания и	1	4
110	и без	4	4
111	та же	3	4
112	в своей	2	4
113	по себе	1	4
114	его в	4	4
115	бы в	5	4
116	но все	4	4
117	звучат в	1	4
118	теперь в	3	4
119	все его	1	4
120	но зато	1	4
121	в той	5	4
122	нет и	3	4
123	между тем	3	4
124	но как	2	4
125	в стиле	1	4
126	его внутренней	4	4
127	внутреннюю речь	3	4
128	в чем	1	4
129	тот же	2	4
130	как будто	1	4
131	же и	1	4
132	никогда не	7	4
133	тем что	2	4
134	не о	1	4
135	по своему	3	4
136	у него	1	4
137	он в	1	4
138	слова о	3	4
