N	3gram	Berdyaev_N_1	FransuaR
1	в большинстве случаев	1	5
2	в том числе	1	3
3	но и в	1	3
4	это и есть	1	3
5	с другой стороны	2	3
6	в этой системе	1	3
7	подобно тому как	3	3
8	том числе и	1	2
9	с одной стороны	2	2
10	это конечно не	1	2
11	не только в	1	2
12	в то время	1	2
13	о том что	1	2
14	старого мира и	1	2
15	и того же	1	1
16	и до сих	1	1
17	до сих пор	1	1
18	и не может	1	1
19	в эту эпоху	1	1
20	том случае если	1	1
21	писатели и философы	1	1
22	со всех сторон	3	1
23	в том случае	1	1
24	то время как	1	1
25	ни в чем	1	1
26	и преображен в	1	1
27	в отличие от	1	1
28	по природе своей	1	1
29	к одному из	1	1
30	это не значит	2	1
31	и все они	1	1
32	большую роль в	2	1
33	не может быть	4	1
34	в нем нет	2	1
35	место в жизни	1	1
36	как будто не	1	1
37	одного и того	1	1
38	не может когда	1	1
39	лицом к лицу	3	1
40	в том что	1	1
