N	3gram	Nazirov_Vr_1	Istorich
1	с другой стороны	1	8
2	о том что	1	4
3	в связи с	3	4
4	тем не менее	1	4
5	так же как	1	3
6	не может быть	2	3
7	о том как	1	2
8	до сих пор	1	2
9	в это время	1	2
10	но это не	1	2
11	тем что он	1	2
12	в том что	2	2
13	на то что	1	2
14	которого никто не	1	1
15	но мы знаем	1	1
16	в соответствии с	1	1
17	он не только	2	1
18	уже говорилось выше	1	1
19	с точки зрения	2	1
20	но для нас	1	1
21	то же время	4	1
22	точно так же	1	1
23	я покажу тебе	1	1
24	и что он	1	1
25	что в жизни	1	1
26	во всяком случае	1	1
27	что у него	1	1
28	мы знаем о	1	1
29	о нем в	1	1
30	в то время	1	1
31	в свою очередь	1	1
32	и из него	1	1
33	лет тому назад	1	1
34	в то же	4	1
35	а с точки	1	1
