N	2gram	Losev_Vesc_1	Formalny
1	и в	21	38
2	в этом	4	27
3	т е	55	26
4	может быть	16	23
5	и его	2	21
6	и пр	6	21
7	таким образом	8	20
8	и не	29	20
9	в самом	9	16
10	не в	5	15
11	прежде всего	9	15
12	и т	19	14
13	не может	17	14
14	в нем	2	13
15	но и	18	13
16	в пределах	1	12
17	с его	1	11
18	с тем	5	11
19	в том	8	11
20	языка как	2	11
21	вовсе не	10	11
22	с другими	8	10
23	в его	2	10
24	не только	36	9
25	при этом	1	9
26	и с	8	9
27	как и	8	9
28	языка в	1	9
29	самом деле	4	8
30	отнюдь не	5	8
31	все же	4	8
32	точки зрения	5	8
33	так и	3	8
34	что и	3	8
35	тем что	2	8
36	в первом	2	7
37	как мы	4	7
38	по себе	13	7
39	для него	4	7
40	в своей	5	7
41	с точки	3	7
42	язык и	1	7
43	во втором	2	7
44	в поэтическом	1	7
45	уже не	9	7
46	этом отношении	1	7
47	по существу	2	7
48	слова и	5	7
49	что в	9	7
50	и ее	18	6
51	в ней	12	6
52	в истории	1	6
53	все эти	3	6
54	в этой	3	6
55	то же	6	6
56	было бы	14	6
57	могут быть	1	6
58	в языке	1	6
59	все время	1	6
60	только в	14	6
61	то что	27	6
62	не было	1	6
63	вместе с	1	6
64	а не	19	6
65	как раз	9	6
66	в результате	3	6
67	хотя бы	6	6
68	а в	4	6
69	это и	6	5
70	по преимуществу	2	5
71	должна быть	4	5
72	говорить о	6	5
73	всего этого	1	5
74	во всех	2	5
75	в общем	1	5
76	т д	19	5
77	в слове	2	5
78	в то	3	5
79	в основе	3	5
80	ни о	1	5
81	если бы	5	5
82	сводится к	2	5
83	и только	3	5
84	что он	1	5
85	всяком случае	2	5
86	если мы	8	5
87	именно в	1	5
88	с этим	3	5
89	что же	8	5
90	и для	9	5
91	бы в	5	5
92	еще более	2	5
93	во всяком	3	5
94	в сущности	4	4
95	что оно	8	4
96	что они	6	4
97	независимо от	5	4
98	и наконец	1	4
99	и к	1	4
100	его от	1	4
101	от нее	2	4
102	мы видели	1	4
103	восприятия и	1	4
104	не столько	1	4
105	раз и	1	4
106	ничего не	3	4
107	к тому	3	4
108	в дальнейшем	1	4
109	того или	1	4
110	но в	5	4
111	чем он	1	4
112	языка у	1	4
113	что не	5	4
114	из них	4	4
115	так как	7	4
116	не о	1	4
117	даже и	4	4
118	в особенности	1	4
119	и даже	6	4
120	другой стороны	2	4
121	мы говорим	5	4
122	как бы	12	4
123	совершенно не	5	4
124	оно не	3	4
125	к этому	1	4
126	же как	1	3
127	сам по	3	3
128	в зависимости	1	3
129	из всего	1	3
130	мы не	6	3
131	то это	3	3
132	зависимости от	1	3
133	если в	1	3
134	чем же	3	3
135	как к	4	3
136	однако не	2	3
137	хотя и	4	3
138	и как	8	3
139	от этого	2	3
140	что это	13	3
141	из этих	1	3
142	но ведь	2	3
143	только на	3	3
144	но именно	2	3
145	всех этих	1	3
146	понятий и	2	3
147	главным образом	1	3
148	и может	2	3
149	его в	2	3
150	это было	1	3
151	он и	1	3
152	однако и	1	3
153	только и	2	3
154	не является	1	3
155	его с	1	3
156	не есть	49	3
157	на проблеме	1	3
158	можно и	2	3
159	того чтобы	3	3
160	так в	1	3
161	все дело	1	3
162	и здесь	4	3
163	одного из	1	3
164	к действительности	2	3
165	пр но	1	3
166	к нему	1	3
167	как ее	2	3
168	того что	8	3
169	то и	4	3
170	мы знаем	1	3
171	и их	7	3
172	слова в	2	3
173	для того	2	3
174	с другой	6	3
175	и прежде	1	3
176	а наоборот	1	3
177	не то	4	3
178	он становится	1	3
179	их к	1	3
180	это приводит	1	3
181	и смысла	1	3
182	том смысле	1	3
183	быть и	1	3
184	все это	5	3
185	на самом	1	3
186	или в	2	3
187	и все	5	3
188	была бы	2	3
189	жизни и	2	3
190	формы и	1	2
191	можно говорить	2	2
192	и то	10	2
193	между двумя	1	2
194	к другому	1	2
195	едва ли	1	2
196	было и	2	2
197	предмета в	1	2
198	ясности и	2	2
199	как таковая	2	2
200	но не	5	2
201	а только	3	2
202	очевидно что	1	2
203	отношение к	1	2
204	отличие от	1	2
205	что именно	1	2
206	перед нами	2	2
207	кроме того	4	2
208	языка не	1	2
209	то в	4	2
210	та же	1	2
211	в которой	1	2
212	уже в	1	2
213	действительности а	1	2
214	ее как	2	2
215	в понимании	1	2
216	же это	4	2
217	не к	1	2
218	в понятии	4	2
219	совершенно нельзя	1	2
220	и более	1	2
221	из него	1	2
222	и по	1	2
223	на этом	2	2
224	в основу	1	2
