N	3gram	Vinokur_Vv_1	VelikijI
1	к тому что	1	3
2	а между тем	1	2
3	но и в	1	2
4	бы и не	1	2
5	это еще не	2	2
6	так как не	1	2
7	в том что	12	2
8	и т д	37	2
9	но все же	3	1
10	т д и	1	1
11	и есть то	1	1
12	и конечная цель	1	1
13	хотя бы и	2	1
14	бы то ни	1	1
15	но от этого	1	1
16	по крайней мере	4	1
17	вместе с тем	3	1
18	так как она	1	1
19	в конце концов	2	1
20	в известном смысле	3	1
21	и в этом	3	1
22	не могут быть	2	1
23	в них и	1	1
24	с другой стороны	5	1
25	на этом пути	1	1
26	прошлом и настоящем	1	1
27	по сравнению с	3	1
28	в одно целое	1	1
29	и никогда не	1	1
30	в практическом действии	1	1
31	в прошлом и	1	1
32	после того как	2	1
33	вот почему в	1	1
34	смысле нельзя не	1	1
