1	и т п	5	9
2	с точки зрения	9	8
3	до сих пор	5	7
4	как бы в	1	4
5	в отличие от	1	4
6	не может быть	1	4
7	и т д	4	4
8	в самом деле	18	4
9	в одном слове	1	4
10	как и все	1	4
11	никак не может	1	3
12	как мы увидим	2	3
13	можно было бы	1	3
14	к тому же	1	3
15	более или менее	1	3
16	мы уже говорили	3	3
17	с другой стороны	5	3
18	это вовсе не	1	2
19	как если бы	3	2
20	одно и то	2	2
21	может быть и	1	2
22	по мере усиления	1	2
23	и та же	2	2
24	положение в котором	1	2
25	я не могу	2	2
26	то время как	2	2
27	одна и та	1	2
28	уже говорили что	1	2
29	в то время	2	2
30	но все же	1	2
31	на то что	12	2
32	нам кажется что	1	2
33	и то же	2	2
34	дело идет о	1	1
35	то что он	2	1
36	то же самое	8	1
37	перед нами в	1	1
38	в жизни а	1	1
39	таким образом и	1	1
40	ни на одну	1	1
41	одна из важнейших	1	1
42	она не только	1	1
43	не мог бы	1	1
44	и что из	1	1
45	и во всех	2	1
46	как один из	1	1
47	все больше и	2	1
48	в точном смысле	1	1
49	мы увидим что	7	1
50	больше и больше	2	1
51	другое и в	1	1
52	что ж делать	1	1
53	дело далеко не	1	1
54	как и всякое	1	1
55	о которых мы	5	1
56	здесь не только	1	1
57	между этими двумя	1	1
58	никогда не говорит	1	1
59	которых мы упоминали	1	1
60	к музыке и	1	1
61	тот же самый	1	1
62	один из его	1	1
63	в том и	1	1
64	в этом рассказе	1	1
65	не имеет с	1	1
66	и если мы	1	1
67	смысле этого слова	2	1
68	что до сих	1	1
69	конечно не в	1	1
70	тон и стиль	1	1
71	поэтому все эти	1	1
72	была бы совершенно	2	1
73	в том что	11	1
74	того о чем	1	1
75	а между тем	1	1
76	каждый из них	1	1
77	я не только	1	1
78	и в другом	2	1
79	можно сказать что	1	1
80	а вовсе не	2	1
81	о том как	2	1
82	с одной стороны	5	1
83	на самом деле	2	1
84	этой точки зрения	1	1
85	сих пор не	1	1
86	его силы и	1	1
87	так что в	1	1
88	если бы оно	1	1
89	т п с	1	1
90	то же слово	1	1
91	так сказать в	1	1
92	другой стороны мы	1	1
93	о том что	3	1
94	в котором они	1	1
95	что он не	1	1
96	самом деле в	1	1
97	во всяком случае	2	1
98	в каждой его	1	1
99	мы можем сказать	1	1
100	в той же	1	1
101	не только не	1	1
