N	2gram	Tiupa_Hudo_1	Tvorches
1	у достоевского	1	28
2	и в	19	21
3	как бы	9	17
4	в то	6	15
5	то же	10	13
6	времени в	2	13
7	в его	9	13
8	достоевского в	1	12
9	то есть	18	12
10	как и	2	12
11	же время	5	12
12	что в	6	12
13	с его	6	11
14	том что	8	11
15	все это	2	10
16	в романе	3	10
17	как в	2	8
18	он не	4	8
19	то что	4	8
20	в году	2	7
21	и на	2	7
22	но в	7	7
23	что достоевский	1	7
24	не только	16	7
25	при этом	13	7
26	тем самым	4	7
27	у него	1	7
28	и не	15	7
29	в том	18	7
30	в свою	3	7
31	в этом	11	6
32	в преступлении	1	6
33	в котором	1	6
34	не менее	3	6
35	и его	12	6
36	о том	2	6
37	что он	3	6
38	для него	4	6
39	а в	12	6
40	жизни в	2	6
41	отнюдь не	2	5
42	в этой	2	5
43	таким образом	3	5
44	вовсе не	2	5
45	в своих	1	5
46	в повести	2	5
47	в русской	3	5
48	потому что	3	5
49	как будто	1	5
50	только в	5	5
51	может быть	14	5
52	а не	9	5
53	человека и	1	4
54	конечном счете	5	4
55	в своем	2	4
56	и как	3	4
57	в целом	3	4
58	самим собой	4	4
59	это не	2	4
60	свое я	1	4
61	в своей	5	4
62	своего рода	5	4
63	не случайно	3	4
64	по сути	3	4
65	в мире	21	4
66	времени и	2	4
67	в конечном	5	4
68	русской литературе	2	4
69	одной из	2	4
70	преступлении и	1	4
71	в финале	2	4
72	прежде всего	4	4
73	в момент	2	4
74	не может	7	4
75	и от	1	4
76	один из	2	4
77	одним из	1	4
78	и наказании	1	4
79	я и	7	3
80	ту же	1	3
81	это и	1	3
82	той же	1	3
83	я не	2	3
84	время в	1	3
85	со всеми	1	3
86	человеческих отношений	2	3
87	хотя и	3	3
88	в самом	5	3
89	сливается с	1	3
90	представляет собой	10	3
91	в нем	5	3
92	он ни	1	3
93	первой части	2	3
94	на его	1	3
95	на земле	1	3
96	и по	2	3
97	в каждом	1	3
98	что все	1	3
99	авторской позиции	2	3
100	соответствии с	1	3
101	далеко не	2	3
102	в их	5	3
103	место в	4	3
104	даже в	3	3
105	человека но	1	3
106	дело не	2	3
107	дело в	1	3
108	не по	1	3
109	героев и	1	3
110	никогда не	2	3
111	с ее	5	3
112	и другие	2	3
113	с ним	2	3
114	того что	4	3
115	действительной жизни	1	3
116	который в	2	3
117	во времени	4	3
118	уже не	4	3
119	говорит о	1	3
120	так как	1	3
121	в соответствии	1	3
122	человек как	1	3
123	в которой	2	3
124	и даже	1	3
125	с другой	7	3
126	но и	10	3
127	в рассказе	3	3
128	но не	11	3
129	сути дела	1	3
130	он говорит	1	3
131	не существует	1	3
132	просто не	1	3
133	но если	1	3
134	жизни и	1	3
135	ее в	2	3
136	так же	2	3
137	того же	2	2
138	на деле	3	2
139	в первом	1	2
140	по преимуществу	2	2
141	действительности и	1	2
142	а как	1	2
143	есть не	1	2
144	но она	2	2
145	героя и	5	2
146	собой в	1	2
147	в отличие	7	2
148	людей в	1	2
149	в чем	2	2
150	нет не	1	2
151	если в	1	2
152	отличие от	7	2
153	каждой человеческой	1	2
154	в одной	1	2
155	как к	2	2
156	говорит что	2	2
157	то в	2	2
158	в себе	9	2
159	что она	2	2
160	тем не	3	2
161	в принципе	5	2
162	отношений между	1	2
163	здесь мы	1	2
164	не будет	2	2
165	а затем	1	2
166	о котором	1	2
167	а по	1	2
168	и тем	2	2
169	в данном	4	2
170	ведет к	1	2
171	и того	2	2
172	в этих	3	2
173	не во	1	2
174	не столько	3	2
175	каждом человеке	1	2
176	не в	7	2
177	в пространстве	2	2
178	но он	3	2
179	по крайней	1	2
180	однако в	4	2
181	между людьми	1	2
182	и против	1	2
183	одна из	2	2
184	и притом	3	2
185	в основе	4	2
186	но только	1	2
187	иными словами	1	2
188	свидетельствует о	1	2
189	которого он	1	2
190	личности в	4	2
191	своего я	1	2
192	могут быть	4	2
193	является одним	1	2
194	к тому	4	2
195	в жизни	2	2
196	в виду	5	2
197	мысль о	1	2
198	в себя	2	2
199	приводит к	5	2
200	так и	11	2
201	об этом	2	2
202	быть может	1	2
203	можно сказать	5	2
204	из других	1	2
205	может не	1	2
206	настоящее время	1	2
207	что его	1	2
208	что и	2	2
209	во всей	3	2
210	крайней мере	1	2
211	вслед за	1	2
212	перед тем	1	2
213	и мир	1	2
214	в литературе	1	2
215	жизнь на	2	2
216	тот же	1	2
217	его произведений	1	2
218	в качестве	24	2
219	человека с	3	2
220	так что	1	2
221	же и	1	2
222	из них	1	2
223	не означает	1	2
224	свободу от	1	2
225	мы находим	1	2
226	именно в	2	2
227	что не	1	2
228	что для	1	2
229	зависит от	1	2
230	с которым	1	2
231	его как	1	2
232	мира в	2	2
233	человека как	1	2
234	в частности	13	2
235	вместе с	1	2
236	до этого	1	2
237	к жизни	2	2
238	в мир	1	2
239	вокруг себя	1	2
240	перед нами	1	2
241	в одно	2	2
242	для автора	2	2
243	или в	2	2
244	личности и	3	2
245	на смену	1	2
246	не знает	3	2
247	сказать что	4	2
248	в глаза	2	2
249	одновременно и	1	2
250	точно так	1	2
251	значения этого	1	1
252	в сфере	1	1
253	же как	1	1
254	чтобы не	1	1
255	и через	1	1
256	ложью не	1	1
257	трагический герой	1	1
258	в комнате	1	1
259	говорилось выше	1	1
260	и есть	1	1
261	не признает	1	1
262	над этим	1	1
263	этого мира	1	1
264	видения мира	1	1
265	места в	1	1
266	также и	1	1
267	мы имеем	6	1
268	по-разному в	1	1
269	в сущности	1	1
270	говорить о	3	1
271	что иное	1	1
272	принадлежит к	3	1
273	в полной	1	1
274	в одиночку	1	1
275	что можно	3	1
276	к преступлению	1	1
277	проявляется в	1	1
278	который может	1	1
279	себе а	1	1
280	одно из	2	1
281	еще не	3	1
