N	2gram	Medvedev_F_2	Sovremen
1	таким образом	20	8
2	в результате	6	5
3	в этом	27	5
4	не может	14	5
5	и наконец	4	4
6	мы не	3	4
7	в каждом	1	4
8	как бы	4	4
9	все эти	6	3
10	в целом	3	3
11	и мы	1	3
12	не можем	1	3
13	зависимости от	3	3
14	в развитии	2	3
15	следующим образом	1	3
16	в зависимости	3	3
17	с помощью	10	3
18	из этих	3	2
19	а на	1	2
20	как известно	1	2
21	у нас	1	2
22	на этом	2	2
23	это за	1	2
24	все же	8	2
25	и в	38	2
26	но в	4	2
27	мы должны	1	2
28	этих двух	2	2
29	же это	2	2
30	что же	5	2
31	на этот	1	2
32	все это	3	2
33	в дальнейшем	4	2
34	в первом	7	2
35	первые два	1	2
36	тот же	1	2
37	если мы	5	2
38	и все	3	2
39	мы видели	4	2
40	прежде всего	15	2
41	не только	9	2
42	точки зрения	8	2
43	в виде	1	2
44	то же	6	2
45	мы получим	1	2
46	не в	15	2
47	с одной	1	2
48	помощью которых	1	2
49	при этом	9	2
50	который как	1	2
51	в системе	1	1
52	и не	20	1
53	как мы	7	1
54	в процессе	9	1
55	все время	6	1
56	первый период	6	1
57	не дает	1	1
58	это и	5	1
59	он не	6	1
60	же путем	1	1
61	мы будем	1	1
62	не доказывают	1	1
63	этой системы	1	1
64	у всех	1	1
65	за собой	1	1
66	оно имеет	1	1
67	роль в	3	1
68	при определенных	2	1
69	их в	2	1
70	а в	6	1
71	как целого	1	1
72	представление о	2	1
73	в то	5	1
74	определенных условиях	2	1
75	в своих	1	1
76	что уже	1	1
77	явлений как	1	1
78	как он	1	1
79	но они	1	1
80	в нашем	1	1
81	по своим	1	1
82	свою очередь	1	1
83	дело в	1	1
84	все те	1	1
85	и путем	1	1
86	должен быть	1	1
87	с другой	3	1
88	в другом	1	1
89	можно назвать	1	1
90	отличие от	2	1
91	элемент может	1	1
92	не окажется	1	1
93	но все	3	1
94	как и	9	1
95	в которой	2	1
96	она не	2	1
97	те явления	1	1
98	отметить что	2	1
99	независимо от	4	1
100	на их	1	1
101	подчеркнуть что	1	1
102	жизни и	3	1
103	еще более	5	1
104	собственно и	1	1
105	о том	1	1
106	пока не	1	1
107	того же	1	1
108	один из	2	1
109	его с	3	1
110	периоде развития	1	1
111	же в	1	1
112	ничего не	4	1
113	а все	2	1
114	образом из	1	1
115	же время	5	1
116	так же	1	1
117	для нас	1	1
118	роли данного	1	1
119	всего необходимо	1	1
120	все более	2	1
121	что в	7	1
122	ясно что	1	1
123	функции в	2	1
124	чем в	1	1
125	а не	6	1
126	здесь и	4	1
127	так называемый	1	1
128	на внешней	1	1
129	на них	1	1
130	той же	1	1
131	между ними	2	1
132	может быть	23	1
133	характерное для	1	1
134	он должен	1	1
135	только так	2	1
136	эта система	1	1
137	и должно	5	1
138	все равно	1	1
139	и действительно	1	1
140	мы имеем	1	1
141	тем же	3	1
142	этот был	1	1
143	затем на	1	1
144	то чем	1	1
145	которых он	1	1
146	кроме того	2	1
147	этого можно	1	1
148	и несколько	1	1
149	в том	11	1
150	и тот	1	1
151	не будем	1	1
152	в первый	5	1
153	же мы	1	1
154	чем объясняется	1	1
155	это не	2	1
156	период развития	3	1
157	на конкретном	1	1
158	уже в	2	1
159	конечно не	1	1
160	в себе	1	1
161	теперь мы	1	1
162	одной стороны	1	1
163	и даже	4	1
164	и все-таки	1	1
165	именно эта	1	1
166	и от	2	1
167	влечет за	1	1
168	каждый элемент	4	1
169	в этой	6	1
170	но это	2	1
171	поэтому мы	1	1
172	так как	4	1
173	по преимуществу	5	1
174	этом случае	1	1
175	что это	3	1
176	этот вопрос	2	1
177	он в	2	1
178	же как	3	1
179	более и	1	1
180	в нем	13	1
181	так сказать	3	1
182	значение в	1	1
183	этом периоде	1	1
184	только одна	1	1
185	и к	4	1
186	частном случае	1	1
187	оно касается	1	1
188	дело идет	4	1
189	и проследим	1	1
190	дает нам	1	1
191	между двумя	2	1
192	и по	2	1
193	и следовательно	1	1
194	что эта	2	1
195	один и	1	1
196	идет о	2	1
197	и более	2	1
198	чем же	3	1
199	только из	1	1
200	в конце	2	1
201	они не	4	1
202	образом на	1	1
203	его развития	1	1
204	в свою	1	1
205	том что	2	1
206	не могут	7	1
207	в своем	1	1
208	в отличие	2	1
209	на котором	2	1
