N	2gram	Tiupa_Anal_3	NovoeSre
1	а не	9	17
2	и в	18	16
3	не может	2	16
4	и не	12	11
5	и есть	1	10
6	что в	9	9
7	в том	9	8
8	жизни и	1	8
9	он не	6	8
10	культуры и	1	7
11	в этом	14	7
12	может быть	9	7
13	не будет	3	7
14	как и	14	7
15	с его	8	6
16	не в	6	6
17	никогда не	5	6
18	лишь в	5	6
19	но это	1	6
20	не знает	1	6
21	с ее	3	5
22	в ней	2	5
23	истории в	1	5
24	и к	4	5
25	не только	22	5
26	в жизни	2	5
27	все это	3	5
28	в нем	2	5
29	со всех	1	4
30	о том	6	4
31	всех сторон	1	4
32	в них	2	4
33	то что	2	4
34	это не	2	4
35	прежде всего	5	4
36	не было	3	4
37	должно быть	1	4
38	есть лишь	1	4
39	и потому	2	4
40	по своему	2	4
41	не менее	4	4
42	и для	2	4
43	и все	2	4
44	потому что	1	4
45	с другой	7	3
46	в ее	3	3
47	вопрос о	1	3
48	человека и	1	3
49	еще не	6	3
50	во всех	2	3
51	за пределы	1	3
52	лицом к	1	3
53	в истории	1	3
54	как в	3	3
55	к ним	1	3
56	возвращение к	1	3
57	подобно тому	3	3
58	в мире	5	3
59	но и	13	3
60	это было	1	3
61	не есть	4	3
62	стремится к	1	3
63	с тем	2	3
64	к лицу	1	3
65	в своей	1	3
66	к жизни	3	3
67	тому как	2	3
68	в основе	1	3
69	к ее	1	3
70	жизни в	1	3
71	истории не	2	3
72	к тому	6	3
73	в наши	1	3
74	сказать что	2	3
75	связана с	1	2
76	это и	2	2
77	роль в	3	2
78	не имеют	1	2
79	так и	14	2
80	мы не	3	2
81	мира и	2	2
82	для этого	1	2
83	я не	1	2
84	и должно	1	2
85	и на	4	2
86	должно было	1	2
87	но не	7	2
88	к богу	1	2
89	в новом	2	2
90	с этим	3	2
91	хотя и	2	2
92	но в	2	2
93	который в	3	2
94	все эти	2	2
95	с одной	2	2
96	себя в	4	2
97	с их	3	2
98	есть в	1	2
99	в себе	2	2
100	уже не	5	2
101	не могла	2	2
102	том чтобы	1	2
103	нашего времени	3	2
104	у него	1	2
105	что она	2	2
106	в одну	1	2
107	и даже	8	2
108	и т.п	5	2
109	связаны с	1	2
110	этом смысле	1	2
111	зависит от	1	2
112	но я	1	2
113	том что	12	2
114	вместе с	2	2
115	я уже	1	2
116	место в	1	2
117	к содержанию	3	2
118	мысли и	1	2
119	одной стороны	2	2
120	такого рода	5	2
121	мир и	1	2
122	другой стороны	5	2
123	как будто	1	2
124	и формы	1	2
125	как это	3	2
126	в то	3	2
127	одна из	2	2
128	в мировой	1	2
129	того чтобы	1	2
130	формы и	1	2
131	и от	2	2
132	хотя бы	1	2
133	все они	2	2
134	а в	10	2
135	когда мы	2	2
136	могут быть	2	2
137	свободы и	1	2
138	в категориях	1	2
139	также что	1	1
140	мужчине и	1	1
141	для себя	1	1
142	в средневековой	1	1
143	перед лицом	1	1
144	не сознается	1	1
145	по преимуществу	2	1
146	приводит к	4	1
147	и до	1	1
148	природе своей	1	1
149	явление культуры	1	1
150	свободно а	1	1
151	мы уже	1	1
152	за какие	1	1
153	не с	2	1
154	по природе	1	1
155	и религии	1	1
156	приобщается к	2	1
157	с ним	1	1
158	можно сказать	4	1
159	говорить о	3	1
160	оно есть	1	1
