N	2gram	Nazirov_Vr_1	Literetu
1	и не	5	22
2	тогда как	2	17
3	в мире	2	16
4	и в	8	16
5	х годов	4	15
6	при этом	4	15
7	в этом	8	14
8	не только	9	14
9	но и	7	14
10	в том	3	12
11	может быть	4	12
12	то что	7	12
13	в частности	1	11
14	своего рода	1	10
15	е годы	1	9
16	то же	5	9
17	так и	1	9
18	в то	5	9
19	того что	1	9
20	в е	1	8
21	в этой	2	8
22	в жизни	1	8
23	том что	3	8
24	не может	2	8
25	к себе	2	8
26	как бы	4	8
27	в своей	2	7
28	тем самым	1	7
29	же время	5	7
30	себя в	1	7
31	точки зрения	2	7
32	еще не	2	6
33	с его	3	6
34	в себе	2	6
35	о том	4	6
36	и его	3	6
37	в его	3	6
38	и т.п	2	6
39	с другой	1	6
40	в году	18	5
41	как в	1	5
42	в целом	1	5
43	тому же	1	5
44	это не	4	5
45	соответствии с	1	5
46	как и	6	5
47	что я	2	5
48	этом отношении	1	5
49	в ее	1	5
50	что он	4	5
51	в качестве	1	5
52	именно в	1	5
53	вместе с	2	5
54	а в	2	5
55	одним из	3	4
56	но не	1	4
57	хотя и	1	4
58	место в	2	4
59	однако в	1	4
60	никогда не	2	4
61	а также	2	4
62	в начале	6	4
63	из них	2	4
64	в одном	1	4
65	до конца	1	4
66	отношения к	2	3
67	свое место	1	3
68	едва ли	1	3
69	той же	1	3
70	с ее	1	3
71	в сторону	1	3
72	отнюдь не	2	3
73	и как	3	3
74	и наконец	1	3
75	но в	6	3
76	то в	1	3
77	самим собой	1	3
78	в глазах	2	3
79	с точки	2	3
80	на свою	1	3
81	начале х	1	3
82	по своей	1	3
83	потому что	1	3
84	еще в	1	3
85	прежде всего	1	3
86	между тем	5	3
87	вслед за	1	3
88	уже не	2	3
89	в самом	1	3
90	в соответствии	1	3
91	более того	1	3
92	о чем	2	3
93	и а	2	3
94	я с	1	3
95	восходящая к	1	3
96	это как	1	3
97	в романе	6	3
98	жизни и	1	3
99	как на	1	3
100	полемика с	1	2
101	того же	1	2
102	я не	3	2
103	во всех	1	2
104	отношение к	2	2
105	я только	1	2
106	еще один	1	2
107	традиции к	1	2
108	все же	6	2
109	себе на	1	2
110	раз в	3	2
111	на то	3	2
112	в нем	6	2
113	чтобы он	3	2
114	о которой	2	2
115	в первой	1	2
116	человека в	3	2
117	и с	6	2
118	в глубине	1	2
119	его в	3	2
120	было бы	1	2
121	и даже	6	2
122	далеко не	3	2
123	не всегда	1	2
124	он и	1	2
125	несмотря на	4	2
126	еще раз	1	2
127	и ее	2	2
128	одном из	1	2
129	вплоть до	1	2
130	быть может	1	2
131	в конце	3	2
132	не менее	2	2
133	как о	1	2
134	как раз	2	2
135	другой стороны	1	2
136	вот в	1	2
137	он ищет	1	2
138	и сам	1	2
139	что у	3	2
140	не с	1	2
141	во второй	1	2
142	и перед	1	2
143	о нем	6	2
144	на страницах	1	2
145	во всей	1	2
146	в ту	1	2
147	но с	1	2
148	связи с	3	2
149	к своим	1	2
150	ни с	1	2
151	для него	2	2
152	тем что	3	2
153	это будет	1	2
154	на свое	1	2
155	выше и	1	2
156	не знаю	1	2
157	так же	4	2
158	если это	1	2
159	один из	1	2
160	годов в	1	2
161	что в	7	2
162	же в	2	2
163	романа и	1	2
164	в свою	2	2
165	эти слова	3	2
166	в своих	4	2
167	к этому	3	2
168	писателей в	2	2
169	как известно	1	1
170	от этой	1	1
171	начинается с	1	1
172	ему нужно	1	1
173	и то	2	1
174	свидетельствует что	1	1
175	усматривал в	1	1
176	это и	1	1
177	идет о	1	1
178	я напротив	1	1
179	и есть	1	1
180	человеком в	1	1
181	автору этих	1	1
182	по преимуществу	1	1
183	по его	1	1
184	полагает что	1	1
185	ни со	1	1
186	вот она	1	1
187	о помощи	1	1
188	говорить о	1	1
189	и он	2	1
190	в ней	4	1
191	имя и	1	1
192	он был	3	1
193	он сам	2	1
194	с тех	1	1
195	в чем	3	1
196	как правило	1	1
197	о смерти	1	1
198	может как	1	1
199	если в	1	1
200	он пишет	2	1
201	не просто	1	1
202	к сожалению	1	1
203	в истории	4	1
204	первый взгляд	1	1
205	для русской	1	1
206	независимо от	1	1
207	своем дневнике	1	1
208	с этим	1	1
209	и дети	2	1
210	в своем	3	1
211	героев достоевского	1	1
212	в этот	3	1
213	своей правоты	1	1
214	романа это	1	1
215	и и	1	1
216	что к	2	1
217	уже в	4	1
218	как он	1	1
219	тем не	1	1
220	он не	3	1
221	ключ к	1	1
222	при виде	1	1
223	в силу	1	1
224	в серебряном	1	1
225	людей и	1	1
226	другими не	1	1
227	те годы	2	1
228	не хуже	1	1
229	матери и	3	1
230	из первых	1	1
231	я хотел	3	1
232	в них	2	1
233	все равно	1	1
234	этого не	1	1
235	и уже	3	1
236	на этот	1	1
237	на первый	2	1
238	во время	2	1
239	в их	1	1
240	каким был	1	1
241	права на	2	1
242	но это	2	1
243	но он	3	1
244	в россии	5	1
245	возвращается к	1	1
246	романа с	1	1
247	а от	1	1
248	в русской	3	1
249	в процессе	1	1
250	не достает	1	1
251	в уме	1	1
252	только не	1	1
253	не имеет	1	1
254	писателя с	1	1
255	не лучше	1	1
256	для печати	1	1
257	и другими	1	1
258	за исключением	1	1
259	во всем	1	1
260	ему и	1	1
261	ему не	1	1
262	начиная с	2	1
263	сама жизнь	1	1
264	сходство с	1	1
265	его с	2	1
266	она же	1	1
267	там за	1	1
268	ничего общего	1	1
269	правда не	1	1
270	и о	3	1
271	в виду	4	1
272	свою очередь	1	1
273	но при	1	1
274	и от	1	1
275	так в	2	1
276	имела место	1	1
277	нельзя не	1	1
278	было в	1	1
279	том как	1	1
280	как ему	1	1
281	имеется в	1	1
282	жизнь и	1	1
283	и эстетический	1	1
284	и т.д	1	1
285	столь же	2	1
286	второй половине	1	1
287	но мы	1	1
288	нас в	1	1
289	на нее	1	1
290	бы в	1	1
291	также в	1	1
292	человека как	1	1
293	в литературе	1	1
294	тех пор	1	1
295	к нему	1	1
296	людей а	1	1
297	по мнению	2	1
298	в декабре	1	1
299	об их	2	1
300	в эти	2	1
301	для всех	1	1
302	и у	3	1
303	в итоге	1	1
304	и их	1	1
305	с различными	1	1
306	в котором	6	1
307	ее не	1	1
308	друг друга	1	1
309	у него	5	1
310	без внимания	1	1
311	лишь один	1	1
312	в молодости	1	1
313	знали что	1	1
314	никого не	1	1
315	из двух	1	1
316	нужно было	1	1
317	что они	1	1
318	совпадает с	1	1
319	а с	2	1
320	что для	1	1
321	только по	1	1
322	не было	5	1
323	и далее	2	1
324	при участии	1	1
325	в свете	1	1
326	и я	1	1
327	не об	1	1
328	в связи	3	1
329	в те	3	1
330	ко всем	1	1
331	в москве	1	1
332	из героев	1	1
333	он смотрел	1	1
334	этого типа	1	1
335	в той	2	1
336	ли не	1	1
337	с последним	1	1
338	все это	4	1
339	меня я	1	1
340	глубине души	1	1
341	героини и	1	1
342	себя на	1	1
343	я всегда	1	1
344	о котором	1	1
345	человек и	1	1
346	для нас	4	1
347	и все	7	1
348	говорилось в	1	1
349	в литературной	1	1
350	в этих	1	1
351	еще более	1	1
352	но вот	1	1
353	отношении к	1	1
354	не есть	1	1
355	нет ничего	1	1
356	в период	2	1
357	партии и	1	1
358	бы его	1	1
359	из этого	1	1
360	в таком	1	1
361	к этой	1	1
362	что за	1	1
363	он писал	2	1
364	у людей	1	1
365	который не	1	1
366	они не	1	1
