N	3gram	Bakhtin_Pr_4	Russkaja
1	друг с другом	5	14
2	то же время	5	10
3	в то же	5	10
4	с точки зрения	9	9
5	в том что	2	7
6	во всяком случае	1	6
7	а между тем	1	5
8	до сих пор	8	5
9	более или менее	3	4
10	не может быть	8	4
11	не может не	1	3
12	в этом случае	1	3
13	можно было бы	2	3
14	и не может	7	3
15	в данном случае	1	3
16	в конце концов	1	3
17	той или иной	2	3
18	а следовательно и	2	2
19	в себе и	1	2
20	с самим собой	2	2
21	но она не	1	2
22	не только к	1	2
23	мы говорили в	1	2
24	котором идет речь	1	2
25	и вместе с	1	2
26	о том что	2	2
27	друг от друга	1	2
28	в большинстве случаев	8	2
29	о котором идет	1	2
30	к тому что	1	2
31	сама по себе	2	2
32	самим собой в	1	1
33	и в жизни	1	1
34	прежде всего на	1	1
35	которая как мы	1	1
36	прежде всего в	1	1
37	дело в том	2	1
38	на том же	1	1
39	как бы не	1	1
40	по отношению к	5	1
41	в самом деле	4	1
42	сходятся друг с	1	1
43	в том числе	4	1
44	и в некоторых	1	1
45	в том же	1	1
46	и в других	2	1
47	эта последняя может	1	1
48	лишь тогда когда	1	1
49	том числе и	3	1
50	на этот вопрос	2	1
51	к себе и	1	1
52	в значительной степени	1	1
53	но не к	1	1
54	спорят друг с	1	1
55	но в то	2	1
56	но при этом	1	1
57	может стремиться к	1	1
58	по себе еще	2	1
59	с нею и	1	1
60	в связи с	1	1
61	с другом как	1	1
62	это конечно не	1	1
63	так же как	1	1
64	о которых мы	1	1
65	одну и ту	1	1
66	а в нем	1	1
67	того и другого	2	1
68	его жизни и	1	1
69	с другом все	1	1
70	с самого начала	1	1
71	но это же	1	1
72	но все же	1	1
73	и ту же	1	1
74	о себе самом	3	1
75	мы не знаем	1	1
76	и во всем	1	1
77	что в большинстве	2	1
78	к тому же	1	1
79	себе еще не	2	1
