N	3gram	Tiupa_Anal_2	Sovremen
1	с точки зрения	2	5
2	каждом отдельном случае	1	5
3	в каждом отдельном	1	5
4	не может быть	1	4
5	тем не менее	3	2
6	друг с другом	1	2
7	в отличие от	2	2
8	в свою очередь	1	2
9	то же самое	1	2
10	как мы это	1	1
11	что иное как	1	1
12	в известном смысле	1	1
13	и в этом	4	1
14	по крайней мере	3	1
15	одни и те	1	1
16	в связи с	1	1
17	по отношению к	4	1
18	в этом смысле	2	1
19	что при таком	1	1
20	а не только	2	1
21	в свое время	1	1
22	в этом случае	4	1
23	и во всех	1	1
24	то же время	2	1
25	он в действительности	1	1
26	сами по себе	1	1
27	есть не что	1	1
28	но отнюдь не	1	1
29	в конечном счете	2	1
30	и те же	1	1
31	можно было бы	2	1
32	в самом деле	1	1
33	той или иной	3	1
34	одна из них	1	1
35	в то же	2	1
36	как и вся	1	1
37	не что иное	1	1
38	все это делает	1	1
39	в том что	6	1
40	в данном случае	5	1
41	на этот вопрос	1	1
42	в обоих случаях	2	1
43	ли он в	1	1
44	же самое что	1	1
45	с одной стороны	4	1
46	на этот раз	1	1
47	и тот же	1	1
