N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	25
2	вместе с	1	22
3	что он	2	22
4	может быть	45	17
5	мы имеем	5	14
6	не только	5	13
7	но и	9	13
8	в его	40	12
9	так как	1	11
10	уже не	7	11
11	и не	26	11
12	в этом	14	10
13	тем что	3	10
14	все же	5	10
15	и его	17	9
16	его в	5	9
17	в виде	2	9
18	еще не	4	8
19	и на	3	8
20	все эти	10	8
21	что в	4	8
22	мы видим	1	8
23	с тем	2	8
24	связь с	1	8
25	этих случаях	1	8
26	том что	4	8
27	в нем	28	7
28	а затем	1	7
29	как и	5	7
30	потому что	2	7
31	о том	3	7
32	и здесь	7	7
33	то что	7	7
34	только в	16	7
35	в качестве	2	7
36	превращается в	1	7
37	но это	6	7
38	в иной	1	7
39	как в	2	6
40	иной мир	1	6
41	это не	10	6
42	не может	27	6
43	в этих	1	6
44	не в	12	6
45	и он	1	6
46	что и	7	6
47	там где	5	6
48	себя в	8	6
49	прежде всего	2	6
50	могут быть	3	6
51	или в	1	6
52	в том	6	6
53	и действительно	6	5
54	ясно что	3	5
55	мы не	3	5
56	в ней	3	5
57	но не	12	5
58	с этим	1	5
59	что это	3	5
60	но все	5	5
61	здесь мы	4	5
62	входит в	3	5
63	живет в	1	5
64	не будем	1	5
65	него и	1	5
66	в него	2	5
67	для нас	4	5
68	и это	12	4
69	то же	5	4
70	мы уже	1	4
71	мы здесь	2	4
72	в ее	16	4
73	от этого	2	4
74	в истории	1	4
75	его на	2	4
76	в которой	1	4
77	он не	6	4
78	не как	4	4
79	что все	1	4
80	и тем	3	4
81	тем не	2	4
82	не менее	3	4
83	с ним	5	4
84	а именно	1	4
85	если не	2	4
86	все это	10	4
87	из себя	8	4
88	мы должны	1	4
89	его не	1	3
90	ему в	2	3
91	и как	2	3
92	его к	2	3
93	в целом	10	3
94	в этой	2	3
95	их в	1	3
96	на этом	1	3
97	предположение что	1	3
98	но уже	1	3
99	в то	3	3
100	друг друга	1	3
101	но эти	1	3
102	для того	3	3
103	того чтобы	2	3
104	в себя	7	3
105	на том	1	3
106	никогда не	5	3
107	и с	1	3
