N	2gram	Propp_Russ_2	IolandNe
1	и с	10	3
2	должен быть	2	2
3	и не	1	2
4	в этом	11	2
5	что в	22	2
6	ничего не	1	2
7	все это	10	1
8	и др	1	1
9	и в	29	1
10	только что	1	1
11	и о	3	1
12	в эту	3	1
13	то и	4	1
14	а по	1	1
15	как только	1	1
16	комплекс в	1	1
17	с другой	2	1
18	а в	9	1
19	того что	3	1
20	в руки	2	1
21	как о	1	1
22	а с	2	1
23	другой стороны	1	1
24	утверждает что	1	1
25	в огороде	1	1
26	и еще	2	1
27	в первую	1	1
28	не так	1	1
29	для него	1	1
30	а также	4	1
31	в основе	1	1
32	что для	3	1
33	что при	2	1
34	говорить о	1	1
35	могло бы	1	1
36	ненависть к	1	1
37	так и	1	1
38	от этого	1	1
39	того чтобы	6	1
40	все ясно	1	1
41	первую очередь	1	1
42	никогда не	2	1
43	следующим образом	5	1
44	только для	1	1
45	в кружок	2	1
46	и очень	1	1
47	тем что	3	1
48	очевидно что	2	1
49	в них	4	1
50	все эти	3	1
51	по существу	4	1
52	от нее	1	1
53	если бы	1	1
54	для того	6	1
