N	4gram	Bakhtin_Pr_2	VLabPisa
1	в то же время	3	5
2	и не может быть	1	2
3	в большей или меньшей	1	2
4	в том числе и	2	2
5	большей или меньшей степени	1	2
6	говорит в письме к	1	1
7	как это происходит в	1	1
8	таким образом уже в	2	1
9	в зависимости от них	1	1
10	подобно тому как можно	1	1
11	но в то же	3	1
12	но с другой стороны	1	1
13	имеет ничего общего с	1	1
14	в той или иной	2	1
15	между ними нет и	1	1
16	не имеет ничего общего	1	1
17	в то время как	1	1
18	ни один из них	1	1
19	нет и не может	1	1
20	так же как и	2	1
21	один из них не	1	1
