N	2gram	Nazirov_Tv_1	PoTuStor
1	может быть	5	17
2	и в	21	16
3	в этом	6	9
4	таким образом	5	9
5	прежде всего	4	9
6	и с	3	8
7	и его	6	8
8	не может	4	8
9	с его	11	7
10	не только	7	7
11	сказать что	2	7
12	я и	3	6
13	самом деле	2	6
14	при этом	7	6
15	и это	1	6
16	для него	6	6
17	и к	1	6
18	еще не	1	5
19	в чем	2	5
20	все эти	1	5
21	что такое	1	5
22	только для	1	5
23	ни в	1	5
24	нуждается в	1	5
25	в него	2	5
26	как бы	17	5
27	на самом	3	4
28	и ее	1	4
29	и на	7	4
30	отнюдь не	5	4
31	и наконец	2	4
32	но в	7	4
33	в этой	5	4
34	в нем	3	4
35	его в	1	4
36	в один	2	4
37	художественного творчества	1	4
38	мысли и	4	4
39	все это	10	4
40	самого начала	3	4
41	с ее	3	4
42	с самого	3	4
43	так и	2	4
44	но мы	1	4
45	можно сказать	2	4
46	субъективной психологии	1	4
47	в его	13	4
48	с ними	1	4
49	только в	5	4
50	для всех	1	4
51	и их	1	4
52	так как	3	4
53	и даже	3	4
54	но и	3	4
55	и не	7	4
56	и все	6	4
57	хотя бы	5	4
58	во всех	1	3
59	и есть	1	3
60	и как	4	3
61	учение о	1	3
62	и вот	1	3
63	на этом	1	3
64	на этой	1	3
65	том что	11	3
66	во время	1	3
67	сих пор	1	3
68	в одном	1	3
69	по крайней	2	3
70	и притом	2	3
71	в основе	2	3
72	до сих	1	3
73	к себе	1	3
74	в конечном	4	3
75	крайней мере	2	3
76	в том	7	3
77	только на	2	3
78	мы знаем	1	3
79	в области	1	3
80	вместе с	2	3
81	как это	1	3
82	могут быть	2	3
83	в основном	4	3
84	что в	12	3
85	в этих	2	3
86	а в	6	3
87	то что	8	3
88	только как	1	3
89	жизни и	3	3
90	ту же	3	2
91	же как	1	2
92	нам кажется	1	2
93	этой теории	1	2
94	в самом	3	2
95	и этот	1	2
96	мы уже	1	2
97	и о	1	2
98	говорить о	1	2
99	что можно	1	2
100	того же	2	2
101	между собой	1	2
102	на высоте	1	2
103	совсем не	1	2
104	друг на	1	2
105	конечном счете	4	2
106	с этим	1	2
107	в этот	1	2
108	мир по	1	2
109	что это	1	2
110	и через	1	2
111	он не	8	2
112	и по	3	2
113	то же	13	2
114	по своему	1	2
115	связанные с	1	2
116	на протяжении	3	2
117	было бы	1	2
118	в жизни	2	2
119	кажется что	1	2
120	в них	1	2
121	всю жизнь	1	2
122	как и	12	2
123	на первый	1	2
124	в своей	4	2
125	не менее	6	2
126	никогда не	3	2
127	всей жизни	1	2
128	что на	1	2
129	не могут	1	2
130	что оно	1	2
131	он ищет	1	2
132	не будет	2	2
133	только то	1	2
134	быть может	2	2
135	для этого	1	2
136	с ним	3	2
137	не существовало	1	2
138	о том	6	2
139	и содержание	1	2
140	путь к	1	2
141	что и	2	2
142	во всей	2	2
143	один из	4	2
144	сновидения и	1	2
145	что он	6	2
146	и действительно	1	2
147	всех его	1	2
148	со всеми	3	2
149	если мы	1	2
150	на этих	1	2
151	в душе	1	2
152	и других	3	2
153	к ним	1	2
154	у него	7	2
155	оно не	1	2
156	себя и	1	2
157	что не	2	2
158	а на	1	2
159	на друга	1	2
160	не на	1	2
161	в одно	2	2
162	с помощью	1	2
163	в частности	2	2
164	так же	3	2
165	в область	1	2
166	ненависть к	1	2
167	в мир	2	2
168	с этой	1	2
169	человеческого поведения	1	2
170	но это	5	2
171	не существует	3	2
172	моей жизни	1	2
173	ни было	1	2
174	не есть	1	2
175	не знает	2	2
176	а может	1	2
177	ее в	3	2
178	к этому	2	2
179	во сне	1	2
180	в движение	1	1
181	человека и	4	1
182	это и	3	1
183	согласии с	2	1
184	заранее обречены	1	1
185	когда человек	2	1
186	прочь из	1	1
187	не имеют	4	1
188	в году	7	1
189	его не	1	1
190	всей ее	1	1
191	мы имеем	1	1
192	что если	1	1
193	не слишком	1	1
194	не совершали	1	1
195	жизни объявляется	1	1
196	я не	3	1
197	но даже	1	1
198	не совсем	1	1
199	многих читателей	1	1
200	в ней	2	1
201	и самого	1	1
202	он был	1	1
203	как один	1	1
204	иное как	1	1
205	не был	3	1
206	столь же	1	1
207	бы то	1	1
208	что его	2	1
209	одним словом	1	1
210	внутренний протест	1	1
211	но не	3	1
212	него все	1	1
213	всей моей	1	1
214	к сожалению	1	1
215	мы снова	1	1
216	первый взгляд	1	1
217	же с	2	1
218	светом в	1	1
219	сам же	1	1
220	все же	5	1
221	в полном	1	1
222	хотя и	3	1
223	когда он	2	1
224	что по	1	1
225	его к	1	1
226	этой цели	1	1
227	в ужас	1	1
228	к чему	1	1
229	уже не	3	1
230	лежит на	1	1
231	та же	4	1
232	под ним	1	1
233	в сновидениях	1	1
234	как он	1	1
235	имеем в	1	1
236	по мнению	3	1
237	человек не	1	1
238	на его	3	1
239	что она	2	1
240	по самому	2	1
241	а просто	1	1
242	развития личности	1	1
243	идеи и	1	1
244	именно и	1	1
245	образом и	1	1
246	отношений между	2	1
247	душу и	1	1
248	борьбу с	1	1
249	содержание пусть	1	1
250	человека в	6	1
251	а вместе	1	1
252	то ни	1	1
253	для всей	1	1
254	в мире	4	1
255	той же	3	1
256	по смыслу	1	1
257	на все	1	1
258	это было	1	1
259	форму и	1	1
260	свою противоположность	2	1
261	весь мир	1	1
262	за ней	1	1
263	для них	1	1
264	с тем	1	1
265	одна и	1	1
266	друга в	1	1
267	жизни но	1	1
268	и того	2	1
269	их на	1	1
270	одного и	1	1
271	но если	3	1
272	со своего	1	1
273	к предмету	1	1
274	вторая часть	1	1
275	что до	1	1
276	что я	3	1
277	на первой	1	1
278	но эта	1	1
279	времени не	1	1
280	в философии	1	1
281	однако в	2	1
282	на всю	1	1
283	человека но	3	1
284	в атмосфере	1	1
285	в смысле	1	1
286	в эпоху	1	1
287	дело в	3	1
288	одна из	2	1
289	в сущности	1	1
290	и снова	1	1
291	что иное	1	1
292	для всего	1	1
293	только не	1	1
294	до своего	1	1
295	не имеет	1	1
296	это мы	1	1
297	не лучше	1	1
298	золотого века	1	1
299	его главные	1	1
300	всего на	1	1
301	того в	1	1
302	в русском	1	1
303	к этим	1	1
304	связи с	1	1
305	в виду	2	1
306	и делает	1	1
307	и со	1	1
308	содержания как	1	1
309	в образах	2	1
310	среди них	1	1
311	в духе	2	1
312	мы узнаем	1	1
313	отличается от	1	1
314	же самое	1	1
315	мы по	1	1
316	к тому	2	1
317	перевод из	1	1
318	бы он	1	1
319	все попытки	1	1
320	она не	1	1
321	как известно	1	1
322	человека имеет	1	1
323	опираясь на	1	1
324	году в	2	1
325	данном случае	2	1
326	вспомним хотя	1	1
327	признать это	1	1
328	в себя	2	1
329	культуры и	1	1
