N	3gram	Propp_Isto_1	Psycholo
1	на то что	4	12
2	в том что	4	11
3	то же самое	3	8
4	для того чтобы	1	8
5	мы видим что	8	7
6	мы увидим что	5	7
7	с самого начала	2	6
8	до сих пор	5	5
9	и т п	1	5
10	с одной стороны	4	5
11	с другой стороны	5	5
12	и т д	22	4
13	в ее основе	1	3
14	и в этом	1	3
15	мы могли бы	1	3
16	о том что	3	3
17	о том как	1	2
18	должны были бы	2	2
19	с уверенностью сказать	1	2
20	в прямом смысле	1	2
21	увидим что она	1	2
22	как мы увидим	2	2
23	только то что	1	2
24	то что в	2	2
25	вместе с тем	2	2
26	то время как	3	2
27	смысле этого слова	1	2
28	не в том	1	2
29	мы видели что	2	2
30	мы увидим ниже	2	2
31	мы не можем	2	2
32	образом мы видим	1	2
33	в то время	3	2
34	уверенностью сказать что	1	2
35	к тому что	1	2
36	при помощи которого	1	2
37	и в ней	3	1
38	мы будем иметь	1	1
39	том что она	1	1
40	но все же	3	1
41	опять мы видим	1	1
42	что в этом	1	1
43	та же самая	1	1
44	это было бы	1	1
45	более или менее	5	1
46	мы должны были	2	1
47	а в силу	1	1
48	никак не может	1	1
49	внимание на то	1	1
50	которые можно назвать	1	1
51	того или иного	1	1
52	в силу того	1	1
53	что в таких	1	1
54	и у всех	1	1
55	они не могут	1	1
56	именно на этом	1	1
57	так чтобы не	1	1
58	в зависимости от	2	1
59	увидим ниже что	1	1
60	который лежит в	1	1
61	в отличие от	2	1
62	этом примере уже	1	1
63	в том случае	1	1
64	в этом отношении	1	1
65	но они не	1	1
66	можно было бы	3	1
67	не то же	4	1
68	она может быть	1	1
69	здесь мы видим	1	1
70	видит перед собой	1	1
71	мы сейчас увидим	1	1
72	здесь мы имеем	2	1
73	и даже говорят	1	1
74	оказываются ненужными и	1	1
75	мы нашли что	2	1
76	не зависит от	1	1
77	как один из	1	1
78	дело не в	1	1
79	мы уже видели	1	1
80	мы никогда не	1	1
81	том что они	2	1
82	может быть названо	1	1
83	не видели они	1	1
84	один и тот	2	1
85	увидим что герой	1	1
86	можно с уверенностью	1	1
87	лежит в ее	1	1
88	так например в	4	1
89	таким образом мы	2	1
90	в том чтобы	1	1
91	именно из этого	1	1
92	если бы мы	2	1
93	в сторону от	1	1
94	впитала в себя	1	1
95	хотя бы в	1	1
96	и что это	1	1
97	легко заметить что	1	1
98	он как бы	1	1
99	и на это	1	1
100	мы знаем что	1	1
101	к тому чтобы	1	1
102	не более как	1	1
103	что здесь мы	1	1
104	таким образом и	1	1
105	по этому поводу	2	1
106	бы мы захотели	1	1
107	так что в	1	1
108	не в силу	3	1
109	не может быть	7	1
110	видим что в	1	1
111	по его мнению	1	1
112	подобно тому как	1	1
113	к тому же	1	1
114	и тот же	2	1
115	и здесь не	1	1
