N	3gram	Tiupa_Narr_1	Problema
1	с точки зрения	2	11
2	той или иной	4	11
3	тем не менее	3	10
4	содержит в себе	1	8
5	в том что	8	8
6	в той или	2	7
7	то же самое	1	6
8	по крайней мере	1	6
9	сам по себе	1	6
10	с другой стороны	4	6
11	то есть в	2	6
12	в данном случае	4	5
13	можно было бы	2	4
14	не только в	2	4
15	мы имеем дело	2	3
16	на самом деле	1	3
17	в этом смысле	1	3
18	точно так же	2	3
19	и с точки	1	3
20	тех или иных	1	3
21	в связи с	2	3
22	того или иного	2	3
23	о том что	6	3
24	в чистом виде	1	2
25	бы одной из	1	2
26	что иное как	2	2
27	сами по себе	2	2
28	тот или иной	1	2
29	здесь не в	2	2
30	в том или	2	2
31	в том чтобы	1	2
32	а также и	1	2
33	и не было	1	2
34	более или менее	2	2
35	есть не что	1	2
36	не что иное	2	2
37	и тем более	1	2
38	и прежде всего	1	2
39	в то же	3	2
40	хотя бы одной	1	2
41	здесь как и	1	2
42	к тому же	4	2
43	но все же	4	1
44	только потому что	1	1
45	дело здесь не	1	1
46	это то что	1	1
47	иметь в виду	1	1
48	дело в том	1	1
49	далеко не все	1	1
50	одной из этих	1	1
51	едва ли целесообразно	1	1
52	то есть тоже	1	1
53	том что он	1	1
54	же как и	1	1
55	пространства и времени	1	1
56	и не в	4	1
57	и в то	1	1
58	когда же в	1	1
59	бы то ни	3	1
60	в первую очередь	1	1
61	даже вовсе не	1	1
62	только то что	1	1
63	что не только	1	1
64	том числе и	4	1
65	в основе своей	4	1
66	с этой точки	1	1
67	в таком случае	2	1
68	до сих пор	1	1
69	не то что	2	1
70	и то что	1	1
71	не могли бы	1	1
72	в ней не	1	1
73	еще не есть	1	1
74	ту или иную	2	1
75	человеческой жизни в	1	1
76	так же как	2	1
77	сказать что если	1	1
78	то ни было	3	1
79	с одной стороны	7	1
80	на первый взгляд	2	1
81	хотя в качестве	1	1
82	и как бы	1	1
83	имеем дело с	1	1
84	несмотря на свой	1	1
85	прежде всего в	1	1
86	из них как	1	1
87	в том числе	6	1
88	само по себе	1	1
89	по себе оно	1	1
90	этой точки зрения	2	1
91	жизни то есть	1	1
92	что не имеет	1	1
93	в известном смысле	2	1
94	здесь не только	1	1
95	несмотря на свою	1	1
96	по себе а	1	1
97	пока еще только	1	1
98	так и в	1	1
99	в свою очередь	3	1
100	и тем самым	3	1
101	времени и пространстве	5	1
102	вольно или невольно	3	1
103	об этом свидетельствует	1	1
104	легко может быть	1	1
105	как и в	1	1
106	третьей и четвертой	1	1
107	что именно в	1	1
