N	3gram	Berdyaev_M_1	VeschiIm
1	не может быть	17	18
2	это значит что	3	17
3	что иное как	1	8
4	не что иное	1	8
5	в том что	1	6
6	было бы и	1	4
7	не только в	2	4
8	от того что	1	4
9	в самом деле	1	3
10	можно было бы	1	3
11	вместе с тем	5	3
12	не может не	2	2
13	мы говорим что	1	2
14	есть не только	3	2
15	в нем нет	1	2
16	ни с чем	1	2
17	она не может	1	2
18	он должен быть	1	1
19	есть также и	1	1
20	в ней нет	1	1
21	всегда в движении	1	1
22	в этом они	1	1
23	с чем не	1	1
24	а не в	4	1
25	и в смысле	1	1
26	есть прежде всего	1	1
27	быть и речи	1	1
28	существует не только	1	1
29	до сих пор	2	1
30	и не может	2	1
31	в зависимости от	1	1
32	что он не	2	1
33	в себе и	1	1
34	ни с какой	1	1
35	должна быть не	1	1
36	лежит в самом	1	1
37	есть то что	1	1
38	может быть и	1	1
39	хотя бы и	2	1
40	потому что он	1	1
41	то время как	2	1
42	есть для него	1	1
43	в самом последнем	2	1
44	не может уже	1	1
45	ни к какому	1	1
46	в конце концов	2	1
47	решить вопрос о	1	1
48	на том основании	2	1
49	в движении в	2	1
50	что я подхожу	1	1
51	по природе своей	1	1
52	– не только	1	1
53	даже и в	1	1
54	и ничего не	1	1
55	не в том	1	1
56	это не значит	2	1
57	сказать что я	1	1
58	она все же	1	1
59	когда мы говорим	1	1
60	я подхожу к	1	1
61	не мог бы	1	1
62	что они не	1	1
63	огромное различие между	1	1
64	это – одно	1	1
65	нем нет ничего	1	1
66	во всяком случае	1	1
67	но также и	1	1
68	том смысле что	1	1
69	в то время	2	1
70	потому и есть	1	1
71	и вместе с	4	1
72	это и есть	4	1
73	на этом основании	1	1
74	о том что	1	1
75	он ничего не	1	1
76	было в этом	1	1
77	нужно сказать что	1	1
78	для того чтобы	2	1
79	самого себя и	1	1
80	в том смысле	2	1
81	не значит что	1	1
82	в отношении к	1	1
83	и в нем	3	1
84	и мы увидим	1	1
85	в себе в	1	1
86	что и в	1	1
