N	3gram	Tiupa_Narr_1	FransuaR
1	как мы уже	1	6
2	о том что	6	5
3	то же время	3	5
4	в то же	3	5
5	в самом деле	1	4
6	с одной стороны	7	4
7	все то что	1	4
8	в этом отношении	3	3
9	в первом случае	2	3
10	до сих пор	1	3
11	во всех его	1	3
12	существенную роль в	1	2
13	и в особенности	1	2
14	с точки зрения	2	2
15	как мы увидим	1	2
16	но уже в	1	2
17	и то что	1	2
18	в данном случае	4	2
19	и тот же	1	2
20	а также и	1	2
21	с другой стороны	4	2
22	то есть в	2	2
23	в том что	8	2
24	мы уже отмечали	1	2
25	и прежде всего	1	2
26	и того же	1	1
27	до наших дней	1	1
28	по отношению к	6	1
29	в той или	2	1
30	в основе своей	4	1
31	с таким же	1	1
32	и строго отграниченная	1	1
33	том что в	1	1
34	дело в том	1	1
35	более или менее	2	1
36	в себе самом	1	1
37	и т.п то	1	1
38	один и тот	1	1
39	точку зрения на	1	1
40	как это было	1	1
41	они свидетельствуют о	1	1
42	и должна быть	1	1
43	а в особенности	1	1
44	что именно в	1	1
45	особое отношение к	1	1
46	и др в	1	1
47	он не мог	1	1
48	никогда не было	1	1
49	некоторые из них	1	1
50	до известной степени	1	1
51	сам по себе	1	1
52	именно это и	1	1
53	только то что	1	1
54	между вещами и	1	1
55	и как бы	1	1
56	в нем не	1	1
57	все же не	4	1
58	в связи с	2	1
59	такого подхода к	1	1
60	то что он	1	1
61	а не как	1	1
62	так и от	1	1
63	один из этих	1	1
64	не может быть	5	1
65	и до наших	1	1
66	что не имеет	1	1
67	что нет у	2	1
68	в значительной степени	2	1
69	не только в	2	1
70	той или иной	4	1
71	но все же	4	1
72	можно сказать что	4	1
73	между жизнью и	1	1
74	в этом своем	1	1
75	одного и того	1	1
76	но и там	1	1
77	о себе самом	1	1
78	а с другой	1	1
79	жизнью и смертью	1	1
80	и разнообразный мир	1	1
81	том что он	1	1
