N	2gram	Tiupa_Hudo_1	Tragedij
1	и в	19	18
2	в романе	3	10
3	в году	2	9
4	в этом	11	9
5	не только	16	8
6	и на	2	7
7	может быть	14	7
8	как бы	9	7
9	и не	15	7
10	но в	7	6
11	и его	12	6
12	же время	5	6
13	что он	3	6
14	у него	1	6
15	то же	10	5
16	что это	1	5
17	это не	2	5
18	как и	2	5
19	в то	6	5
20	так и	11	5
21	не может	7	5
22	к жизни	2	5
23	у достоевского	1	5
24	я не	2	4
25	еще не	3	4
26	в себе	9	4
27	в целом	3	4
28	что достоевский	1	4
29	в этой	2	4
30	в нем	5	4
31	об этом	2	4
32	том что	8	4
33	и что	3	4
34	но и	10	4
35	я люблю	1	4
36	и даже	1	4
37	прежде всего	4	4
38	так же	2	4
39	все это	2	4
40	что в	6	4
41	то что	4	4
42	достоевского в	1	3
43	в мире	21	3
44	своего рода	5	3
45	отнюдь не	2	3
46	как в	2	3
47	в своем	2	3
48	и как	3	3
49	все эти	2	3
50	при этом	13	3
51	то есть	18	3
52	должно быть	1	3
53	тем самым	4	3
54	о чем	2	3
55	в поле	1	3
56	с ее	5	3
57	и сам	1	3
58	мог бы	3	3
59	с ним	2	3
60	к нему	3	3
61	в его	9	3
62	один из	2	3
63	для него	4	3
64	никто не	2	3
65	в конце	1	3
66	как будто	1	3
67	как это	5	3
68	ивана карамазова	1	2
69	в первом	1	2
70	а как	1	2
71	из своих	1	2
72	никогда не	2	2
73	и то	4	2
74	другим в	1	2
75	столь же	1	2
76	в преступлении	1	2
77	с его	6	2
78	отношение к	5	2
79	отличие от	7	2
80	так что	1	2
81	и я	1	2
82	как говорит	3	2
83	о жизни	1	2
84	перед нами	1	2
85	говорит что	2	2
86	я к	1	2
87	имеет в	1	2
88	в самом	5	2
89	бы и	1	2
90	жизнью и	1	2
91	он не	4	2
92	что она	2	2
93	что все	1	2
94	его в	2	2
95	дома и	2	2
96	в это	1	2
97	к области	3	2
98	ни в	5	2
99	нет в	1	2
100	поведение в	2	2
101	в ходе	5	2
102	в отличие	7	2
103	что говорит	1	2
104	не в	7	2
105	одна из	2	2
106	не имеет	1	2
107	в русском	1	2
108	не могут	1	2
109	его за	1	2
110	он и	1	2
111	к тому	4	2
112	и это	2	2
113	в ее	5	2
114	как у	1	2
115	и здесь	1	2
116	о том	2	2
117	в глаза	2	2
118	времени в	2	2
119	что и	2	2
120	в том	18	2
121	преступлении и	1	2
122	который в	2	2
123	между этими	1	2
124	и ее	3	2
125	уже не	4	2
126	он отчасти	1	2
127	в душе	8	2
128	в известной	1	2
129	в одном	2	2
130	не случайно	3	2
131	тем что	1	2
132	только к	1	2
133	говорит о	1	2
134	в рассказе	3	2
135	для искусства	2	2
136	в данном	4	2
137	о его	1	2
138	от всего	1	2
139	потому что	3	2
140	личности и	3	2
141	и наказании	1	2
142	со мной	1	2
143	в частности	13	2
144	только о	2	2
145	по поводу	1	2
146	в таком	1	2
147	точно так	1	2
148	я и	7	1
149	ту же	1	1
150	одним из	1	1
151	например в	3	1
152	в сфере	1	1
153	человека и	1	1
154	он показывает	1	1
155	и др	2	1
156	это и	1	1
